<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCX,D,20120803,000000,0.913608,1.08095,0.913608,0.976227,510974.85062336,0
PCX,D,20120806,000000,0.997229,1.08795,0.899509,1.06695,341832.96015949,0
PCX,D,20120807,000000,1.08095,1.29,1.01813,1.29,141487.91180191,0
PCX,D,20120808,000000,1.39482,1.53425,1.25519,1.42953,237589.31862664,0
PCX,D,20120809,000000,1.38762,1.52025,1.35972,1.47144,73096.019912255,0
PCX,D,20120810,000000,1.46444,1.46444,1.42953,1.43643,27554.219060263,0
PCX,D,20120813,000000,1.43643,1.46444,1.43643,1.43643,21582.012801569,0
PCX,D,20120814,000000,1.43643,1.43643,1.40153,1.40153,3372.2859173859,0
PCX,D,20120816,000000,1.45034,1.47834,1.42953,1.47834,12293.056898601,0
PCX,D,20120817,000000,1.49225,1.49934,1.47144,1.49934,7386.3243240822,0
PCX,D,20120820,000000,1.53425,1.56896,1.45753,1.53425,2069.2403982252,0
PCX,D,20120821,000000,1.60387,1.60387,1.53425,1.59687,3642.7681364382,0
PCX,D,20120822,000000,1.60387,1.60387,1.53425,1.53425,4166.2489330071,0
PCX,D,20120823,000000,1.55506,1.55506,1.49225,1.49225,23161.711236794,0
PCX,D,20120824,000000,1.52025,1.58997,1.52025,1.58997,6506.9999997867,0
PCX,D,20120827,000000,1.53425,1.58997,1.53425,1.58287,1942.7411094669,0
PCX,D,20120828,000000,1.58997,1.58997,1.50625,1.56196,10036.638690994,0
PCX,D,20120829,000000,1.56196,1.57616,1.56196,1.57616,84.3328591722,0
PCX,D,20120830,000000,1.56896,1.56896,1.49934,1.49934,11334.541962644,0
PCX,D,20120831,000000,1.46444,1.61787,1.35972,1.60387,59075.167850126,0
PCX,D,20120903,000000,1.60387,1.62478,1.60387,1.62478,3985.2418206375,0
PCX,D,20120904,000000,1.62478,1.62478,1.59687,1.60387,265.3399715418,0
PCX,D,20120905,000000,1.60387,1.60387,1.56896,1.56896,2182.3698434562,0
PCX,D,20120906,000000,1.58997,1.60387,1.58997,1.59687,573.8748221718,0
PCX,D,20120907,000000,1.60387,1.60387,1.59687,1.59687,285.9089615838,0
PCX,D,20120910,000000,1.60387,1.60387,1.60387,1.60387,1747.3357040679,0
PCX,D,20120911,000000,1.60387,1.60387,1.59687,1.59687,4136.4238974462,0
PCX,D,20120912,000000,1.58287,1.58287,1.53425,1.58287,732.2560454952,0
PCX,D,20120913,000000,1.58287,1.58287,1.45034,1.49934,14391.093882885,0
PCX,D,20120914,000000,1.49934,1.49934,1.47834,1.47834,1604.381223276,0
PCX,D,20120917,000000,1.47834,1.47834,1.42263,1.42263,2186.4836414646,0
PCX,D,20120918,000000,1.42263,1.47834,1.36681,1.46444,31728.695589287,0
PCX,D,20120919,000000,1.44353,1.47144,1.44353,1.47144,1791.5590326582,0
PCX,D,20120920,000000,1.46444,1.46444,1.45753,1.46444,165.5803698381,0
PCX,D,20120921,000000,1.46444,1.46444,1.40153,1.46444,1363.7240397846,0
PCX,D,20120924,000000,1.47144,1.47834,1.47144,1.47834,659.2361308461,0
PCX,D,20120925,000000,1.47834,1.47834,1.46444,1.46444,69.9345661428,0
PCX,D,20120926,000000,1.45034,1.49934,1.41553,1.49934,12762.029871559,0
PCX,D,20120927,000000,1.49934,1.49934,1.47834,1.49225,1247.5092460473,0
PCX,D,20120928,000000,1.49225,1.52715,1.49225,1.52715,285.9089615838,0
PCX,D,20121001,000000,1.52715,1.52715,1.52025,1.52715,465.8876244513,0
PCX,D,20121002,000000,1.53425,1.53425,1.47834,1.53425,14266.651493131,0
PCX,D,20121003,000000,1.53425,1.56896,1.51315,1.55506,4510.7795162106,0
PCX,D,20121004,000000,1.56896,1.56896,1.56196,1.56896,3943.0753910514,0
PCX,D,20121005,000000,1.56896,1.57616,1.56196,1.56896,3728.1294451125,0
PCX,D,20121008,000000,1.56896,1.60387,1.53425,1.60387,2796.3541962099,0
PCX,D,20121009,000000,1.60387,1.60387,1.59687,1.60387,573.8748221718,0
PCX,D,20121010,000000,1.60387,1.60387,1.56896,1.56896,960.5718349614,0
PCX,D,20121011,000000,1.58287,1.62478,1.58287,1.61787,1848.1237552737,0
PCX,D,20121012,000000,1.62478,1.88283,1.61077,1.88283,22997.159316458,0
PCX,D,20121015,000000,1.91774,1.91774,1.88283,1.91774,3901.9374109674,0
PCX,D,20121016,000000,1.91774,2.02217,1.91074,2.02217,10992.068278445,0
PCX,D,20121017,000000,2.09189,2.26652,2.09189,2.25932,47453.688476396,0
PCX,D,20121018,000000,2.25932,2.37104,2.23142,2.37104,24098.628733207,0
PCX,D,20121019,000000,2.37104,2.37104,2.28033,2.28033,10899.507823256,0
PCX,D,20121022,000000,2.21751,2.51048,2.21751,2.51048,29408.513512549,0
PCX,D,20121023,000000,2.51048,2.5942,2.26652,2.5942,35814.72546113,0
PCX,D,20121024,000000,2.55929,2.65001,2.55929,2.63591,32091.738263528,0
PCX,D,20121025,000000,2.65001,2.67091,2.64291,2.66382,8675.9999997156,0
PCX,D,20121026,000000,2.68462,2.76834,2.67782,2.76834,35288.159316055,0
PCX,D,20121029,000000,2.76834,2.81025,2.76154,2.81025,28355.381222399,0
PCX,D,20121030,000000,2.82425,2.87316,2.82425,2.87316,22684.51066782,0
PCX,D,20121031,000000,2.87316,2.97778,2.86596,2.97778,32649.157893667,0
PCX,D,20121102,000000,2.97778,3.0195,2.97059,3.0195,23717.073967928,0
PCX,D,20121105,000000,3.0195,3.10312,3.0195,3.10312,78902.645801112,0
PCX,D,20121106,000000,3.10312,3.13102,3.07531,3.12402,18185.044096132,0
PCX,D,20121107,000000,3.12402,3.13802,2.85196,2.85916,29704.706969154,0
PCX,D,20121108,000000,2.84506,3.10312,2.40576,3.09621,45864.733995652,0
PCX,D,20121109,000000,3.09621,3.09621,2.89387,2.92887,5492.9487907161,0
PCX,D,20121112,000000,2.79644,2.85916,2.78244,2.78925,7671.2048361639,0
PCX,D,20121113,000000,2.75453,2.78244,2.65681,2.78244,842.3001422199,0
PCX,D,20121114,000000,2.78244,2.81025,2.78244,2.81025,4516.9502132232,0
PCX,D,20121115,000000,2.79644,2.81715,2.68462,2.81025,2052.7852061916,0
PCX,D,20121116,000000,2.81025,2.85196,2.78925,2.85196,179.9786628675,0
PCX,D,20121119,000000,2.84506,2.85196,2.78244,2.83816,1036.6770981168,0
PCX,D,20121120,000000,2.83816,2.83816,2.71963,2.82425,5019.8620197501,0
PCX,D,20121121,000000,2.78925,2.82425,2.65001,2.81715,12756.887624048,0
PCX,D,20121122,000000,2.78925,2.78925,2.51048,2.62201,10984.86913193,0
PCX,D,20121123,000000,2.68462,2.68462,2.52429,2.615,1423.3741109064,0
PCX,D,20121126,000000,2.57319,2.57319,2.49648,2.53829,2280.0725461557,0
PCX,D,20121127,000000,2.53829,2.53829,2.30113,2.42686,11499.09388298,0
PCX,D,20121128,000000,2.47547,2.47547,2.09189,2.46857,17954.671407662,0
PCX,D,20121129,000000,2.53829,2.53829,2.53138,2.53138,37.0241820756,0
PCX,D,20121130,000000,2.48957,2.48957,2.44066,2.46857,3864.9132288918,0
PCX,D,20121203,000000,2.51048,2.51048,2.38495,2.38495,746.6543385246,0
PCX,D,20121204,000000,2.42686,2.42686,2.30823,2.35004,2524.8435276555,0
PCX,D,20121205,000000,2.37104,2.37104,2.30823,2.30823,610.8990042474,0
PCX,D,20121206,000000,2.37104,2.50338,2.23142,2.50338,23613.200568216,0
PCX,D,20121207,000000,2.50338,2.74753,2.50338,2.74753,18758.918918304,0
PCX,D,20121210,000000,2.78925,2.78925,2.71963,2.78244,6824.7908959356,0
PCX,D,20121211,000000,2.78925,2.78925,2.77544,2.77544,1075.7581791966,0
PCX,D,20121212,000000,2.78925,2.78925,2.65001,2.75453,1660.9459458915,0
PCX,D,20121213,000000,2.75453,2.75453,2.75453,2.75453,20.568990042,0
PCX,D,20121214,000000,2.75453,2.75453,2.62201,2.73353,1654.7752488789,0
PCX,D,20121217,000000,2.74044,2.85916,2.58019,2.78925,13371.900426304,0
PCX,D,20121218,000000,2.78925,2.78925,2.68462,2.71963,3564.6059742786,0
PCX,D,20121219,000000,2.71963,2.71963,2.70563,2.71963,2875.5448078716,0
PCX,D,20121220,000000,2.71272,2.75453,2.62891,2.75453,931.7752489026,0
PCX,D,20121221,000000,2.78925,2.78925,2.65001,2.78244,3020.5561876677,0
PCX,D,20121227,000000,2.78925,2.78925,2.58019,2.78925,1075.7581791966,0
PCX,D,20121228,000000,2.78244,2.78925,2.65001,2.78925,1206.3712659633,0
PCX,D,20130102,000000,2.70563,2.70563,2.587,2.62891,8979.3926028351,0
PCX,D,20130103,000000,2.62201,2.62201,2.62201,2.62201,37.0241820756,0
PCX,D,20130104,000000,2.63591,2.63591,2.44066,2.47547,8187.4864862181,0
PCX,D,20130107,000000,2.47547,2.47547,2.37795,2.41286,6669.4950211185,0
PCX,D,20130108,000000,2.41286,2.71963,2.37104,2.71963,11663.645803316,0
PCX,D,20130109,000000,2.73353,2.73353,2.67782,2.67782,904.0071123459,0
PCX,D,20130110,000000,2.67782,2.67782,2.64291,2.66382,221.1166429515,0
PCX,D,20130111,000000,2.62891,2.66382,2.58019,2.65681,973.9416784887,0
PCX,D,20130114,000000,2.62891,2.62891,2.58019,2.58019,25.7112375525,0
PCX,D,20130115,000000,2.58019,2.615,2.54529,2.615,565.647226155,0
PCX,D,20130116,000000,2.54529,2.58019,2.51738,2.51738,69.9345661428,0
PCX,D,20130117,000000,2.48957,2.55929,2.48957,2.55929,1306.130867667,0
PCX,D,20130118,000000,2.51048,2.56629,2.51048,2.55929,1103.5263157533,0
PCX,D,20130121,000000,2.57319,2.57319,2.54529,2.57319,187.1778093822,0
PCX,D,20130122,000000,2.57319,2.57319,2.51738,2.56629,123.413940252,0
PCX,D,20130123,000000,2.56629,2.56629,2.51738,2.56629,156.3243243192,0
PCX,D,20130124,000000,2.56629,2.56629,2.45457,2.47547,3239.615931615,0
PCX,D,20130125,000000,2.44066,2.47547,2.36395,2.38495,4899.5334280044,0
PCX,D,20130128,000000,2.38495,2.46857,2.33614,2.46857,1075.7581791966,0
PCX,D,20130129,000000,2.44066,2.47547,2.41966,2.47547,1334.9274537258,0
PCX,D,20130130,000000,2.42686,2.47547,2.42686,2.47547,21.5974395441,0
PCX,D,20130131,000000,2.42686,2.47547,2.42686,2.47547,90.5035561848,0
PCX,D,20130201,000000,2.42686,2.47547,2.42686,2.44066,228.3157894662,0
PCX,D,20130204,000000,2.42686,2.44776,2.37104,2.44776,1375.0369843077,0
PCX,D,20130205,000000,2.41286,2.41286,2.30113,2.37104,1045.9331436357,0
PCX,D,20130206,000000,2.37104,2.37104,2.28033,2.30113,495.7126600122,0
PCX,D,20130207,000000,2.28033,2.32204,2.28033,2.32204,37.0241820756,0
PCX,D,20130208,000000,2.26652,2.30113,2.26652,2.30113,20.568990042,0
PCX,D,20130211,000000,2.30113,2.30113,2.30113,2.30113,5.1422475105,0
PCX,D,20130213,000000,2.29442,2.29442,2.29442,2.29442,3513.1834991736,0
PCX,D,20130214,000000,2.28733,2.28733,2.28733,2.28733,5.1422475105,0
PCX,D,20130215,000000,2.29442,2.29442,2.29442,2.29442,187.1778093822,0
PCX,D,20130218,000000,2.28733,2.28733,2.28733,2.28733,5.1422475105,0
PCX,D,20130219,000000,2.30113,2.30113,2.30113,2.30113,5.1422475105,0
PCX,D,20130220,000000,2.29442,2.30113,2.29442,2.30113,143.982930294,0
PCX,D,20130221,000000,2.28733,2.37104,2.28733,2.37104,1727.795163528,0
PCX,D,20130222,000000,2.35695,2.40576,2.35695,2.40576,285.9089615838,0
PCX,D,20130225,000000,2.40576,2.40576,2.40576,2.40576,15.4267425315,0
PCX,D,20130226,000000,2.37104,2.39895,2.37104,2.39895,285.9089615838,0
PCX,D,20130227,000000,2.39895,2.39895,2.39895,2.39895,63.7638691302,0
PCX,D,20130228,000000,2.39642,2.71797,2.2916,2.71797,16248.473683678,0
PCX,D,20130301,000000,2.82425,2.89387,2.55929,2.85916,57617.85490565,0
PCX,D,20130304,000000,2.85916,2.85916,2.85916,2.85916,15.4267425315,0
PCX,D,20130305,000000,2.85916,2.85916,2.82425,2.82425,473.086770966,0
PCX,D,20130306,000000,2.78925,2.78925,2.78244,2.78244,78.1621621596,0
PCX,D,20130308,000000,2.78925,2.85196,2.78925,2.82425,2974.2759600732,0
PCX,D,20130311,000000,2.85916,2.85916,2.85916,2.85916,15.4267425315,0
PCX,D,20130312,000000,2.85916,2.85916,2.82425,2.82425,37.0241820756,0
PCX,D,20130313,000000,2.78925,2.85916,2.78925,2.85916,732.2560454952,0
PCX,D,20130314,000000,2.85916,2.85916,2.85916,2.85916,20.568990042,0
PCX,D,20130315,000000,2.85916,2.85916,2.85916,2.85916,43.1948790882,0
PCX,D,20130318,000000,2.85916,2.85916,2.85196,2.85916,78.1621621596,0
PCX,D,20130319,000000,2.85916,2.85916,2.85916,2.85916,20.568990042,0
PCX,D,20130320,000000,2.85916,2.85916,2.85916,2.85916,20.568990042,0
PCX,D,20130321,000000,2.78925,2.85916,2.78244,2.85916,4022.2660027131,0
PCX,D,20130322,000000,2.75453,3.17274,2.68462,3.17274,32333.423896522,0
PCX,D,20130325,000000,3.17274,3.48661,3.16593,3.4448,7459.3442387313,0
PCX,D,20130326,000000,3.4448,3.63995,3.4378,3.63995,24667.361307868,0
PCX,D,20130327,000000,3.66085,3.76567,3.66085,3.66085,11825.112375146,0
PCX,D,20130328,000000,3.60523,3.80048,3.60523,3.70286,897.8364153333,0
PCX,D,20130402,000000,3.48661,3.56342,3.4797,3.48661,4578.6571833492,0
PCX,D,20130403,000000,3.56342,3.80048,3.48661,3.48661,1466.5689899946,0
PCX,D,20130404,000000,3.48661,3.80048,3.41689,3.48661,2035.3015646559,0
PCX,D,20130405,000000,3.4658,3.50761,3.4658,3.50761,334.2460881825,0
PCX,D,20130409,000000,3.80048,3.80048,3.4658,3.55632,2126.8335703428,0
PCX,D,20130410,000000,3.55632,3.57023,3.55632,3.55632,1834.7539117464,0
PCX,D,20130411,000000,3.48661,3.76567,3.48661,3.76567,136.7837837793,0
PCX,D,20130412,000000,3.48661,3.82838,3.4378,3.48661,22450.024181341,0
PCX,D,20130415,000000,3.48661,3.48661,3.48661,3.48661,69.9345661428,0
PCX,D,20130417,000000,3.48661,3.64695,3.48661,3.64695,444.2901849072,0
PCX,D,20130418,000000,3.64695,3.64695,3.52171,3.52171,1834.7539117464,0
PCX,D,20130419,000000,3.52171,3.52171,3.40299,3.4518,210.8321479305,0
PCX,D,20130422,000000,3.48661,3.48661,3.34717,3.48661,336.3029871867,0
PCX,D,20130423,000000,3.48661,3.48661,3.48661,3.48661,37.0241820756,0
PCX,D,20130424,000000,3.4518,3.4518,3.40299,3.40299,308.53485063,0
PCX,D,20130425,000000,3.40299,3.40299,3.39589,3.40299,57.5931721176,0
PCX,D,20130426,000000,3.39589,3.48661,3.39589,3.48661,143.982930294,0
PCX,D,20130429,000000,3.48661,3.48661,3.48661,3.48661,43.1948790882,0
PCX,D,20130430,000000,3.48641,3.48641,3.48641,3.48641,20.568990042,0
PCX,D,20130502,000000,3.48661,3.48661,3.4587,3.4587,43.1948790882,0
PCX,D,20130506,000000,3.4727,3.50761,3.4727,3.50761,200.5476529095,0
PCX,D,20130507,000000,3.50761,3.50761,3.50761,3.50761,20.568990042,0
PCX,D,20130508,000000,3.50061,3.50061,3.50061,3.50061,15.4267425315,0
PCX,D,20130509,000000,3.50061,3.50061,3.49361,3.50061,128.5561877625,0
PCX,D,20130510,000000,3.48661,3.48661,3.34717,3.48661,330.1322901741,0
PCX,D,20130513,000000,3.48661,3.48661,3.48661,3.48661,15.4267425315,0
PCX,D,20130514,000000,3.48661,3.48661,3.48661,3.48661,15.4267425315,0
PCX,D,20130515,000000,3.41689,3.41689,3.40999,3.40999,320.8762446552,0
