<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEP,D,20050513,000000,6.47911,6.84328,6.47911,6.66115,49822.7607844428,0
PEP,D,20050516,000000,6.56533,6.74746,6.56533,6.66115,15785.1294118056,0
PEP,D,20050517,000000,6.66115,6.74746,6.61329,6.74746,20559.419607896398,0
PEP,D,20050518,000000,6.84328,6.84328,6.61329,6.70911,16066.6823529828,0
PEP,D,20050519,000000,6.61329,6.70911,6.61329,6.70911,8696.8575163624,0
PEP,D,20050520,000000,6.66115,6.70911,6.61329,6.66115,3171.7594771323998,0
PEP,D,20050523,000000,6.70911,6.70911,6.56533,6.56533,17580.4078431828,0
PEP,D,20050524,000000,6.56533,6.66115,6.56533,6.66115,19570.452287632397,0
PEP,D,20050525,000000,6.56533,6.61329,6.51736,6.61329,12433.7411765028,0
PEP,D,20050527,000000,6.61329,6.61329,6.56533,6.61329,550.9960784328,0
PEP,D,20050530,000000,6.51736,6.66115,6.51736,6.61329,22603.9581699932,0
PEP,D,20050531,000000,6.66115,6.66115,6.66115,6.66115,5.045751634,0
PEP,D,20050601,000000,6.61329,6.61329,6.56533,6.56533,4984.1934640652,0
PEP,D,20050602,000000,6.66115,6.66115,6.56533,6.61329,7460.648366032399,0
PEP,D,20050603,000000,6.61329,6.66115,6.61329,6.66115,13814.258823565198,0
PEP,D,20050606,000000,6.61329,6.70911,6.56533,6.70911,18165.7150327268,0
PEP,D,20050607,000000,6.70911,6.74746,6.66115,6.74746,25276.188235359597,0
PEP,D,20050608,000000,6.70911,6.9391,6.70911,6.9391,6103.3411764863995,0
PEP,D,20050609,000000,6.84328,6.9391,6.74746,6.9391,1427.947712422,0
PEP,D,20050610,000000,6.9391,7.07328,6.9391,7.07328,18310.0235294592,0
PEP,D,20050613,000000,7.12124,7.12124,6.84328,7.07328,9313.448366037199,0
PEP,D,20050614,000000,7.12124,7.12124,7.02542,7.12124,20131.5398693332,0
PEP,D,20050615,000000,7.02542,7.12124,6.84328,7.12124,6427.2784313892,0
PEP,D,20050616,000000,7.12124,7.1692,7.12124,7.12124,13545.824836636399,0
PEP,D,20050617,000000,7.1692,7.26502,7.1692,7.21706,23566.687581760398,0
PEP,D,20050620,000000,7.21706,7.21706,7.21706,7.21706,11559.816993494,0
PEP,D,20050621,000000,7.12124,7.21706,7.12124,7.21706,9190.3320261676,0
PEP,D,20050622,000000,6.98707,7.1692,6.98707,7.1692,2709.568627458,0
PEP,D,20050623,000000,6.79532,7.12124,6.79532,6.9391,3532.0261437999998,0
PEP,D,20050624,000000,6.84328,6.98707,6.84328,6.98707,431.91633987039995,0
PEP,D,20050627,000000,7.02542,7.02542,6.84328,6.98707,913.2810457539999,0
PEP,D,20050628,000000,6.9391,6.98707,6.9391,6.9391,23532.3764706492,0
PEP,D,20050629,000000,6.9391,6.98707,6.9391,6.98707,141.28104575199998,0
PEP,D,20050630,000000,6.89124,6.98707,6.89124,6.98707,973.8300653619999,0
PEP,D,20050701,000000,6.89124,6.98707,6.89124,6.98707,756.8627451,0
PEP,D,20050704,000000,6.9391,6.9391,6.89124,6.9391,1222.0810457548,0
PEP,D,20050705,000000,6.9391,6.9391,6.9391,6.9391,5440.3294117788,0
PEP,D,20050707,000000,6.89124,6.89124,6.56533,6.74746,4124.3973856316,0
PEP,D,20050708,000000,6.74746,6.74746,6.56533,6.66115,1935.5503268024,0
PEP,D,20050711,000000,6.66115,6.84328,6.56533,6.74746,4465.49019609,0
PEP,D,20050712,000000,6.74746,6.74746,6.66115,6.74746,1945.6418300704,0
PEP,D,20050713,000000,6.74746,6.84328,6.74746,6.84328,557.0509803936,0
PEP,D,20050714,000000,6.84328,6.84328,6.66115,6.79532,8869.422222245199,0
PEP,D,20050715,000000,6.56533,6.89124,6.56533,6.89124,1837.6627451027998,0
PEP,D,20050718,000000,6.84328,6.89124,6.56533,6.89124,2264.5333333392,0
PEP,D,20050719,000000,6.70911,6.89124,6.56533,6.79532,6581.6784313896,0
PEP,D,20050720,000000,6.66115,6.66115,6.61329,6.61329,1809.4065359524,0
PEP,D,20050721,000000,6.43115,6.56533,6.38319,6.56533,632.7372549035999,0
PEP,D,20050722,000000,6.47911,6.56533,6.28737,6.56533,6261.777777794,0
PEP,D,20050725,000000,6.43115,6.61329,6.38319,6.38319,1095.9372549047998,0
PEP,D,20050726,000000,6.47911,6.56533,6.47911,6.56533,3100.1098039296,0
PEP,D,20050727,000000,6.61329,6.66115,6.47911,6.51736,3687.4352941272,0
PEP,D,20050728,000000,6.56533,6.56533,6.56533,6.56533,5.045751634,0
PEP,D,20050729,000000,6.61329,6.66115,6.47911,6.66115,14638.734640560799,0
PEP,D,20050801,000000,6.51736,6.61329,6.47911,6.61329,1839.6810457564,0
PEP,D,20050802,000000,6.66115,6.66115,6.47911,6.61329,2511.7751634051997,0
PEP,D,20050803,000000,6.61329,6.66115,6.47911,6.61329,475.3098039228,0
PEP,D,20050804,000000,6.47911,6.66115,6.33533,6.66115,4811.6287581824,0
PEP,D,20050805,000000,6.47911,6.66115,6.47911,6.66115,2023.3464052339998,0
PEP,D,20050808,000000,6.47911,6.66115,6.47911,6.66115,325.9555555564,0
PEP,D,20050809,000000,6.47911,6.61329,6.47911,6.61329,896.1254901983999,0
PEP,D,20050810,000000,6.47911,6.66115,6.47911,6.66115,1779.1320261484,0
PEP,D,20050811,000000,6.47911,6.66115,6.47911,6.66115,12412.549019639999,0
PEP,D,20050812,000000,6.56533,6.56533,6.47911,6.47911,4086.0496732131996,0
PEP,D,20050816,000000,6.56533,6.56533,6.56533,6.56533,869.8875817016,0
PEP,D,20050817,000000,6.51736,6.51736,6.38319,6.51736,2735.8065359548,0
PEP,D,20050818,000000,6.47911,6.47911,6.38319,6.47911,4053.7568627555997,0
