<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHN,D,20130213,000000,16.2575,16.9348,16.2575,16.8644,848510.09962279,0
PHN,D,20130214,000000,16.8644,17.143,16.771,17.115,367965.580022,0
PHN,D,20130215,000000,17.115,17.1506,16.929,16.9936,54183.648301776,0
PHN,D,20130218,000000,16.9348,16.9348,15.3642,16.7209,79583.238871803,0
PHN,D,20130219,000000,16.5138,16.7922,16.5138,16.7575,82150.908837489,0
PHN,D,20130220,000000,16.7209,16.8289,16.6853,16.799,83145.180392512,0
PHN,D,20130221,000000,16.6496,16.8289,16.4733,16.7865,80873.301025137,0
PHN,D,20130222,000000,16.7633,16.8944,16.7633,16.8644,20395.021218959,0
PHN,D,20130225,000000,16.8644,16.9723,16.8491,16.8722,52162.931477527,0
PHN,D,20130226,000000,16.8442,17.0071,16.8289,16.9348,31676.578424704,0
PHN,D,20130227,000000,17.0071,17.2075,16.9348,17.1506,84612.716904833,0
PHN,D,20130228,000000,17.1506,17.3578,17.1506,17.2913,28683.385142149,0
PHN,D,20130301,000000,17.2913,17.3501,17.0071,17.2913,24873.394663558,0
PHN,D,20130304,000000,17.2913,17.2913,17.0148,17.0206,7979.0811221494,0
PHN,D,20130305,000000,17.0572,17.1709,17.0572,17.1506,19269.97908363,0
PHN,D,20130306,000000,17.1506,17.2586,17.115,17.1583,18693.965813236,0
PHN,D,20130307,000000,17.1506,17.2431,17.0861,17.2431,18780.108338358,0
PHN,D,20130308,000000,17.1506,17.2653,17.115,17.2499,18786.335508848,0
PHN,D,20130311,000000,17.2499,17.7924,17.1218,17.5004,66982.559383767,0
PHN,D,20130312,000000,17.5081,17.723,17.5081,17.723,16854.874794967,0
PHN,D,20130313,000000,17.7375,17.7587,17.5158,17.7297,11261.837832524,0
PHN,D,20130314,000000,17.7375,18.2798,17.7375,18.1507,67535.739695696,0
PHN,D,20130315,000000,18.1507,18.7221,18.1507,18.5786,61195.442274362,0
PHN,D,20130318,000000,18.2433,18.4861,17.1709,18.4293,28662.62790718,0
PHN,D,20130319,000000,18.2934,18.5005,18.1719,18.2867,8125.4196286821,0
PHN,D,20130320,000000,18.2211,18.9302,17.9802,18.7221,67237.873373888,0
PHN,D,20130321,000000,18.7568,18.7568,17.5996,18.0082,40371.78415329,0
