<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN,D,19991126,000000,13.4161,13.5347,12.9302,13.3511,18045769.546938848,0
PKN,D,19991129,000000,13.2896,13.3511,13.0506,13.113,6258259.677710029,0
PKN,D,19991130,000000,13.2333,13.4706,13.2333,13.3511,3740809.3890861184,0
PKN,D,19991201,000000,13.4706,13.7729,13.3511,13.7729,3502573.8213900733,0
PKN,D,19991202,000000,13.8994,14.3203,13.8353,14.0189,3760072.8526114407,0
PKN,D,19991203,000000,14.0189,14.2571,13.8994,14.1991,2683381.0087343613,0
PKN,D,19991206,000000,14.3203,14.8036,14.3203,14.7413,3419840.0507970923,0
PKN,D,19991207,000000,14.6841,14.7413,14.5014,14.5014,2761144.9946510806,0
PKN,D,19991208,000000,14.5014,14.8599,14.5014,14.6208,4332871.54791594,0
PKN,D,19991209,000000,14.6208,14.6208,14.2571,14.5014,2860334.70442857,0
PKN,D,19991210,000000,14.6208,14.6208,14.3757,14.4381,2131624.520589028,0
PKN,D,19991213,000000,14.3757,14.5014,14.2571,14.3203,1795085.7698530278,0
PKN,D,19991214,000000,14.5014,14.7413,14.5014,14.7413,3597322.9312576074,0
PKN,D,19991215,000000,14.6841,14.6841,14.5014,14.5593,1491725.1969168293,0
PKN,D,19991216,000000,14.5014,14.5014,14.3203,14.3757,1667725.2219999302,0
PKN,D,19991217,000000,14.3757,14.5014,14.3203,14.3203,1534998.8544196575,0
PKN,D,19991220,000000,14.5014,14.6841,14.4381,14.6841,2772829.1666847835,0
PKN,D,19991221,000000,14.5593,14.9855,14.5593,14.7413,1811088.772398847,0
PKN,D,19991222,000000,15.1068,15.5892,15.1068,15.4635,3259137.448571401,0
PKN,D,19991223,000000,15.5277,15.7087,15.4082,15.4635,1487250.4560542093,0
PKN,D,19991227,000000,15.5277,15.8914,15.5277,15.5892,1752671.3263256005,0
PKN,D,19991228,000000,15.5277,15.5277,15.163,15.2245,1275709.6992468915,0
PKN,D,19991229,000000,15.2245,15.7728,15.2245,15.7728,2289808.658539801,0
PKN,D,20000103,000000,16.0742,16.3124,15.8291,16.1305,1828609.9093065008,0
PKN,D,20000104,000000,15.7087,15.7087,15.3441,15.4635,2244492.234035853,0
PKN,D,20000105,000000,14.924,15.4082,14.924,15.2878,3094218.438691588,0
PKN,D,20000106,000000,15.3441,15.6463,15.163,15.5892,1870278.9420340764,0
PKN,D,20000107,000000,15.8291,16.4952,15.8291,16.3124,4765514.804340273,0
PKN,D,20000110,000000,16.3766,17.1595,16.3766,16.4952,5022571.14120875,0
PKN,D,20000111,000000,16.2491,16.3766,15.8914,16.1928,1917558.4713162596,0
PKN,D,20000112,000000,15.8291,16.1305,15.8291,16.1305,1555176.157444645,0
PKN,D,20000113,000000,16.1928,16.7333,16.1928,16.6146,2437064.277542522,0
PKN,D,20000114,000000,16.6146,16.8598,16.3124,16.4952,4579584.314158692,0
PKN,D,20000117,000000,16.3124,16.4952,16.3124,16.3766,2013356.8464623631,0
PKN,D,20000118,000000,16.431,16.4952,15.8914,16.011,1418371.084052666,0
PKN,D,20000119,000000,15.7728,16.1305,15.7728,16.0742,1762149.9928171474,0
PKN,D,20000120,000000,16.1305,16.3766,15.9477,16.3124,2463017.0917266645,0
PKN,D,20000121,000000,16.1928,16.4952,16.1928,16.431,1790540.471021567,0
PKN,D,20000124,000000,16.1928,16.1928,15.7087,15.9477,1348123.7978810135,0
PKN,D,20000125,000000,15.5277,15.5277,14.8036,15.3441,2199765.309981253,0
PKN,D,20000126,000000,15.3441,15.4635,15.163,15.3441,1583533.632728155,0
PKN,D,20000127,000000,15.2245,15.5892,15.2245,15.5892,1134412.8145159602,0
PKN,D,20000128,000000,15.6463,15.9477,15.2245,15.4082,1189151.00392368,0
PKN,D,20000131,000000,15.2878,15.2878,15.1068,15.163,1025368.8877676103,0
PKN,D,20000201,000000,15.4635,15.7728,14.924,14.9855,1633430.6350479845,0
PKN,D,20000202,000000,15.0435,15.163,14.8599,15.1068,1852768.0474122218,0
PKN,D,20000203,000000,15.2245,15.7728,15.2245,15.6463,2129807.083875497,0
PKN,D,20000204,000000,15.8291,16.011,15.3441,15.4635,1639376.8509704638,0
PKN,D,20000207,000000,15.4082,15.5277,15.163,15.2878,1416359.0439089446,0
PKN,D,20000208,000000,15.2878,15.2878,14.9855,15.1068,2039489.469663874,0
PKN,D,20000209,000000,15.2245,15.2878,14.7413,14.8036,3535823.6951904716,0
PKN,D,20000210,000000,14.7413,14.8036,14.5014,14.6841,1623194.039407276,0
PKN,D,20000211,000000,14.5014,14.5014,13.9557,14.0743,3920041.424354835,0
PKN,D,20000214,000000,13.7729,14.6208,13.7729,14.5014,2939926.3693446205,0
PKN,D,20000215,000000,15.1068,15.1068,14.5593,14.6208,2955026.912708329,0
PKN,D,20000216,000000,14.8036,14.8036,14.0743,14.2571,2045324.1584743145,0
PKN,D,20000217,000000,14.2571,14.8036,14.0743,14.8036,1906208.8806186735,0
PKN,D,20000218,000000,14.6841,15.163,14.6841,14.924,3469164.623143906,0
PKN,D,20000221,000000,14.1991,14.6841,14.1991,14.6208,1251268.1912340515,0
PKN,D,20000222,000000,14.6208,14.9855,14.3203,14.3203,1323842.7523456987,0
PKN,D,20000223,000000,14.3757,14.5593,13.9557,14.1991,2006533.2080563945,0
PKN,D,20000224,000000,14.0743,14.3203,13.7729,13.8994,2303931.6326255365,0
PKN,D,20000225,000000,13.8994,13.8994,13.5347,13.7167,1395875.6103417282,0
PKN,D,20000228,000000,13.2333,13.7167,13.113,13.4706,2230451.198236513,0
PKN,D,20000229,000000,13.7167,13.7167,13.4161,13.5347,988582.0112711231,0
PKN,D,20000301,000000,13.5901,13.7167,13.4161,13.5901,1487791.021138071,0
PKN,D,20000302,000000,13.5901,14.1367,13.5901,14.0189,1613365.9971667915,0
PKN,D,20000303,000000,14.0743,14.3203,14.0189,14.3203,1178778.982504067,0
PKN,D,20000306,000000,14.5014,14.6208,14.1367,14.1991,1096152.1868961025,0
PKN,D,20000307,000000,14.1991,14.1991,13.8994,14.0743,924475.54445214,0
PKN,D,20000308,000000,13.5901,13.9557,13.5901,13.8353,1078768.7518308638,0
PKN,D,20000309,000000,14.0189,14.0189,13.5901,13.5901,940969.038684579,0
PKN,D,20000310,000000,14.1367,14.1367,13.7167,13.7729,946952.8096549899,0
PKN,D,20000313,000000,13.7167,13.8353,13.2333,13.4161,1817379.8119432423,0
PKN,D,20000314,000000,13.5901,14.0189,13.4161,14.0189,3889945.036548923,0
PKN,D,20000315,000000,13.7729,13.8353,13.5347,13.5901,1321065.9548622824,0
PKN,D,20000316,000000,14.0743,14.0743,13.7167,13.8994,1755280.8331409588,0
PKN,D,20000317,000000,14.1991,14.1991,14.0189,14.0743,2353830.911008877,0
PKN,D,20000320,000000,14.0743,14.0743,13.8994,13.9557,936050.4654373148,0
PKN,D,20000321,000000,13.8994,14.0189,13.7167,13.8353,733174.6824163623,0
PKN,D,20000322,000000,14.1991,14.6841,14.1991,14.5014,2632751.113963991,0
PKN,D,20000323,000000,14.5014,14.7413,14.5014,14.6208,2190744.132255417,0
PKN,D,20000324,000000,14.7413,14.8036,14.5593,14.6841,2026381.619904043,0
PKN,D,20000327,000000,14.6841,14.6841,14.3757,14.3757,861078.0714168327,0
PKN,D,20000328,000000,14.5014,14.5014,14.3203,14.5014,1373867.2142221436,0
PKN,D,20000329,000000,14.5014,14.5014,14.2571,14.3757,1168987.3572797584,0
PKN,D,20000330,000000,14.4381,14.4381,13.9557,14.0743,628702.2292298495,0
PKN,D,20000331,000000,13.8994,14.0743,13.8994,14.0743,677440.7152225815,0
PKN,D,20000403,000000,14.1367,14.1367,13.6543,13.6543,690012.5520255729,0
PKN,D,20000404,000000,13.6543,13.7167,13.4706,13.5901,1158577.7808122144,0
PKN,D,20000405,000000,13.6543,13.6543,13.2333,13.4161,1399435.3736729273,0
PKN,D,20000406,000000,13.4706,13.6543,13.4161,13.5901,757015.3096622993,0
PKN,D,20000407,000000,13.7167,13.7167,13.3511,13.5901,942659.0158414943,0
PKN,D,20000410,000000,13.7729,13.9557,13.7729,13.9557,866991.2844184026,0
PKN,D,20000411,000000,13.8994,13.8994,13.7167,13.8353,617014.6431008807,0
PKN,D,20000412,000000,13.9557,14.1991,13.8353,14.1367,878779.0173418554,0
PKN,D,20000413,000000,14.0189,14.1991,14.0189,14.1367,662061.3540787755,0
PKN,D,20000414,000000,14.1991,14.2571,14.0189,14.0743,898555.7331889074,0
PKN,D,20000417,000000,13.2333,13.4706,13.0506,13.3511,1708499.761767684,0
PKN,D,20000418,000000,13.7167,13.7167,13.2896,13.4161,949712.5366620737,0
PKN,D,20000419,000000,13.6543,13.6543,13.2896,13.2896,1224610.9353932561,0
PKN,D,20000420,000000,13.2896,13.5347,13.2896,13.4706,733689.0727698478,0
PKN,D,20000425,000000,13.5347,13.5901,13.2896,13.5901,611946.987693646,0
PKN,D,20000426,000000,13.5901,13.6543,13.4161,13.4161,511664.76743087854,0
PKN,D,20000427,000000,13.2896,13.5347,13.2896,13.4161,794568.081530237,0
PKN,D,20000428,000000,13.4706,13.5901,13.2896,13.5347,352151.4083896834,0
PKN,D,20000504,000000,13.3511,13.5347,13.2896,13.2896,320499.3311740052,0
PKN,D,20000505,000000,13.2333,13.3511,13.2333,13.2896,250491.0316710073,0
PKN,D,20000508,000000,13.2896,13.2896,13.113,13.2333,228431.42412242544,0
PKN,D,20000509,000000,13.2333,13.4161,13.1683,13.2896,538869.4165460689,0
PKN,D,20000510,000000,13.2896,13.4706,13.2896,13.4706,424513.157563052,0
PKN,D,20000511,000000,13.2896,13.7167,13.2896,13.6543,744306.9090486482,0
PKN,D,20000512,000000,13.5347,13.5347,13.3511,13.4161,453993.8701892393,0
PKN,D,20000515,000000,13.2896,13.2896,13.1683,13.2896,351234.15479475167,0
PKN,D,20000516,000000,13.4161,13.7167,13.2896,13.5901,656902.6561311012,0
PKN,D,20000517,000000,13.4706,13.5347,13.2896,13.5347,535600.9893442773,0
