<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO,D,20041110,000000,13.3056,14.1082,13.3056,14.0519,101976793.26654,0
PKO,D,20041112,000000,14.0519,14.7975,14.0519,14.1662,36434090.97811,0
PKO,D,20041115,000000,14.0519,14.1662,13.8252,14.1082,15156000.120921,0
PKO,D,20041116,000000,14.0519,14.1082,13.9948,14.0519,6878591.1914719,0
PKO,D,20041117,000000,14.0519,14.1082,13.9376,14.0519,5678156.1855479,0
PKO,D,20041118,000000,14.0519,14.1082,13.9948,14.0519,3158198.5365262,0
PKO,D,20041119,000000,14.1082,14.1082,13.9376,13.9376,5269801.0566669,0
PKO,D,20041122,000000,13.8814,13.9376,13.6474,13.8252,6458059.8026625,0
PKO,D,20041123,000000,13.7681,13.8252,13.6474,13.7681,6238744.8856522,0
PKO,D,20041124,000000,13.7681,13.7681,13.6474,13.7681,5580288.5177957,0
PKO,D,20041125,000000,13.7681,14.1662,13.7681,14.1662,4935764.8874613,0
PKO,D,20041126,000000,14.1082,14.1662,13.9948,14.1662,1873780.0849834,0
PKO,D,20041129,000000,14.1082,14.2234,14.0519,14.2234,3996256.6679163,0
PKO,D,20041130,000000,14.2234,14.393,14.1662,14.3368,8763455.9401391,0
PKO,D,20041201,000000,14.1662,14.4564,14.1082,14.4564,4332982.1333245,0
PKO,D,20041202,000000,14.393,14.6841,14.393,14.627,4713792.6503001,0
PKO,D,20041203,000000,14.627,14.6841,14.5117,14.6841,4740321.7469113,0
PKO,D,20041206,000000,14.5689,14.627,14.393,14.5689,2009789.6691934,0
PKO,D,20041207,000000,14.5117,14.8537,14.5117,14.8537,4847399.6201495,0
PKO,D,20041208,000000,14.6841,14.7975,14.627,14.7403,2190030.9537592,0
PKO,D,20041209,000000,14.627,14.6841,14.5117,14.5689,1475991.3872256,0
PKO,D,20041210,000000,14.5117,14.7403,14.5117,14.627,4155311.0617346,0
PKO,D,20041213,000000,14.5689,14.627,14.3368,14.4564,1715916.5234319,0
PKO,D,20041214,000000,14.393,14.5689,14.3368,14.4564,2669260.4497216,0
PKO,D,20041215,000000,14.393,14.5117,14.3368,14.393,1505099.5177925,0
PKO,D,20041216,000000,14.393,14.627,14.3368,14.5689,2324998.5597358,0
PKO,D,20041217,000000,14.5117,14.9108,14.4564,14.9108,4347535.6472967,0
PKO,D,20041220,000000,14.9108,15.4858,14.9108,15.4287,5307282.5022656,0
PKO,D,20041221,000000,15.3153,15.8268,15.201,15.7134,3986707.9573322,0
PKO,D,20041222,000000,15.7696,16.3456,15.3153,15.7134,4414798.9257911,0
PKO,D,20041223,000000,15.5429,15.8268,15.201,15.201,2044441.7855359,0
PKO,D,20041224,000000,15.201,15.4287,15.1439,15.4287,415358.986806,0
PKO,D,20041227,000000,15.4287,15.4287,15.2582,15.3716,777603.54664358,0
PKO,D,20041228,000000,15.3716,15.3716,15.1439,15.201,1027026.6728004,0
PKO,D,20041229,000000,15.201,15.7134,15.201,15.5991,2175166.5002507,0
PKO,D,20041230,000000,15.6563,16.0598,15.6563,15.8903,1800102.851585,0
PKO,D,20041231,000000,15.8903,16.0598,15.8903,15.9474,639739.35144018,0
PKO,D,20050103,000000,16.0598,16.458,16.0036,16.2884,2464420.7604883,0
PKO,D,20050104,000000,16.1741,16.2884,16.0036,16.1741,1727291.1768251,0
PKO,D,20050105,000000,16.0598,16.1741,15.7134,15.7134,2402560.3320934,0
PKO,D,20050106,000000,15.6563,16.0598,15.3716,15.9474,2291669.5903564,0
PKO,D,20050107,000000,15.8903,16.2304,15.8268,16.2304,2376428.1795711,0
PKO,D,20050110,000000,16.0598,16.117,15.8268,15.8903,1773193.3502219,0
PKO,D,20050111,000000,15.9474,16.0036,15.5991,15.9474,1702514.1473176,0
PKO,D,20050112,000000,15.7696,15.9474,15.6563,15.9474,943342.03787076,0
PKO,D,20050113,000000,15.9474,16.0598,15.8268,16.0036,2645764.6675234,0
PKO,D,20050114,000000,15.8903,15.9474,15.6563,15.6563,1314310.5466854,0
PKO,D,20050117,000000,15.7134,15.8268,15.4858,15.7134,1921592.0004969,0
PKO,D,20050118,000000,15.201,15.5991,15.0251,15.1439,2523784.8516127,0
