<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPS,D,19970522,000000,0.923216,0.923216,0.923216,0.923216,1182346.6470976952,0
PPS,D,19970523,000000,0.850279,0.850279,0.850279,0.850279,1873671.6765321884,0
PPS,D,19970526,000000,0.769332,0.769332,0.769332,0.769332,2273782.5294865193,0
PPS,D,19970527,000000,0.728811,0.728811,0.728811,0.728811,1665854.632407709,0
PPS,D,19970528,000000,0.728811,0.728811,0.728811,0.728811,1207229.9853338075,0
PPS,D,19970530,000000,0.736915,0.736915,0.736915,0.736915,780388.2500256567,0
PPS,D,19970602,000000,0.745112,0.745112,0.745112,0.745112,1609435.29417056,0
PPS,D,19970603,000000,0.712603,0.712603,0.712603,0.712603,1404083.0735755735,0
PPS,D,19970604,000000,0.647863,0.647863,0.647863,0.647863,2490837.294199538,0
PPS,D,19970605,000000,0.615447,0.615447,0.615447,0.615447,2389455.323607969,0
PPS,D,19970606,000000,0.631655,0.631655,0.631655,0.631655,1258105.6176884212,0
PPS,D,19970609,000000,0.607342,0.607342,0.607342,0.607342,1171876.5147444098,0
PPS,D,19970610,000000,0.566915,0.566915,0.566915,0.566915,1097839.485330211,0
PPS,D,19970611,000000,0.558811,0.558811,0.558811,0.558811,986356.6765030165,0
PPS,D,19970612,000000,0.591227,0.591227,0.591227,0.591227,1575313.161816497,0
PPS,D,19970613,000000,0.631655,0.631655,0.631655,0.631655,1266607.9706298772,0
PPS,D,19970616,000000,0.631655,0.631655,0.631655,0.631655,691693.2500227407,0
PPS,D,19970617,000000,0.623551,0.623551,0.623551,0.623551,913060.3823829596,0
PPS,D,19970618,000000,0.607342,0.607342,0.607342,0.607342,561361.4117831616,0
PPS,D,19970619,000000,0.591227,0.591227,0.591227,0.591227,804902.2941441096,0
PPS,D,19970620,000000,0.591227,0.591227,0.591227,0.591227,818945.1323798654,0
PPS,D,19970623,000000,0.558811,0.558811,0.558811,0.558811,824859.2059094716,0
PPS,D,19970624,000000,0.542603,0.542603,0.542603,0.542603,1065442.5147409106,0
PPS,D,19970625,000000,0.526395,0.526395,0.526395,0.526395,923900.882383316,0
PPS,D,19970626,000000,0.510186,0.510186,0.510186,0.510186,994855.8088562371,0
PPS,D,19970627,000000,0.526395,0.526395,0.526395,0.526395,1343721.7353382949,0
PPS,D,19970630,000000,0.534499,0.534499,0.534499,0.534499,540543.5294295361,0
PPS,D,19970701,000000,0.51829,0.51829,0.51829,0.51829,564688.2794303298,0
PPS,D,19970702,000000,0.51829,0.51829,0.51829,0.51829,492870.2353103216,0
PPS,D,19970703,000000,0.550707,0.550707,0.550707,0.550707,962335.3823845796,0
PPS,D,19970704,000000,0.599332,0.599332,0.599332,0.599332,778540.7059079489,0
PPS,D,19970707,000000,0.583123,0.583123,0.583123,0.583123,649318.897080171,0
PPS,D,19970708,000000,0.599332,0.599332,0.599332,0.599332,569861.617665794,0
PPS,D,19970709,000000,0.623551,0.623551,0.623551,0.623551,1224598.6176873196,0
PPS,D,19970710,000000,0.623551,0.623551,0.623551,0.623551,760677.1764955969,0
PPS,D,19970711,000000,0.599332,0.599332,0.599332,0.599332,606817.867667009,0
PPS,D,19970714,000000,0.542603,0.542603,0.542603,0.542603,428443.44119055645,0
PPS,D,19970715,000000,0.526395,0.526395,0.526395,0.526395,1768592.470646381,0
PPS,D,19970716,000000,0.542603,0.542603,0.542603,0.542603,1035137.8529752084,0
PPS,D,19970717,000000,0.542603,0.542603,0.542603,0.542603,995842.3823856813,0
PPS,D,19970718,000000,0.534499,0.534499,0.534499,0.534499,373256.5147181538,0
PPS,D,19970721,000000,0.493978,0.493978,0.493978,0.493978,1291490.2353365778,0
PPS,D,19970722,000000,0.493978,0.493978,0.493978,0.493978,795662.4264967471,0
PPS,D,19970723,000000,0.502082,0.502082,0.502082,0.502082,794801.4559084835,0
PPS,D,19970724,000000,0.469666,0.469666,0.469666,0.469666,592528.1176665393,0
PPS,D,19970725,000000,0.469666,0.469666,0.469666,0.469666,1315758.4412197284,0
PPS,D,19970728,000000,0.453476,0.453476,0.453476,0.453476,1125311.102978173,0
PPS,D,19970729,000000,0.445363,0.445363,0.445363,0.445363,721011.3382589986,0
PPS,D,19970730,000000,0.46158,0.46158,0.46158,0.46158,939669.9559132463,0
PPS,D,19970731,000000,0.469666,0.469666,0.469666,0.469666,464906.94119175524,0
PPS,D,19970801,000000,0.437352,0.437352,0.437352,0.437352,522435.2353112936,0
PPS,D,19970804,000000,0.46158,0.46158,0.46158,0.46158,666070.2500218982,0
