<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNT,D,20070816,000000,10.1167,11.1284,9.45167,10.2702,108805.1765795131,0
QNT,D,20070817,000000,10.4883,11.1844,9.86668,10.7295,54184.37121418586,0
QNT,D,20070820,000000,11.4974,11.649,10.7658,10.9866,15392.479919712423,0
QNT,D,20070821,000000,11.1391,11.1391,10.2196,10.7295,28138.161511960192,0
QNT,D,20070822,000000,10.4856,11.7518,10.4856,11.7518,18806.139287942293,0
QNT,D,20070823,000000,11.649,11.649,11.2979,11.649,13446.006160358356,0
QNT,D,20070824,000000,11.4974,11.6446,10.9866,11.6446,5833.782593938923,0
QNT,D,20070827,000000,11.4202,11.7518,11.4202,11.5479,13897.100890220248,0
QNT,D,20070828,000000,11.2411,11.5479,11.0105,11.4663,1066.8390361233755,0
QNT,D,20070829,000000,10.7614,11.4353,10.7614,11.2411,1339.7513476898202,0
QNT,D,20070830,000000,11.2411,11.4592,10.8838,11.2154,6411.183848162146,0
QNT,D,20070831,000000,10.9866,11.2411,10.8838,11.1391,4323.742985726239,0
QNT,D,20070903,000000,10.8482,11.2411,10.7809,10.8882,3454.257893917441,0
QNT,D,20070904,000000,11.2358,11.2411,10.991,11.1134,3083.2324786060344,0
QNT,D,20070905,000000,11.062,11.2411,10.8838,11.2411,2915.1996917324796,0
QNT,D,20070906,000000,11.2313,11.2313,11.1905,11.1905,1637.4738693986694,0
QNT,D,20070907,000000,10.9866,11.0372,10.474,10.7295,5075.943447770945,0
QNT,D,20070910,000000,10.7295,10.7295,10.4944,10.5042,1128.8645614793859,0
QNT,D,20070911,000000,10.5007,11.2003,10.474,10.4883,2050.225547222301,0
QNT,D,20070912,000000,10.474,10.9741,10.474,10.9741,629.2771481573399,0
QNT,D,20070913,000000,10.7295,10.9237,10.4856,10.7295,1189.762350010741,0
QNT,D,20070914,000000,10.4794,10.9654,10.4794,10.5565,1339.7513476898202,0
QNT,D,20070917,000000,10.3774,10.7295,10.3721,10.7251,1530.33887105647,0
QNT,D,20070918,000000,10.3721,10.7295,10.3721,10.7251,3464.4075253393335,0
QNT,D,20070919,000000,10.827,10.8838,10.6328,10.7295,7994.526349977387,0
QNT,D,20070920,000000,10.7295,10.7295,10.53,10.6789,2668.2253271330937,0
QNT,D,20070921,000000,10.5769,10.6789,10.5521,10.5521,1334.1126635665469,0
QNT,D,20070924,000000,10.5769,10.5814,9.71858,10.474,5114.2864998092045,0
QNT,D,20070925,000000,10.224,10.474,10.2196,10.474,915.7223016196416,0
QNT,D,20070926,000000,10.7295,10.7295,10.2763,10.474,1410.7987676430685,0
QNT,D,20070927,000000,10.2799,10.4696,10.2763,10.4696,978.8755638003064,0
QNT,D,20070928,000000,10.2196,10.4182,10.1682,10.4182,2758.444273105472,0
QNT,D,20071001,000000,9.98907,10.4138,9.98907,10.0201,3925.6518866231186,0
QNT,D,20071002,000000,10.0449,10.1983,9.91187,10.1637,2885.8785342914566,0
QNT,D,20071003,000000,9.96418,9.96418,9.55453,9.56961,2691.907800450843,0
QNT,D,20071004,000000,9.50931,10.0095,9.50931,10.0095,7744.1687749040375,0
QNT,D,20071005,000000,9.55896,9.70794,9.55896,9.70794,694.6858839873144,0
QNT,D,20071008,000000,9.70794,9.70794,9.70794,9.70794,1249.5324017174419,0
QNT,D,20071009,000000,9.70794,9.75937,9.63168,9.75937,1849.4883924337587,0
QNT,D,20071010,000000,9.70794,10.4226,9.70794,10.1832,1785.207393428439,0
QNT,D,20071011,000000,9.96418,10.1415,9.96418,9.96418,546.9523599575444,0
QNT,D,20071012,000000,9.68311,10.0919,9.68311,10.0147,1379.222136552736,0
QNT,D,20071015,000000,9.76908,10.1469,9.76908,10.1469,445.45604573861874,0
QNT,D,20071016,000000,9.76468,10.0041,9.76468,10.0041,2.255473649309462,0
QNT,D,20071017,000000,9.75937,9.95891,9.75937,9.76468,592.0618329437337,0
QNT,D,20071018,000000,9.76468,9.95891,9.76468,9.7842,1498.7622399661375,0
QNT,D,20071019,000000,9.7842,9.93851,9.7842,9.93851,2402.0794365145766,0
QNT,D,20071022,000000,9.88708,9.88708,9.80987,9.88708,1582.2147649905876,0
QNT,D,20071023,000000,9.71858,9.7842,9.70794,9.7842,1057.8171415261377,0
QNT,D,20071024,000000,9.70794,9.7842,9.70794,9.70794,2946.7763228228123,0
QNT,D,20071025,000000,9.70794,9.70794,9.65207,9.70794,1157.057982095754,0
QNT,D,20071026,000000,9.65207,9.70794,9.60597,9.61661,408.24073052501257,0
QNT,D,20071029,000000,9.70794,9.70794,9.60597,9.60597,1349.900979111713,0
QNT,D,20071030,000000,9.50222,9.55453,9.50222,9.52881,553.718780905473,0
QNT,D,20071031,000000,9.52881,9.70794,9.45167,9.70262,4117.367146814423,0
QNT,D,20071102,000000,9.64675,9.70262,9.45167,9.50931,2963.692375192633,0
QNT,D,20071105,000000,9.70794,9.87644,9.70794,9.8046,3576.053470980152,0
QNT,D,20071106,000000,9.27521,9.88171,9.27521,9.87644,4791.753767957952,0
QNT,D,20071107,000000,9.86668,10.342,9.86668,10.342,15053.031135491348,0
QNT,D,20071108,000000,10.1682,10.5264,9.96418,10.2196,10566.894047014828,0
QNT,D,20071109,000000,10.2196,10.2958,10.2196,10.2196,7667.482670827516,0
QNT,D,20071112,000000,10.2958,10.3207,10.1167,10.2196,1128.8645614793859,0
QNT,D,20071113,000000,10.2196,10.4226,10.2196,10.4226,2894.9004288886945,0
QNT,D,20071114,000000,10.2196,10.3721,10.2196,10.3721,225.54736493094617,0
QNT,D,20071115,000000,10.1682,10.2958,10.1682,10.2196,10448.481680426083,0
QNT,D,20071116,000000,9.98907,10.2702,9.56517,10.1167,3288.4805806931954,0
QNT,D,20071119,000000,10.1167,10.3721,10.1167,10.3677,1065.7112992987209,0
QNT,D,20071120,000000,10.3677,10.3677,9.58557,10.3615,5980.388381144039,0
QNT,D,20071121,000000,10.2702,10.2702,9.96418,10.0919,4166.987567099231,0
QNT,D,20071122,000000,9.71326,10.2702,9.63168,10.2702,9765.073164685316,0
QNT,D,20071123,000000,10.2196,10.2702,10.2196,10.2702,1099.5434040383627,0
QNT,D,20071126,000000,10.4696,10.4696,9.71326,10.3978,1639.7293430479788,0
QNT,D,20071127,000000,10.2196,10.3721,10.2196,10.3721,42.853999336879774,0
QNT,D,20071128,000000,9.80987,10.3978,9.80987,10.3207,960.8317746058308,0
QNT,D,20071129,000000,10.4634,10.4634,10.224,10.2294,594.3173065930432,0
QNT,D,20071130,000000,10.4032,10.4032,10.2196,10.3978,439.8173616153451,0
QNT,D,20071203,000000,10.3677,10.4226,9.96418,10.3881,2527.258224051252,0
QNT,D,20071204,000000,10.2196,10.4226,10.2196,10.4182,7591.924303575649,0
QNT,D,20071205,000000,10.3978,10.4226,10.3978,10.4226,372.15315213606124,0
QNT,D,20071206,000000,10.4226,10.4226,9.70794,10.2702,1939.7073384061373,0
QNT,D,20071207,000000,10.1584,10.4599,10.1584,10.4599,306.74441630608686,0
QNT,D,20071210,000000,10.3881,10.3881,9.91187,10.2196,2585.9005389332983,0
QNT,D,20071211,000000,10.2196,10.2196,10.2196,10.2196,213.14225985974414,0
QNT,D,20071212,000000,9.96867,10.224,9.96867,10.224,1404.03234669514,0
QNT,D,20071213,000000,10.2196,10.2196,9.98907,10.0147,456.733413985166,0
QNT,D,20071214,000000,9.99522,9.99522,9.98907,9.98907,1038.645615507007,0
QNT,D,20071217,000000,9.86219,10.2196,9.86219,10.2196,11854.769500770532,0
QNT,D,20071218,000000,10.1637,10.1637,9.86219,10.1167,2000.6051269374927,0
QNT,D,20071219,000000,9.96867,10.0866,9.65739,10.0866,2834.002640357339,0
QNT,D,20071220,000000,9.50222,9.95891,9.50222,9.80987,5991.665749390586,0
QNT,D,20071221,000000,9.80987,9.96418,9.70794,9.96418,6598.388161054831,0
QNT,D,20071227,000000,9.96418,10.3721,9.96418,10.3721,998.0470898194369,0
QNT,D,20071228,000000,9.76908,10.474,9.76908,10.4226,2619.73264367294,0
QNT,D,20080102,000000,10.2196,10.3924,10.2196,10.3924,119.54010341340148,0
QNT,D,20080103,000000,9.96867,10.2196,9.96867,10.2134,604.4669380149357,0
QNT,D,20080104,000000,9.96867,10.0919,9.96418,10.0919,747.6895147460867,0
QNT,D,20080107,000000,9.71326,9.95891,9.71326,9.9429,669.8756738449101,0
QNT,D,20080108,000000,9.9429,9.9429,9.75937,9.9429,2000.6051269374927,0
QNT,D,20080109,000000,9.76468,9.93851,9.76468,9.80987,2214.875123621892,0
QNT,D,20080110,000000,9.88708,10.0095,9.65739,10.0095,1476.2075034730428,0
QNT,D,20080111,000000,9.45167,9.90123,9.45167,9.90123,75.55836725186697,0
QNT,D,20080114,000000,9.45167,9.8046,9.2025,9.8046,3442.9805256708937,0
QNT,D,20080115,000000,9.3497,9.77884,9.32487,9.70794,416.1348882975957,0
QNT,D,20080116,000000,8.1809,9.60153,8.1809,9.55453,23243.78369295866,0
