<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPC,D,19971216,000000,12.4943,12.4943,12.4943,12.4943,44218.70616983365,0
RPC,D,19971217,000000,13.057,13.057,13.057,13.057,40200.18765158828,0
RPC,D,19971218,000000,12.4943,12.4943,12.4943,12.4943,29780.972837481575,0
RPC,D,19971219,000000,11.996,11.996,11.996,11.996,10654.967900510428,0
RPC,D,19971222,000000,10.8081,10.8081,10.8081,10.8081,0,0
RPC,D,19971223,000000,10.6821,10.6821,10.6821,10.6821,25180.57283779417,0
RPC,D,19971229,000000,10.7437,10.7437,10.7437,10.7437,9157.93580184665,0
RPC,D,19971230,000000,10.935,10.935,10.935,10.935,13458.286418838605,0
RPC,D,19971231,000000,10.6186,10.6186,10.6186,10.6186,19312.464196218567,0
RPC,D,19980105,000000,10.8706,10.8706,10.8706,10.8706,9288.6716043069,0
RPC,D,19980106,000000,10.8706,10.8706,10.8706,10.8706,7790.567900705024,0
RPC,D,19980107,000000,10.6186,10.6186,10.6186,10.6186,7130.459258774585,0
RPC,D,19980108,000000,10.4927,10.4927,10.4927,10.4927,7830.217283418378,0
RPC,D,19980109,000000,10.4927,10.4927,10.4927,10.4927,4790.074073748481,0
RPC,D,19980112,000000,9.49417,9.49417,9.49417,9.49417,1602.0493826071543,0
RPC,D,19980113,000000,9.68365,9.68365,9.68365,9.68365,9166.508641352239,0
RPC,D,19980114,000000,9.68365,9.68365,9.68365,9.68365,7905.229629092291,0
RPC,D,19980115,000000,9.7471,9.7471,9.7471,9.7471,10089.160493141377,0
RPC,D,19980116,000000,9.36913,9.36913,9.36913,9.36913,5399.8172835835785,0
RPC,D,19980119,000000,9.49417,9.49417,9.49417,9.49417,3734.5432096226973,0
RPC,D,19980120,000000,9.36913,9.36913,9.36913,9.36913,13935.150616336537,0
RPC,D,19980121,000000,9.18342,9.18342,9.18342,9.18342,2575.066666491633,0
RPC,D,19980122,000000,9.05837,9.05837,9.05837,9.05837,11225.061727632587,0
RPC,D,19980123,000000,8.74259,8.74259,8.74259,8.74259,4500.740740434814,0
RPC,D,19980126,000000,9.24687,9.24687,9.24687,9.24687,10806.064196796144,0
RPC,D,19980127,000000,9.05837,9.05837,9.05837,9.05837,4423.585184884504,0
RPC,D,19980128,000000,9.05837,9.05837,9.05837,9.05837,1292.355555467711,0
RPC,D,19980129,000000,9.92993,9.92993,9.92993,9.92993,7574.103703188874,0
RPC,D,19980130,000000,9.86648,9.86648,9.86648,9.86648,7084.380246432038,0
RPC,D,19980202,000000,10.3079,10.3079,10.3079,10.3079,3808.483950358412,0
RPC,D,19980203,000000,10.7437,10.7437,10.7437,10.7437,8293.150616720244,0
RPC,D,19980204,000000,10.935,10.935,10.935,10.935,13697.254320057034,0
RPC,D,19980205,000000,10.4292,10.4292,10.4292,10.4292,4477.165431794442,0
RPC,D,19980206,000000,10.6186,10.6186,10.6186,10.6186,6507.856789681102,0
RPC,D,19980209,000000,10.8081,10.8081,10.8081,10.8081,7107.955555072411,0
RPC,D,19980210,000000,11.8691,11.8691,11.8691,11.8691,28094.266664756928,0
RPC,D,19980211,000000,11.5537,11.5537,11.5537,11.5537,7089.738271123032,0
RPC,D,19980212,000000,11.5537,11.5537,11.5537,11.5537,6402.839505737624,0
RPC,D,19980213,000000,10.9901,10.9901,10.9901,10.9901,3537.3679009941243,0
RPC,D,19980216,000000,10.8706,10.8706,10.8706,10.8706,4554.320987344753,0
RPC,D,19980217,000000,10.8081,10.8081,10.8081,10.8081,1712.4246912416272,0
RPC,D,19980218,000000,11.5537,11.5537,11.5537,11.5537,10839.28394988103,0
RPC,D,19980219,000000,12.3049,12.3049,12.3049,12.3049,23781.056788507416,0
RPC,D,19980220,000000,11.5537,11.5537,11.5537,11.5537,19123.861727095376,0
RPC,D,19980223,000000,11.744,11.744,11.744,11.744,22429.762961438046,0
RPC,D,19980224,000000,11.8691,11.8691,11.8691,11.8691,10965.73333258807,0
RPC,D,19980225,000000,11.4968,11.4968,11.4968,11.4968,16359.120986542559,0
RPC,D,19980226,000000,11.5537,11.5537,11.5537,11.5537,10895.007406666744,0
RPC,D,19980227,000000,11.5537,11.5537,11.5537,11.5537,8609.274073488881,0
RPC,D,19980302,000000,11.3708,11.3708,11.3708,11.3708,6910.780246443837,0
RPC,D,19980303,000000,11.5537,11.5537,11.5537,11.5537,8028.46419698515,0
RPC,D,19980304,000000,11.2439,11.2439,11.2439,11.2439,8117.407406855647,0
RPC,D,19980305,000000,11.1804,11.1804,11.1804,11.1804,3299.4716047139987,0
RPC,D,19980306,000000,10.9901,10.9901,10.9901,10.9901,6134.938271187932,0
RPC,D,19980309,000000,11.1804,11.1804,11.1804,11.1804,11409.377777002152,0
RPC,D,19980310,000000,11.2439,11.2439,11.2439,11.2439,7027.585184707503,0
RPC,D,19980311,000000,11.6163,11.6163,11.6163,11.6163,15021.75802366988,0
RPC,D,19980312,000000,11.1179,11.1179,11.1179,11.1179,5506.977777403455,0
RPC,D,19980313,000000,11.6788,11.6788,11.6788,11.6788,5203.713579893205,0
RPC,D,19980316,000000,11.6788,11.6788,11.6788,11.6788,7466.943209368997,0
RPC,D,19980317,000000,11.8691,11.8691,11.8691,11.8691,4659.338271288232,0
RPC,D,19980318,000000,12.3049,12.3049,12.3049,12.3049,18791.664196253758,0
RPC,D,19980319,000000,12.4943,12.4943,12.4943,12.4943,35199.00740501474,0
RPC,D,19980320,000000,12.4309,12.4309,12.4309,12.4309,13906.217283005275,0
RPC,D,19980323,000000,12.4943,12.4943,12.4943,12.4943,20941.303702280686,0
RPC,D,19980324,000000,12.4943,12.4943,12.4943,12.4943,33422.286417481606,0
RPC,D,19980325,000000,12.2405,12.2405,12.2405,12.2405,24186.123455146135,0
RPC,D,19980326,000000,11.0553,11.0553,11.0553,11.0553,12849.614813941083,0
RPC,D,19980327,000000,11.4333,11.4333,11.4333,11.4333,12328.814813977315,0
RPC,D,19980330,000000,11.4333,11.4333,11.4333,11.4333,11765.150616484556,0
RPC,D,19980331,000000,11.3708,11.3708,11.3708,11.3708,9645.516048727086,0
RPC,D,19980401,000000,11.3064,11.3064,11.3064,11.3064,5307.659258898485,0
RPC,D,19980402,000000,11.2439,11.2439,11.2439,11.2439,11390.088888114988,0
RPC,D,19980406,000000,11.3708,11.3708,11.3708,11.3708,11869.096295489733,0
RPC,D,19980407,000000,11.6788,11.6788,11.6788,11.6788,2997.2790121419466,0
RPC,D,19980408,000000,11.6163,11.6163,11.6163,11.6163,3296.2567898994025,0
RPC,D,19980409,000000,11.2439,11.2439,11.2439,11.2439,23755.338269989814,0
RPC,D,19980414,000000,11.2439,11.2439,11.2439,11.2439,6711.461727938868,0
RPC,D,19980415,000000,11.3708,11.3708,11.3708,11.3708,7157.249382229554,0
RPC,D,19980416,000000,11.5537,11.5537,11.5537,11.5537,7131.530863712784,0
RPC,D,19980417,000000,11.5537,11.5537,11.5537,11.5537,3343.4074071801483,0
RPC,D,19980420,000000,11.2439,11.2439,11.2439,11.2439,7174.395061240733,0
RPC,D,19980421,000000,10.3079,10.3079,10.3079,10.3079,2427.185185020204,0
RPC,D,19980422,000000,10.6186,10.6186,10.6186,10.6186,9793.397530198516,0
RPC,D,19980423,000000,10.6821,10.6821,10.6821,10.6821,3574.874073831081,0
RPC,D,19980424,000000,10.935,10.935,10.935,10.935,9674.449382058454,0
RPC,D,19980427,000000,11.1804,11.1804,11.1804,11.1804,12405.970369527002,0
RPC,D,19980428,000000,10.6186,10.6186,10.6186,10.6186,6183.160493406876,0
RPC,D,19980429,000000,10.0569,10.0569,10.0569,10.0569,4675.412345361213,0
RPC,D,19980430,000000,10.3079,10.3079,10.3079,10.3079,8822.523456190434,0
RPC,D,19980504,000000,10.5543,10.5543,10.5543,10.5543,4408.582715749721,0
RPC,D,19980505,000000,10.6186,10.6186,10.6186,10.6186,4559.679012035746,0
RPC,D,19980506,000000,10.4927,10.4927,10.4927,10.4927,1278.424691271127,0
RPC,D,19980507,000000,10.2463,10.2463,10.2463,10.2463,8441.032098191676,0
RPC,D,19980508,000000,10.1184,10.1184,10.1184,10.1184,2485.051851682937,0
RPC,D,19980511,000000,10.1819,10.1819,10.1819,10.1819,6811.1209871913525,0
RPC,D,19980512,000000,9.99338,9.99338,9.99338,9.99338,6064.212345266814,0
RPC,D,19980513,000000,9.62015,9.62015,9.62015,9.62015,3538.4395059323233,0
RPC,D,19980514,000000,9.62015,9.62015,9.62015,9.62015,4284.276542918664,0
RPC,D,19980515,000000,9.43071,9.43071,9.43071,9.43071,2577.2098763680306,0
RPC,D,19980518,000000,9.49417,9.49417,9.49417,9.49417,3007.9950615239345,0
