<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN,D,20000103,000000,19.7429,19.8113,19.3115,19.5281,19418780.49016354,0
SAN,D,20000104,000000,19.5384,19.6396,19.1343,19.32,19480500.91020568,0
SAN,D,20000105,000000,19.0471,19.2843,18.7929,18.9449,20611399.578704827,0
SAN,D,20000107,000000,18.7536,19.4878,18.7376,19.4362,21209334.944249537,0
SAN,D,20000110,000000,19.5206,19.5206,19.0068,19.1718,14917061.084084708,0
SAN,D,20000111,000000,19.244,19.2778,18.2951,18.6279,33773208.23282936,0
SAN,D,20000112,000000,18.3316,18.3804,18.0644,18.3804,26641909.28191414,0
SAN,D,20000113,000000,18.4835,18.4994,17.9856,18.2182,24387402.27893862,0
SAN,D,20000114,000000,18.1779,18.7057,18.0456,18.5735,34775185.5131855,0
SAN,D,20000117,000000,18.6927,18.7264,17.7616,17.9087,69903039.3351708,0
SAN,D,20000118,000000,17.9397,17.9397,16.987,17.1024,44445749.610561386,0
SAN,D,20000119,000000,16.8773,17.0573,16.6495,17.0423,45715080.37505544,0
SAN,D,20000120,000000,17.1765,17.6508,17.1136,17.3574,26004321.793869928,0
SAN,D,20000121,000000,17.4484,17.6134,16.6982,16.7967,40345829.34977325,0
SAN,D,20000124,000000,16.9589,17.2851,16.7798,16.9589,21886475.37383029,0
SAN,D,20000125,000000,16.9701,17.184,16.8707,17.1512,35048212.57500292,0
SAN,D,20000126,000000,17.3011,17.5637,17.0883,17.5149,50053405.009813175,0
SAN,D,20000127,000000,17.6302,17.6462,17.2542,17.483,110769016.31441432,0
SAN,D,20000128,000000,17.499,17.499,16.8014,16.8811,28961814.932264514,0
SAN,D,20000131,000000,17.1473,17.3452,16.8838,17.0986,109199982.00838389,0
SAN,D,20000201,000000,19.1981,19.1981,17.0376,17.318,25593467.319997124,0
SAN,D,20000202,000000,17.4643,17.4803,17.0676,17.3162,23462304.109064568,0
SAN,D,20000203,000000,17.4127,17.7925,17.2149,17.5936,25018020.438010607,0
SAN,D,20000204,000000,17.5815,17.7296,17.3378,17.5338,30544441.296095345,0
SAN,D,20000207,000000,17.7596,18.1038,17.6452,18.1038,27397483.723528028,0
SAN,D,20000208,000000,18.0878,18.4619,17.8421,18.3476,26890403.45257858,0
