<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCP,D,20170816,000000,13.8789,13.8789,11.5955,12.9869,29770.11971822,0
SCP,D,20170817,000000,12.9513,12.9513,10.7107,11.3457,3261.0774647789,0
SCP,D,20170818,000000,11.3315,11.3315,10.7107,11.3315,582.9859154912,0
SCP,D,20170821,000000,11.3457,12.0593,11.3457,12.0236,1186.9929577429,0
SCP,D,20170822,000000,12.1307,12.1307,9.74734,11.2387,1879.2887323887,0
SCP,D,20170823,000000,11.2387,11.2387,11.2387,11.2387,2.8028169014,0
SCP,D,20170824,000000,11.2387,11.2387,9.27638,10.0684,6154.9859154744,0
SCP,D,20170825,000000,10.4395,11.2387,9.27638,10.0756,3017.2323943571,0
SCP,D,20170828,000000,10.3396,10.3396,9.86151,9.98995,224.225352112,0
SCP,D,20170829,000000,9.98281,9.98281,9.51899,9.86151,163.9647887319,0
SCP,D,20170830,000000,9.98281,9.98281,9.28352,9.98281,452.6549295761,0
SCP,D,20170831,000000,9.98281,10.6964,9.27638,10.6964,2057.2676056276,0
SCP,D,20170901,000000,10.1469,10.3325,10.1469,10.3325,154.154929577,0
SCP,D,20170904,000000,10.3325,10.4181,10.3325,10.4181,169.5704225347,0
SCP,D,20170905,000000,10.4181,10.4181,10.4181,10.4181,2.8028169014,0
SCP,D,20170906,000000,10.4181,10.4181,10.3467,10.3467,141.5422535207,0
SCP,D,20170907,000000,10.6892,10.6892,10.6892,10.6892,5.6056338028,0
SCP,D,20170908,000000,10.6892,10.7035,10.5608,10.5608,535.3380281674,0
SCP,D,20170911,000000,10.5608,10.5608,10.0756,10.5608,16.8169014084,0
SCP,D,20170912,000000,10.5608,10.5608,10.3467,10.5608,283.0845070414,0
SCP,D,20170913,000000,10.5608,12.1307,10.0756,12.1307,3447.464788722,0
SCP,D,20170914,000000,12.1235,12.1235,12.1092,12.1235,326.5281690131,0
SCP,D,20170915,000000,12.1235,12.1235,12.1235,12.1235,43.4436619717,0
SCP,D,20170918,000000,12.1164,12.1164,11.5598,11.5598,218.6197183092,0
SCP,D,20170919,000000,12.1164,12.1164,12.1164,12.1164,2.8028169014,0
SCP,D,20170920,000000,12.1164,12.1164,12.1164,12.1164,2.8028169014,0
SCP,D,20170921,000000,12.1164,12.1164,11.1174,12.1164,138.7394366193,0
SCP,D,20170922,000000,12.1164,12.1164,11.1174,12.1164,151.3521126756,0
SCP,D,20170925,000000,12.1092,12.1164,10.9889,12.1164,49.0492957745,0
SCP,D,20170926,000000,12.1164,12.1164,12.1164,12.1164,2.8028169014,0
SCP,D,20170927,000000,12.1164,12.1164,12.1164,12.1164,2.8028169014,0
SCP,D,20170928,000000,12.1164,12.1164,11.5384,12.1164,239.6408450697,0
SCP,D,20170929,000000,12.1164,12.1164,12.1164,12.1164,2.8028169014,0
SCP,D,20171002,000000,12.1235,12.1235,12.1164,12.1164,2.8028169014,0
SCP,D,20171003,000000,12.1164,12.1164,12.1164,12.1164,2.8028169014,0
SCP,D,20171004,000000,12.1164,12.1164,12.1164,12.1164,2.8028169014,0
SCP,D,20171005,000000,12.1235,12.1235,11.5384,12.1164,154.154929577,0
SCP,D,20171006,000000,12.1164,12.1164,12.1164,12.1164,2.8028169014,0
SCP,D,20171009,000000,12.1164,12.1164,12.1164,12.1164,2.8028169014,0
SCP,D,20171010,000000,12.1164,12.1164,11.7025,12.1164,86.8873239434,0
SCP,D,20171011,000000,12.1164,12.1164,12.1164,12.1164,1.4014084507,0
SCP,D,20171012,000000,11.7667,11.7667,11.7667,11.7667,9.8098591549,0
SCP,D,20171013,000000,11.7667,12.095,11.6312,12.095,1565.3732394319,0
SCP,D,20171016,000000,11.7025,12.0022,9.74734,11.4171,608.2112676038,0
SCP,D,20171017,000000,12.1092,12.1092,11.1745,11.4171,11.2112676056,0
SCP,D,20171018,000000,12.1092,12.1092,11.4884,11.4884,4.2042253521,0
SCP,D,20171019,000000,11.4813,11.4884,11.4813,11.4884,7.0070422535,0
SCP,D,20171020,000000,12.1092,12.1092,11.4884,11.4884,2.8028169014,0
SCP,D,20171023,000000,12.1092,12.1092,12.1092,12.1092,2.8028169014,0
SCP,D,20171024,000000,12.1092,12.1092,12.1092,12.1092,2.8028169014,0
SCP,D,20171025,000000,12.1092,12.1092,12.1092,12.1092,1.4014084507,0
SCP,D,20171026,000000,12.1092,12.1092,12.1092,12.1092,2.8028169014,0
SCP,D,20171027,000000,12.1092,12.1092,12.1092,12.1092,2.8028169014,0
SCP,D,20171030,000000,12.1092,12.1092,12.1092,12.1092,2.8028169014,0
SCP,D,20171031,000000,12.1092,12.1092,11.4884,12.1092,67.2676056336,0
SCP,D,20171102,000000,12.1092,12.1092,12.1092,12.1092,2.8028169014,0
SCP,D,20171103,000000,12.1092,12.1092,11.7525,11.7525,2.8028169014,0
SCP,D,20171106,000000,11.7525,11.888,11.7453,11.888,661.4647887304,0
SCP,D,20171107,000000,11.5527,11.5527,11.5527,11.5527,2.8028169014,0
SCP,D,20171108,000000,11.5527,11.5527,11.5527,11.5527,2.8028169014,0
SCP,D,20171109,000000,11.5527,11.5527,11.5527,11.5527,2.8028169014,0
SCP,D,20171110,000000,11.5527,11.5527,11.5527,11.5527,2.8028169014,0
SCP,D,20171113,000000,11.5527,11.5527,11.5527,11.5527,2.8028169014,0
SCP,D,20171114,000000,11.5527,11.5527,11.5527,11.5527,2.8028169014,0
SCP,D,20171115,000000,11.5527,11.5527,11.0032,11.5527,5.6056338028,0
SCP,D,20171116,000000,11.5527,11.5527,11.5527,11.5527,2.8028169014,0
SCP,D,20171117,000000,11.5527,11.5527,11.5527,11.5527,2.8028169014,0
SCP,D,20171120,000000,11.5527,11.5598,11.5527,11.5598,85.4859154927,0
SCP,D,20171121,000000,11.5598,11.5598,11.0032,11.0032,231.2323943655,0
SCP,D,20171122,000000,10.9533,10.9533,10.9533,10.9533,229.8309859148,0
SCP,D,20171123,000000,11.5598,11.5598,11.0603,11.0603,2.8028169014,0
SCP,D,20171124,000000,11.5598,11.5598,11.0603,11.0603,2.8028169014,0
SCP,D,20171127,000000,11.5598,11.5598,10.5394,10.6322,189.1901408445,0
SCP,D,20171128,000000,11.5598,11.5598,10.6322,10.6322,28.028169014,0
SCP,D,20171129,000000,11.5598,11.5598,10.6322,10.6322,11.2112676056,0
SCP,D,20171130,000000,11.5598,11.5598,10.6322,10.6322,19.6197183098,0
SCP,D,20171201,000000,11.5598,11.5598,10.6322,10.6322,8.4084507042,0
SCP,D,20171204,000000,10.6322,10.6322,10.625,10.6322,71.4718309857,0
SCP,D,20171205,000000,11.5598,11.5598,10.6322,10.7035,81.2816901406,0
SCP,D,20171206,000000,11.5598,11.5598,10.204,10.204,273.2746478865,0
SCP,D,20171207,000000,10.204,10.204,9.63317,10.1612,465.2676056324,0
SCP,D,20171208,000000,10.204,10.204,9.49759,9.49759,309.7112676047,0
SCP,D,20171211,000000,9.63317,9.64744,9.62603,9.64744,1297.7042253482,0
SCP,D,20171212,000000,9.65457,9.98995,9.65457,9.98995,91.0915492955,0
SCP,D,20171213,000000,9.97568,9.97568,9.63317,9.81156,3531.549295764,0
SCP,D,20171214,000000,10.3467,10.3467,9.27638,9.27638,665.6690140825,0
SCP,D,20171215,000000,9.28352,9.28352,9.28352,9.28352,3090.1056337935,0
SCP,D,20171218,000000,9.27638,9.27638,9.11226,9.11226,826.830985913,0
SCP,D,20171219,000000,9.19789,9.19789,8.77688,8.84824,1269.6760563342,0
SCP,D,20171220,000000,8.77688,9.43337,8.56281,9.34774,2878.4929577378,0
SCP,D,20171221,000000,9.81156,9.81156,9.34774,9.34774,540.9436619702,0
SCP,D,20171222,000000,9.34774,9.70452,9.3406,9.70452,8981.6267605363,0
SCP,D,20171228,000000,10.3467,10.3467,10.3467,10.3467,287.2887323935,0
SCP,D,20180104,000000,10.5608,10.5608,10.5608,10.5608,18.2183098591,0
SCP,D,20180117,000000,10.5608,10.5608,10.5608,10.5608,238.239436619,0
SCP,D,20180118,000000,10.5608,10.5608,10.0613,10.0613,253.6549295767,0
SCP,D,20180119,000000,10.0613,10.0613,8.99095,8.99095,3755.774647876,0
SCP,D,20180124,000000,9.20503,9.20503,9.06231,9.06231,1388.7957746437,0
SCP,D,20180125,000000,9.13367,9.4191,9.06231,9.06231,2308.1197183029,0
SCP,D,20180126,000000,9.06231,9.06231,9.06231,9.06231,2.8028169014,0
SCP,D,20180129,000000,9.06231,9.4191,9.06231,9.27638,957.1619718281,0
SCP,D,20180130,000000,9.27638,9.49045,9.27638,9.49045,2.8028169014,0
SCP,D,20180131,000000,9.49045,9.49045,9.49045,9.49045,1.4014084507,0
SCP,D,20180201,000000,9.56181,9.77588,9.56181,9.77588,95.2957746476,0
SCP,D,20180206,000000,9.70452,9.70452,9.34774,9.34774,284.4859154921,0
SCP,D,20180212,000000,9.27638,9.27638,9.27638,9.27638,273.2746478865,0
SCP,D,20180220,000000,9.70452,9.70452,9.63317,9.63317,671.2746478853,0
SCP,D,20180221,000000,9.63317,9.63317,9.56181,9.56181,269.0704225344,0
SCP,D,20180223,000000,9.56181,9.56181,9.56181,9.56181,154.154929577,0
