<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK,D,19970116,000000,2.73873,2.73873,2.73873,2.73873,2912290.5652373387,0
SNK,D,19970117,000000,2.98779,2.98779,2.98779,2.98779,2420418.681175999,0
SNK,D,19970120,000000,2.83855,2.83855,2.83855,2.83855,1376150.5072558026,0
SNK,D,19970121,000000,2.73873,2.73873,2.73873,2.73873,877583.7826147065,0
SNK,D,19970122,000000,2.76359,2.76359,2.76359,2.76359,670839.3188451745,0
SNK,D,19970123,000000,2.83855,2.83855,2.83855,2.83855,690350.4202945835,0
SNK,D,19970124,000000,2.83855,2.83855,2.83855,2.83855,586068.3333373475,0
SNK,D,19970127,000000,2.83855,2.83855,2.83855,2.83855,1106797.4347901896,0
SNK,D,19970128,000000,2.78845,2.78845,2.78845,2.78845,697308.69565695,0
SNK,D,19970129,000000,2.68883,2.68883,2.68883,2.68883,337117.17391535256,0
SNK,D,19970130,000000,2.66406,2.66406,2.66406,2.66406,382301.00000261853,0
SNK,D,19970131,000000,2.63911,2.63911,2.63911,2.63911,390265.4057997745,0
SNK,D,19970203,000000,2.73873,2.73873,2.73873,2.73873,553360.1014530655,0
SNK,D,19970204,000000,2.78845,2.78845,2.78845,2.78845,633997.5942072411,0
SNK,D,19970205,000000,2.73873,2.73873,2.73873,2.73873,322763.681161631,0
SNK,D,19970206,000000,2.81322,2.81322,2.81322,2.81322,233687.8115958035,0
SNK,D,19970207,000000,2.86331,2.86331,2.86331,2.86331,407214.1014520645,0
SNK,D,19970210,000000,2.88817,2.88817,2.88817,2.88817,448205.18840886705,0
SNK,D,19970211,000000,2.88817,2.88817,2.88817,2.88817,286168.46377007605,0
SNK,D,19970212,000000,2.96303,2.96303,2.96303,2.96303,1084766.2463842416,0
SNK,D,19970213,000000,3.01256,3.01256,3.01256,3.01256,630018.5652217065,0
SNK,D,19970214,000000,3.162,3.162,3.162,3.162,685933.3913090461,0
SNK,D,19970217,000000,3.18657,3.18657,3.18657,3.18657,622699.5217433956,0
SNK,D,19970218,000000,3.41087,3.41087,3.41087,3.41087,736726.579715191,0
SNK,D,19970219,000000,3.43601,3.43601,3.43601,3.43601,1033648.2608766451,0
SNK,D,19970220,000000,3.23676,3.23676,3.23676,3.23676,372760.21739385754,0
SNK,D,19970221,000000,3.26172,3.26172,3.26172,3.26172,727853.3768165796,0
SNK,D,19970224,000000,3.162,3.162,3.162,3.162,314193.0579731665,0
SNK,D,19970225,000000,3.11218,3.11218,3.11218,3.11218,410153.14493034553,0
SNK,D,19970226,000000,3.162,3.162,3.162,3.162,759972.3188457851,0
SNK,D,19970227,000000,3.03742,3.03742,3.03742,3.03742,651179.0434827211,0
SNK,D,19970228,000000,3.08751,3.08751,3.08751,3.08751,756978.2608747501,0
SNK,D,19970303,000000,3.08751,3.08751,3.08751,3.08751,242276.4202915145,0
SNK,D,19970304,000000,3.08751,3.08751,3.08751,3.08751,210046.39130578653,0
SNK,D,19970305,000000,3.11218,3.11218,3.11218,3.11218,236323.21739292302,0
SNK,D,19970306,000000,3.212,3.212,3.212,3.212,232722.94203057952,0
SNK,D,19970307,000000,3.28629,3.28629,3.28629,3.28629,354789.52174156054,0
SNK,D,19970310,000000,3.18657,3.18657,3.18657,3.18657,172428.11594321002,0
SNK,D,19970311,000000,3.11218,3.11218,3.11218,3.11218,623193.594207167,0
SNK,D,19970312,000000,3.06209,3.06209,3.06209,3.06209,360171.420292322,0
SNK,D,19970313,000000,3.03742,3.03742,3.03742,3.03742,282795.65217585,0
SNK,D,19970314,000000,2.96303,2.96303,2.96303,2.96303,455125.37681471155,0
SNK,D,19970317,000000,2.9376,2.9376,2.9376,2.9376,110783.3188413385,0
SNK,D,19970318,000000,3.01256,3.01256,3.01256,3.01256,263547.98550905153,0
SNK,D,19970319,000000,3.06209,3.06209,3.06209,3.06209,374698.42029242154,0
SNK,D,19970320,000000,3.08751,3.08751,3.08751,3.08751,577987.5507285965,0
SNK,D,19970321,000000,3.08751,3.08751,3.08751,3.08751,142831.3768125725,0
SNK,D,19970324,000000,3.13704,3.13704,3.13704,3.13704,289752.869567202,0
SNK,D,19970325,000000,3.212,3.212,3.212,3.212,250314.88405968552,0
SNK,D,19970326,000000,3.28629,3.28629,3.28629,3.28629,694353.7826134516,0
SNK,D,19970327,000000,3.28629,3.28629,3.28629,3.28629,628160.7681202445,0
SNK,D,19970401,000000,3.11218,3.11218,3.11218,3.11218,1041861.2898622085,0
SNK,D,19970402,000000,3.162,3.162,3.162,3.162,453195.6376842635,0
SNK,D,19970403,000000,3.162,3.162,3.162,3.162,295840.434784635,0
SNK,D,19970404,000000,3.18657,3.18657,3.18657,3.18657,176501.30434903502,0
SNK,D,19970407,000000,3.28629,3.28629,3.28629,3.28629,313226.07246591354,0
SNK,D,19970408,000000,3.36134,3.36134,3.36134,3.36134,298987.89855277253,0
SNK,D,19970409,000000,3.46078,3.46078,3.46078,3.46078,695943.913048245,0
SNK,D,19970410,000000,3.53535,3.53535,3.53535,3.53535,737239.6956572236,0
SNK,D,19970411,000000,3.46078,3.46078,3.46078,3.46078,129878.63768204901,0
SNK,D,19970414,000000,3.31172,3.31172,3.31172,3.31172,296086.94203101355,0
SNK,D,19970415,000000,3.41087,3.41087,3.41087,3.41087,168995.00000115752,0
SNK,D,19970416,000000,3.48573,3.48573,3.48573,3.48573,201097.01449413103,0
SNK,D,19970417,000000,3.48573,3.48573,3.48573,3.48573,345269.89855308953,0
SNK,D,19970418,000000,3.38592,3.38592,3.38592,3.38592,236094.69565379102,0
SNK,D,19970421,000000,3.5103,3.5103,3.5103,3.5103,96849.84058037351,0
SNK,D,19970422,000000,3.48573,3.48573,3.48573,3.48573,141993.4637690885,0
SNK,D,19970423,000000,3.58535,3.58535,3.58535,3.58535,316015.94203115004,0
SNK,D,19970424,000000,3.58535,3.58535,3.58535,3.58535,202609.91304486603,0
SNK,D,19970425,000000,3.38592,3.38592,3.38592,3.38592,92868.69565281001,0
SNK,D,19970428,000000,3.28629,3.28629,3.28629,3.28629,71499.79710193901,0
SNK,D,19970429,000000,3.33629,3.33629,3.33629,3.33629,67118.73913089451,0
SNK,D,19970430,000000,3.43601,3.43601,3.43601,3.43601,115108.3043486145,0
SNK,D,19970505,000000,3.48573,3.48573,3.48573,3.48573,231525.31884216552,0
SNK,D,19970506,000000,3.48573,3.48573,3.48573,3.48573,306666.6521760135,0
SNK,D,19970507,000000,3.38592,3.38592,3.38592,3.38592,89471.5507252505,0
SNK,D,19970508,000000,3.33629,3.33629,3.33629,3.33629,124969.65217476901,0
SNK,D,19970509,000000,3.33629,3.33629,3.33629,3.33629,119431.17391386151,0
SNK,D,19970512,000000,3.28629,3.28629,3.28629,3.28629,213285.8985521855,0
SNK,D,19970513,000000,3.33629,3.33629,3.33629,3.33629,140117.68116038002,0
SNK,D,19970514,000000,3.28629,3.28629,3.28629,3.28629,142393.3768125695,0
SNK,D,19970515,000000,3.28629,3.28629,3.28629,3.28629,136154.521740063,0
SNK,D,19970516,000000,3.31172,3.31172,3.31172,3.31172,186609.159421568,0
SNK,D,19970519,000000,3.33629,3.33629,3.33629,3.33629,109533.85507321401,0
SNK,D,19970520,000000,3.41087,3.41087,3.41087,3.41087,84127.73913101101,0
SNK,D,19970521,000000,3.43601,3.43601,3.43601,3.43601,88468.5942035045,0
SNK,D,19970522,000000,3.43601,3.43601,3.43601,3.43601,101968.30434852451,0
SNK,D,19970523,000000,3.33629,3.33629,3.33629,3.33629,227944.086958083,0
SNK,D,19970526,000000,3.26172,3.26172,3.26172,3.26172,111754.53623264951,0
SNK,D,19970527,000000,3.28629,3.28629,3.28629,3.28629,35075.971014733004,0
SNK,D,19970528,000000,3.31172,3.31172,3.31172,3.31172,12685.072463855002,0
SNK,D,19970530,000000,3.38592,3.38592,3.38592,3.38592,202138.05797239902,0
SNK,D,19970602,000000,3.43601,3.43601,3.43601,3.43601,142905.43478358752,0
SNK,D,19970603,000000,3.38592,3.38592,3.38592,3.38592,111925.92753699851,0
SNK,D,19970604,000000,3.31172,3.31172,3.31172,3.31172,69300.2753627935,0
SNK,D,19970605,000000,3.26172,3.26172,3.26172,3.26172,44918.275362626504,0
SNK,D,19970606,000000,3.33629,3.33629,3.33629,3.33629,68029.652174379,0
SNK,D,19970609,000000,3.38592,3.38592,3.38592,3.38592,95522.08695717601,0
SNK,D,19970610,000000,3.33629,3.33629,3.33629,3.33629,27987.565217583004,0
SNK,D,19970611,000000,3.31172,3.31172,3.31172,3.31172,18108.231884182,0
SNK,D,19970612,000000,3.36134,3.36134,3.36134,3.36134,68122.75362365501,0
SNK,D,19970613,000000,3.41087,3.41087,3.41087,3.41087,253104.753624922,0
SNK,D,19970616,000000,3.26172,3.26172,3.26172,3.26172,50586.884058317504,0
SNK,D,19970617,000000,3.31172,3.31172,3.31172,3.31172,65527.550725086505,0
SNK,D,19970618,000000,3.23676,3.23676,3.23676,3.23676,28913.2898552705,0
SNK,D,19970619,000000,3.23676,3.23676,3.23676,3.23676,113534.0434790385,0
SNK,D,19970620,000000,3.23676,3.23676,3.23676,3.23676,119717.88405879101,0
SNK,D,19970623,000000,3.212,3.212,3.212,3.212,144934.62318939852,0
SNK,D,19970624,000000,3.13704,3.13704,3.13704,3.13704,68050.81159466901,0
SNK,D,19970625,000000,3.08751,3.08751,3.08751,3.08751,61544.289855494004,0
SNK,D,19970626,000000,2.96303,2.96303,2.96303,2.96303,486468.8260902885,0
SNK,D,19970627,000000,3.01256,3.01256,3.01256,3.01256,222215.17391456553,0
SNK,D,19970630,000000,3.13704,3.13704,3.13704,3.13704,149560.07246479252,0
SNK,D,19970701,000000,3.11218,3.11218,3.11218,3.11218,54796.550725013,0
SNK,D,19970702,000000,3.13704,3.13704,3.13704,3.13704,40428.2463770885,0
SNK,D,19970703,000000,3.06209,3.06209,3.06209,3.06209,29825.260869769503,0
SNK,D,19970704,000000,3.18657,3.18657,3.18657,3.18657,72163.14492803051,0
SNK,D,19970707,000000,3.23676,3.23676,3.23676,3.23676,35380.666666909005,0
SNK,D,19970708,000000,3.11218,3.11218,3.11218,3.11218,19911.01449289,0
SNK,D,19970709,000000,3.13704,3.13704,3.13704,3.13704,50037.797101792006,0
SNK,D,19970710,000000,3.13704,3.13704,3.13704,3.13704,82061.5217396925,0
SNK,D,19970711,000000,3.11218,3.11218,3.11218,3.11218,91557.8695658445,0
SNK,D,19970714,000000,2.98779,2.98779,2.98779,2.98779,393601.188408493,0
SNK,D,19970715,000000,3.08751,3.08751,3.08751,3.08751,113345.72463845751,0
SNK,D,19970716,000000,2.98779,2.98779,2.98779,2.98779,111447.7246384445,0
SNK,D,19970717,000000,2.98779,2.98779,2.98779,2.98779,104073.66666737951,0
SNK,D,19970718,000000,2.9376,2.9376,2.9376,2.9376,58019.130435180006,0
SNK,D,19970721,000000,2.88817,2.88817,2.88817,2.88817,190948.956523047,0
SNK,D,19970722,000000,2.91284,2.91284,2.91284,2.91284,97989.27536299001,0
SNK,D,19970723,000000,2.9376,2.9376,2.9376,2.9376,242692.20290021301,0
SNK,D,19970724,000000,2.9376,2.9376,2.9376,2.9376,111623.3478268515,0
SNK,D,19970725,000000,2.98779,2.98779,2.98779,2.98779,205493.94203039302,0
SNK,D,19970728,000000,2.98779,2.98779,2.98779,2.98779,269258.9130453225,0
SNK,D,19970729,000000,2.98779,2.98779,2.98779,2.98779,264573.15942210204,0
SNK,D,19970730,000000,3.01256,3.01256,3.01256,3.01256,160805.24637791302,0
SNK,D,19970731,000000,3.01256,3.01256,3.01256,3.01256,239490.78261033603,0
SNK,D,19970801,000000,3.01256,3.01256,3.01256,3.01256,228019.20290011252,0
SNK,D,19970804,000000,3.06209,3.06209,3.06209,3.06209,68880.260870037,0
SNK,D,19970805,000000,3.01256,3.01256,3.01256,3.01256,354162.144929962,0
SNK,D,19970806,000000,3.08751,3.08751,3.08751,3.08751,94422.8550731105,0
SNK,D,19970807,000000,3.13704,3.13704,3.13704,3.13704,161770.115943137,0
SNK,D,19970808,000000,3.26172,3.26172,3.26172,3.26172,213684.75362465202,0
SNK,D,19970811,000000,3.33629,3.33629,3.33629,3.33629,62493.28985550051,0
SNK,D,19970812,000000,3.23676,3.23676,3.23676,3.23676,159002.463769205,0
SNK,D,19970813,000000,3.28629,3.28629,3.28629,3.28629,75765.536232403,0
SNK,D,19970814,000000,3.23676,3.23676,3.23676,3.23676,118637.69565298651,0
