<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPH,D,20051124,000000,4.76306,4.77637,4.75625,4.76306,43823.040402850675,0
SPH,D,20051125,000000,4.76963,4.77637,4.76963,4.76963,12309.704290726757,0
SPH,D,20051128,000000,4.71626,4.78975,4.70985,4.71626,16071.037068994892,0
SPH,D,20051129,000000,4.73637,4.76963,4.73637,4.73637,510.38733864405384,0
SPH,D,20051130,000000,4.72291,4.74303,4.72291,4.72291,9024.23990066298,0
SPH,D,20051201,000000,4.70312,4.7496,4.70312,4.70312,4063.3735946154625,0
SPH,D,20051202,000000,4.68292,4.68292,4.64975,4.68292,3831.603498806085,0
SPH,D,20051205,000000,4.64975,4.64975,4.63653,4.64975,1049.1295294349995,0
SPH,D,20051206,000000,4.60984,4.66313,4.60984,4.60984,2402.7655145344465,0
SPH,D,20051207,000000,4.60327,4.6431,4.60327,4.60327,8443.581841480976,0
SPH,D,20051208,000000,4.61632,4.63653,4.60984,4.61632,9652.977926528843,0
SPH,D,20051209,000000,4.63653,4.64975,4.53659,4.63653,19096.3765111024,0
SPH,D,20051212,000000,4.50982,4.55654,4.48314,4.50982,10252.128280589255,0
SPH,D,20051213,000000,4.48314,4.52994,4.48314,4.48314,6905.022907597452,0
SPH,D,20051214,000000,4.37655,4.46326,4.23679,4.37655,13404.448147528496,0
SPH,D,20051215,000000,4.39651,4.49652,4.39651,4.39651,17089.346106965877,0
SPH,D,20051216,000000,4.39651,4.42992,4.39651,4.39651,7128.163265796906,0
SPH,D,20051219,000000,4.56312,4.61632,4.44331,4.56312,283087.44691661716,0
SPH,D,20051220,000000,4.49652,4.56312,4.48987,4.49652,2687.5468556619257,0
SPH,D,20051221,000000,4.55654,4.60984,4.52994,4.55654,432629.7043196663,0
SPH,D,20051222,000000,4.50982,4.57642,4.49652,4.50982,3122.732195133788,0
SPH,D,20051223,000000,4.48987,4.51664,4.47648,4.48987,7983.740108837905,0
SPH,D,20051227,000000,4.52313,4.52313,4.51664,4.52313,600.3831737189714,0
SPH,D,20051228,000000,4.57001,4.57001,4.57001,4.57001,750.7871720633545,0
SPH,D,20060103,000000,4.54317,4.57001,4.54317,4.54317,359.9833402996708,0
SPH,D,20060104,000000,4.50982,4.53659,4.50982,4.50982,71783.3902590032,0
SPH,D,20060105,000000,4.46983,4.52994,4.46983,4.46983,34449.91253881507,0
SPH,D,20060106,000000,4.51664,4.51664,4.48314,4.51664,3725.581008169881,0
SPH,D,20060109,000000,4.50334,4.50334,4.43657,4.50334,109225.35610914463,0
SPH,D,20060110,000000,4.52313,4.52313,4.47648,4.52313,5261.6743027362845,0
SPH,D,20060111,000000,4.57642,4.59653,4.51664,4.57642,35102.07413819358,0
SPH,D,20060112,000000,4.63653,4.64975,4.60984,4.63653,318334.9937745209,0
SPH,D,20060113,000000,4.62314,4.62314,4.62314,4.62314,6064.239900459181,0
SPH,D,20060116,000000,4.63653,4.64975,4.62314,4.63653,10538.142441375294,0
SPH,D,20060117,000000,4.70312,4.70985,4.67644,4.70312,17607.130363561297,0
SPH,D,20060118,000000,4.72291,4.72972,4.70312,4.72291,20760.6830501591,0
SPH,D,20060119,000000,4.71626,4.72972,4.69639,4.71626,136801.06623182626,0
SPH,D,20060120,000000,4.69639,4.70985,4.68966,4.69639,73023.60683551508,0
SPH,D,20060123,000000,4.70985,4.70985,4.68292,4.70985,73926.03082558137,0
SPH,D,20060124,000000,4.70312,4.71626,4.68292,4.70312,23869.85422904872,0
SPH,D,20060125,000000,4.69639,4.69639,4.68292,4.69639,10679.916702109755,0
SPH,D,20060126,000000,4.70985,4.72291,4.69639,4.70985,10391.436902006593,0
SPH,D,20060127,000000,4.72972,4.73637,4.71626,4.72972,24780.90795672494,0
SPH,D,20060130,000000,4.72972,4.79632,4.72972,4.72972,32936.00999810276,0
SPH,D,20060131,000000,4.81628,4.81628,4.7496,4.81628,133260.40817244045,0
SPH,D,20060201,000000,4.83623,4.88953,4.80962,4.83623,194672.08664397403,0
SPH,D,20060202,000000,4.9029,4.9029,4.85635,4.9029,24734.06080969964,0
SPH,D,20060203,000000,4.90955,4.90955,4.85635,4.90955,21282.165765730195,0
SPH,D,20060206,000000,4.86284,4.92959,4.83623,4.86284,63895.81008353301,0
SPH,D,20060207,000000,4.91621,4.93616,4.88953,4.91621,68110.82049615141,0
SPH,D,20060208,000000,4.94281,4.94963,4.94281,4.94281,4655.12703072451,0
SPH,D,20060209,000000,4.9029,4.9029,4.88953,4.9029,65444.231574685014,0
SPH,D,20060210,000000,4.9029,4.9029,4.8763,4.9029,85709.32112210279,0
SPH,D,20060213,000000,4.96277,4.97624,4.91621,4.96277,89330.11245929501,0
SPH,D,20060214,000000,4.9695,4.9695,4.90955,4.9695,27246.547273845972,0
SPH,D,20060215,000000,4.9695,4.98954,4.95612,4.9695,38023.856728982006,0
SPH,D,20060216,000000,5.00958,5.04283,4.91621,5.00958,1528557.067993623,0
SPH,D,20060217,000000,5.01615,5.02945,4.95612,5.01615,18028.75468678899,0
SPH,D,20060220,000000,5.06943,5.09604,5.05613,5.06943,61848.09663066399,0
SPH,D,20060221,000000,5.13595,5.13595,5.09604,5.13595,133775.72678971876,0
SPH,D,20060222,000000,5.20936,5.20936,5.12264,5.20936,13046.930446545945,0
SPH,D,20060223,000000,5.12938,5.18933,5.09604,5.12938,32087.830073013123,0
SPH,D,20060224,000000,5.13595,5.16255,5.06943,5.13595,258691.1786933631,0
SPH,D,20060227,000000,5.16945,5.16945,5.06278,5.16945,47360.0000032608,0
SPH,D,20060228,000000,5.16945,5.20263,5.16945,5.16945,82272.21991403606,0
SPH,D,20060301,000000,5.18276,5.18933,5.14276,5.18276,45172.97792897445,0
SPH,D,20060302,000000,5.16255,5.18276,5.15607,5.16255,9180.807997300166,0
SPH,D,20060306,000000,5.30264,5.3492,5.24935,5.30264,68384.50646035184,0
SPH,D,20060307,000000,5.41587,5.42237,5.32916,5.41587,193242.01584004384,0
SPH,D,20060308,000000,5.54242,5.54242,5.44913,5.54242,88354.95210937365,0
SPH,D,20060309,000000,5.40249,5.50251,5.40249,5.40249,21114.502292165966,0
SPH,D,20060310,000000,5.42237,5.47582,5.38262,5.42237,56217.80925001811,0
SPH,D,20060313,000000,5.46925,5.46925,5.44248,5.46925,88765.4810556743,0
SPH,D,20060314,000000,5.39584,5.42237,5.36924,5.39584,12064.373178673213,0
SPH,D,20060315,000000,5.37589,5.43575,5.36924,5.37589,79942.19075935669,0
SPH,D,20060316,000000,5.38919,5.38919,5.36924,5.38919,6652.294877592547,0
SPH,D,20060317,000000,5.37589,5.38919,5.36924,5.37589,936.9429405059925,0
SPH,D,20060320,000000,5.38919,5.42918,5.38262,5.38919,38492.328199235,0
SPH,D,20060321,000000,5.41587,5.42237,5.39584,5.41587,125477.61766794792,0
SPH,D,20060322,000000,5.37589,5.42237,5.37589,5.37589,25494.71053903148,0
SPH,D,20060323,000000,5.3492,5.37589,5.3492,5.3492,15940.358185187477,0
SPH,D,20060324,000000,5.3359,5.35594,5.27603,5.3359,29618.49229691641,0
SPH,D,20060327,000000,5.42918,5.43575,5.40249,5.42918,2152.5031238466618,0
SPH,D,20060328,000000,5.40249,5.42237,5.40249,5.40249,1058.9920867034837,0
SPH,D,20060329,000000,5.44913,5.47582,5.42237,5.44913,62205.61433164654,0
SPH,D,20060330,000000,5.44913,5.45578,5.42237,5.44913,64460.44148715372,0
SPH,D,20060331,000000,5.42918,5.42918,5.41587,5.42918,1597.734277494429,0
SPH,D,20060403,000000,5.45578,5.45578,5.41587,5.45578,5897.80924655351,0
SPH,D,20060404,000000,5.54242,5.54242,5.48921,5.54242,290097.25949519227,0
SPH,D,20060405,000000,5.55572,5.55572,5.52912,5.55572,162489.32945725173,0
SPH,D,20060406,000000,5.65574,5.67561,5.57567,5.65574,67150.45398213276,0
SPH,D,20060407,000000,5.69565,5.72882,5.66896,5.69565,85078.1174569198,0
SPH,D,20060410,000000,5.8221,5.86209,5.65574,5.8221,31981.807582376918,0
SPH,D,20060411,000000,5.88228,5.90208,5.80214,5.88228,13488.27988431061,0
SPH,D,20060412,000000,5.87548,5.89543,5.8354,5.87548,11332.078301488265,0
SPH,D,20060413,000000,5.8423,5.85552,5.81553,5.8423,4721.699292286778,0
SPH,D,20060414,000000,5.88228,5.88228,5.82892,5.88228,100183.8567332618,0
SPH,D,20060417,000000,5.76889,5.80888,5.76223,5.76889,6739.825073350344,0
SPH,D,20060418,000000,5.73571,5.8221,5.7023,5.73571,35812.17826152444,0
SPH,D,20060419,000000,5.67561,5.74893,5.67561,5.67561,65111.37026687367,0
SPH,D,20060420,000000,5.64235,5.6623,5.60893,5.64235,14052.911287931325,0
SPH,D,20060421,000000,5.65574,5.68891,5.60893,5.65574,41491.778428512735,0
SPH,D,20060425,000000,5.65574,5.65574,5.62231,5.65574,4147.2053313975775,0
SPH,D,20060426,000000,5.7023,5.7023,5.65574,5.7023,70805.76426976471,0
SPH,D,20060427,000000,5.70895,5.73571,5.68891,5.70895,153989.037911477,0
SPH,D,20060428,000000,5.66896,5.7023,5.66896,5.66896,161050.62891571163,0
