<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPL,D,19930622,000000,5.01405,5.01405,5.01405,5.01405,1225796.639766542,0
SPL,D,19930624,000000,4.57871,4.57871,4.57871,4.57871,1086586.9499452545,0
SPL,D,19930628,000000,4.57871,4.57871,4.57871,4.57871,516617.2177513933,0
SPL,D,19930629,000000,4.84547,4.84547,4.84547,4.84547,418602.67480514955,0
SPL,D,19930701,000000,5.01405,5.01405,5.01405,5.01405,677455.7618853578,0
SPL,D,19930705,000000,5.24585,5.24585,5.24585,5.24585,439105.53337519744,0
SPL,D,19930706,000000,5.27401,5.27401,5.27401,5.27401,306810.5580112936,0
SPL,D,19930708,000000,4.7472,4.7472,4.7472,4.7472,333059.80462900724,0
SPL,D,19930712,000000,4.84547,4.84547,4.84547,4.84547,156893.3259679127,0
SPL,D,19930713,000000,4.81032,4.81032,4.81032,4.81032,200355.28006171147,0
SPL,D,19930715,000000,4.7472,4.7472,4.7472,4.7472,362953.72167694365,0
SPL,D,19930719,000000,4.7472,4.7472,4.7472,4.7472,309574.75056755304,0
SPL,D,19930720,000000,4.67699,4.67699,4.67699,4.67699,379063.7152772201,0
SPL,D,19930722,000000,4.78225,4.78225,4.78225,4.78225,438328.7656354188,0
SPL,D,19930726,000000,4.78225,4.78225,4.78225,4.78225,284450.44142585143,0
SPL,D,19930727,000000,4.71195,4.71195,4.71195,4.71195,217244.15793511577,0
SPL,D,19930729,000000,4.78225,4.78225,4.78225,4.78225,285812.4306371426,0
SPL,D,19930802,000000,4.84547,4.84547,4.84547,4.84547,230690.4943133094,0
SPL,D,19930803,000000,4.84547,4.84547,4.84547,4.84547,245635.33630391792,0
SPL,D,19930805,000000,4.81032,4.81032,4.81032,4.81032,255054.96798204706,0
SPL,D,19930809,000000,5.27401,5.27401,5.27401,5.27401,664823.2325805906,0
SPL,D,19930810,000000,5.80761,5.80761,5.80761,5.80761,0,0
SPL,D,19930812,000000,6.40462,6.40462,6.40462,6.40462,0,0
SPL,D,19930816,000000,7.00145,7.00145,7.00145,7.00145,812707.534340446,0
SPL,D,19930817,000000,7.7042,7.7042,7.7042,7.7042,1024379.9182293578,0
SPL,D,19930819,000000,8.43389,8.43389,8.43389,8.43389,693954.1393555341,0
SPL,D,19930823,000000,9.19239,9.19239,9.19239,9.19239,0,0
SPL,D,19930824,000000,10.057,10.057,10.057,10.057,297790.95113649016,0
SPL,D,19930826,000000,11.0899,11.0899,11.0899,11.0899,617920.8535249198,0
SPL,D,19930830,000000,9.99274,9.99274,9.99274,9.99274,599386.3709711995,0
SPL,D,19930831,000000,9.0308,9.0308,9.0308,9.0308,688864.934913317,0
SPL,D,19930902,000000,9.85948,9.85948,9.85948,9.85948,422115.0619009472,0
SPL,D,19930906,000000,10.7865,10.7865,10.7865,10.7865,948014.3366626556,0
SPL,D,19930907,000000,9.69128,9.69128,9.69128,9.69128,892063.7775319513,0
SPL,D,19930909,000000,9.29161,9.29161,9.29161,9.29161,413304.99182787276,0
SPL,D,19930913,000000,9.19239,9.19239,9.19239,9.19239,240773.65919693487,0
SPL,D,19930914,000000,9.29161,9.29161,9.29161,9.29161,264112.67245716776,0
SPL,D,19930916,000000,9.5921,9.5921,9.5921,9.5921,433278.7170601988,0
SPL,D,19930920,000000,8.63034,8.63034,8.63034,8.63034,331102.01127943635,0
SPL,D,19930921,000000,7.76676,7.76676,7.76676,7.76676,272701.5647950662,0
SPL,D,19930923,000000,7.00145,7.00145,7.00145,7.00145,331263.9260807819,0
SPL,D,19930927,000000,6.43959,6.43959,6.43959,6.43959,528556.5823837542,0
SPL,D,19930928,000000,7.07166,7.07166,7.07166,7.07166,0,0
SPL,D,19930930,000000,7.7042,7.7042,7.7042,7.7042,358387.3009724008,0
SPL,D,19931004,000000,8.43389,8.43389,8.43389,8.43389,810944.4620591596,0
SPL,D,19931005,000000,8.82774,8.82774,8.82774,8.82774,774177.1029542171,0
SPL,D,19931007,000000,8.82774,8.82774,8.82774,8.82774,826317.9020533344,0
SPL,D,19931011,000000,9.36153,9.36153,9.36153,9.36153,787765.2470669127,0
SPL,D,19931012,000000,9.92382,9.92382,9.92382,9.92382,699094.1405981637,0
SPL,D,19931014,000000,9.92382,9.92382,9.92382,9.92382,594804.0762665323,0
SPL,D,19931018,000000,10.7222,10.7222,10.7222,10.7222,1254561.38627181,0
SPL,D,19931019,000000,10.3226,10.3226,10.3226,10.3226,450689.320404608,0
SPL,D,19931021,000000,9.76125,9.76125,9.76125,9.76125,609310.7958535189,0
SPL,D,19931026,000000,9.36153,9.36153,9.36153,9.36153,459884.59954753215,0
SPL,D,19931028,000000,9.92382,9.92382,9.92382,9.92382,599131.3287024258,0
SPL,D,19931102,000000,9.92382,9.92382,9.92382,9.92382,358177.7641706612,0
SPL,D,19931104,000000,9.99274,9.99274,9.99274,9.99274,698614.7457941849,0
SPL,D,19931108,000000,9.5921,9.5921,9.5921,9.5921,392653.97592326486,0
SPL,D,19931109,000000,9.36153,9.36153,9.36153,9.36153,511002.05477149383,0
SPL,D,19931110,000000,9.92382,9.92382,9.92382,9.92382,323917.4388198448,0
SPL,D,19931115,000000,10.2526,10.2526,10.2526,10.2526,570722.159800129,0
SPL,D,19931116,000000,10.1553,10.1553,10.1553,10.1553,420888.5308241102,0
SPL,D,19931118,000000,9.13002,9.13002,9.13002,9.13002,557477.9523569581,0
SPL,D,19931122,000000,9.13002,9.13002,9.13002,9.13002,411664.678480935,0
SPL,D,19931123,000000,9.69128,9.69128,9.69128,9.69128,229894.67777336692,0
SPL,D,19931125,000000,9.76125,9.76125,9.76125,9.76125,355825.23735115334,0
SPL,D,19931129,000000,9.76125,9.76125,9.76125,9.76125,456093.8883160985,0
SPL,D,19931130,000000,9.85948,9.85948,9.85948,9.85948,283137.13248162344,0
SPL,D,19931202,000000,9.99274,9.99274,9.99274,9.99274,551316.7237725221,0
SPL,D,19931206,000000,11.018,11.018,11.018,11.018,906051.9464479621,0
SPL,D,19931207,000000,11.4178,11.4178,11.4178,11.4178,744564.6848419564,0
SPL,D,19931209,000000,11.3487,11.3487,11.3487,11.3487,513764.1307944041,0
SPL,D,19931213,000000,11.6842,11.6842,11.6842,11.6842,532390.6825488833,0
SPL,D,19931214,000000,11.6842,11.6842,11.6842,11.6842,376821.2481919551,0
SPL,D,19931216,000000,11.9799,11.9799,11.9799,11.9799,468193.05121644534,0
SPL,D,19931220,000000,12.8436,12.8436,12.8436,12.8436,670975.9950316193,0
SPL,D,19931221,000000,13.112,13.112,13.112,13.112,484343.2589503883,0
SPL,D,19931223,000000,13.61,13.61,13.61,13.61,756586.5942749889,0
SPL,D,19931227,000000,14.2695,14.2695,14.2695,14.2695,690259.7303915577,0
SPL,D,19931228,000000,12.8436,12.8436,12.8436,12.8436,590047.1675604137,0
SPL,D,19931230,000000,14.1354,14.1354,14.1354,14.1354,793766.6773833627,0
SPL,D,19940103,000000,15,15,15,15,615014.8532341585,0
SPL,D,19940104,000000,15.5972,15.5972,15.5972,15.5972,981903.2104103974,0
SPL,D,19940106,000000,15.6662,15.6662,15.6662,15.6662,906097.4519150067,0
SPL,D,19940110,000000,16.2644,16.2644,16.2644,16.2644,747334.1687315836,0
SPL,D,19940111,000000,17.592,17.592,17.592,17.592,700735.5122117708,0
SPL,D,19940113,000000,19.3184,19.3184,19.3184,19.3184,779240.9089962124,0
SPL,D,19940117,000000,21.1733,21.1733,21.1733,21.1733,686732.5275623051,0
SPL,D,19940118,000000,23.3013,23.3013,23.3013,23.3013,634485.9017956435,0
SPL,D,19940120,000000,25.555,25.555,25.555,25.555,1176802.0674934841,0
SPL,D,19940124,000000,25.0286,25.0286,25.0286,25.0286,640085.1907754187,0
SPL,D,19940125,000000,25.6873,25.6873,25.6873,25.6873,611020.954801033,0
SPL,D,19940127,000000,28.2811,28.2811,28.2811,28.2811,1306696.894037507,0
SPL,D,19940131,000000,25.4208,25.4208,25.4208,25.4208,732322.6559404173,0
SPL,D,19940201,000000,22.9706,22.9706,22.9706,22.9706,0,0
SPL,D,19940203,000000,20.7094,20.7094,20.7094,20.7094,1387586.5656417783,0
SPL,D,19940207,000000,22.7674,22.7674,22.7674,22.7674,710530.8285596835,0
SPL,D,19940208,000000,24.2991,24.2991,24.2991,24.2991,665402.1044520556,0
SPL,D,19940210,000000,23.7634,23.7634,23.7634,23.7634,443680.4202131372,0
SPL,D,19940214,000000,24.2991,24.2991,24.2991,24.2991,453236.56829240045,0
SPL,D,19940215,000000,25.3584,25.3584,25.3584,25.3584,357687.7866999365,0
SPL,D,19940217,000000,25.6873,25.6873,25.6873,25.6873,507161.6050063066,0
SPL,D,19940221,000000,25.555,25.555,25.555,25.555,399631.1281144661,0
SPL,D,19940222,000000,24.4314,24.4314,24.4314,24.4314,257661.47880366983,0
SPL,D,19940224,000000,25.6873,25.6873,25.6873,25.6873,689559.1578524135,0
SPL,D,19940228,000000,26.3544,26.3544,26.3544,26.3544,338987.15627816156,0
SPL,D,19940301,000000,26.3544,26.3544,26.3544,26.3544,293919.81163771317,0
SPL,D,19940303,000000,25.6873,25.6873,25.6873,25.6873,388184.9157528695,0
SPL,D,19940307,000000,25.6873,25.6873,25.6873,25.6873,389157.46282760217,0
SPL,D,19940308,000000,25.6873,25.6873,25.6873,25.6873,306513.18507549365,0
SPL,D,19940310,000000,25.8933,25.8933,25.8933,25.8933,435223.8112096639,0
SPL,D,19940314,000000,26.1522,26.1522,26.1522,26.1522,376977.8716599224,0
SPL,D,19940315,000000,25.6873,25.6873,25.6873,25.6873,258081.61067381824,0
SPL,D,19940317,000000,25.0286,25.0286,25.0286,25.0286,339705.71935078973,0
SPL,D,19940321,000000,22.5,22.5,22.5,22.5,228205.68415936583,0
SPL,D,19940322,000000,20.5128,20.5128,20.5128,20.5128,285685.4386360852,0
SPL,D,19940324,000000,22.5,22.5,22.5,22.5,648980.9804491936,0
SPL,D,19940328,000000,20.7094,20.7094,20.7094,20.7094,350501.09770699573,0
SPL,D,19940329,000000,18.5889,18.5889,18.5889,18.5889,126547.52904955823,0
SPL,D,19940331,000000,16.7973,16.7973,16.7973,16.7973,657308.4809182602,0
SPL,D,19940405,000000,16.8606,16.8606,16.8606,16.8606,338567.0244080131,0
