<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STF,D,20000426,000000,0.863837,0.863837,0.863837,0.863837,1175756.1012946712,0
STF,D,20000427,000000,0.822027,0.822027,0.822027,0.822027,382929.3689347182,0
STF,D,20000428,000000,0.80809,0.80809,0.80809,0.80809,328758.32010541594,0
STF,D,20000504,000000,0.780299,0.780299,0.780299,0.780299,233181.78036091043,0
STF,D,20000505,000000,0.766363,0.766363,0.766363,0.766363,98035.62738801434,0
STF,D,20000508,000000,0.745457,0.745457,0.745457,0.745457,75615.73960287604,0
STF,D,20000509,000000,0.703563,0.703563,0.703563,0.703563,96671.07483288924,0
STF,D,20000510,000000,0.68971,0.68971,0.68971,0.68971,152368.2045233191,0
STF,D,20000511,000000,0.682658,0.682658,0.682658,0.682658,108045.56061925663,0
STF,D,20000512,000000,0.68971,0.68971,0.68971,0.68971,161669.34190437026,0
STF,D,20000515,000000,0.68971,0.68971,0.68971,0.68971,124601.00654866318,0
STF,D,20000516,000000,0.710698,0.710698,0.710698,0.710698,70487.81860508221,0
STF,D,20000517,000000,0.738406,0.738406,0.738406,0.738406,100493.5095964066,0
STF,D,20000518,000000,0.752259,0.752259,0.752259,0.752259,28314.465518849953,0
STF,D,20000519,000000,0.773331,0.773331,0.773331,0.773331,95828.4756844499,0
STF,D,20000522,000000,0.75931,0.75931,0.75931,0.75931,104639.00097191607,0
STF,D,20000523,000000,0.724552,0.724552,0.724552,0.724552,92021.71157748347,0
STF,D,20000524,000000,0.68971,0.68971,0.68971,0.68971,112059.65956674563,0
STF,D,20000525,000000,0.696677,0.696677,0.696677,0.696677,40916.084256730544,0
STF,D,20000526,000000,0.710698,0.710698,0.710698,0.710698,8143.919666454646,0
STF,D,20000529,000000,0.710698,0.710698,0.710698,0.710698,104848.74668268577,0
STF,D,20000530,000000,0.710698,0.710698,0.710698,0.710698,48277.67653071471,0
STF,D,20000531,000000,0.724552,0.724552,0.724552,0.724552,44247.90692666507,0
STF,D,20000601,000000,0.717667,0.717667,0.717667,0.717667,38870.460859162136,0
STF,D,20000602,000000,0.724552,0.724552,0.724552,0.724552,57147.268139029504,0
STF,D,20000605,000000,0.717667,0.717667,0.717667,0.717667,85594.33152101001,0
STF,D,20000606,000000,0.710698,0.710698,0.710698,0.710698,34370.57155855873,0
STF,D,20000607,000000,0.703563,0.703563,0.703563,0.703563,37021.323386049975,0
STF,D,20000608,000000,0.710698,0.710698,0.710698,0.710698,59235.0817657758,0
STF,D,20000609,000000,0.703563,0.703563,0.703563,0.703563,17400.455948086565,0
STF,D,20000612,000000,0.68971,0.68971,0.68971,0.68971,55783.921019023124,0
STF,D,20000613,000000,0.668804,0.668804,0.668804,0.668804,172048.1382821279,0
STF,D,20000614,000000,0.710698,0.710698,0.710698,0.710698,75526.5374040432,0
STF,D,20000615,000000,0.68971,0.68971,0.68971,0.68971,28847.26784161176,0
STF,D,20000616,000000,0.68971,0.68971,0.68971,0.68971,30280.530198540662,0
STF,D,20000619,000000,0.696677,0.696677,0.696677,0.696677,17768.113659494,0
STF,D,20000620,000000,0.68971,0.68971,0.68971,0.68971,11255.147709544934,0
STF,D,20000621,000000,0.696677,0.696677,0.696677,0.696677,10363.125721212344,0
STF,D,20000623,000000,0.710698,0.710698,0.710698,0.710698,48941.87128148727,0
STF,D,20000626,000000,0.710698,0.710698,0.710698,0.710698,36889.93095803922,0
STF,D,20000627,000000,0.710698,0.710698,0.710698,0.710698,83551.11899368012,0
STF,D,20000628,000000,0.675773,0.675773,0.675773,0.675773,32578.089536057752,0
STF,D,20000629,000000,0.68971,0.68971,0.68971,0.68971,15921.387056621435,0
STF,D,20000630,000000,0.675773,0.675773,0.675773,0.675773,10836.861723124226,0
STF,D,20000703,000000,0.661753,0.661753,0.661753,0.661753,46987.860952990246,0
STF,D,20000704,000000,0.675773,0.675773,0.675773,0.675773,222472.6947604419,0
STF,D,20000705,000000,0.703563,0.703563,0.703563,0.703563,210789.61758352217,0
STF,D,20000706,000000,0.731437,0.731437,0.731437,0.731437,150901.18998304335,0
STF,D,20000707,000000,0.724552,0.724552,0.724552,0.724552,125579.81986558708,0
STF,D,20000710,000000,0.703563,0.703563,0.703563,0.703563,10363.125721212344,0
STF,D,20000711,000000,0.710698,0.710698,0.710698,0.710698,57395.5877736188,0
STF,D,20000712,000000,0.68971,0.68971,0.68971,0.68971,27174.12389592785,0
STF,D,20000713,000000,0.703563,0.703563,0.703563,0.703563,24346.17310588855,0
STF,D,20000714,000000,0.696677,0.696677,0.696677,0.696677,10305.264835482649,0
STF,D,20000717,000000,0.703563,0.703563,0.703563,0.703563,25177.92333825292,0
STF,D,20000718,000000,0.696677,0.696677,0.696677,0.696677,61308.430171089894,0
STF,D,20000719,000000,0.696677,0.696677,0.696677,0.696677,50111.14334727487,0
STF,D,20000720,000000,0.703563,0.703563,0.703563,0.703563,19691.988110006812,0
STF,D,20000721,000000,0.766363,0.766363,0.766363,0.766363,470257.1161573838,0
STF,D,20000724,000000,0.75931,0.75931,0.75931,0.75931,250429.14604883848,0
STF,D,20000725,000000,0.773331,0.773331,0.773331,0.773331,315506.97183819604,0
STF,D,20000726,000000,0.856869,0.856869,0.856869,0.856869,1272914.1719158278,0
STF,D,20000727,000000,0.856869,0.856869,0.856869,0.856869,327895.2285599454,0
STF,D,20000728,000000,0.842932,0.842932,0.842932,0.842932,107052.28208089189,0
STF,D,20000731,000000,0.794236,0.794236,0.794236,0.794236,192872.0299692269,0
STF,D,20000801,000000,0.815224,0.815224,0.815224,0.815224,194650.04677029024,0
STF,D,20000802,000000,0.835964,0.835964,0.835964,0.835964,160396.4024183079,0
STF,D,20000803,000000,0.835964,0.835964,0.835964,0.835964,225940.73159886312,0
STF,D,20000804,000000,0.822027,0.822027,0.822027,0.822027,114528.39069122041,0
STF,D,20000807,000000,0.787267,0.787267,0.787267,0.787267,151893.26308628614,0
STF,D,20000808,000000,0.835964,0.835964,0.835964,0.835964,168524.65142821096,0
STF,D,20000809,000000,0.828996,0.828996,0.828996,0.828996,76265.4691322164,0
STF,D,20000810,000000,0.850066,0.850066,0.850066,0.850066,309356.8418591742,0
STF,D,20000811,000000,0.842932,0.842932,0.842932,0.842932,162334.74209025397,0
STF,D,20000814,000000,0.884825,0.884825,0.884825,0.884825,113155.40009025455,0
STF,D,20000816,000000,0.975329,0.975329,0.975329,0.975329,308321.3730916337,0
STF,D,20000817,000000,0.961312,0.961312,0.961312,0.961312,288536.5664774379,0
STF,D,20000818,000000,0.982218,0.982218,0.982218,0.982218,351150.4828828043,0
STF,D,20000821,000000,0.961312,0.961312,0.961312,0.961312,145127.1557612718,0
STF,D,20000822,000000,0.947461,0.947461,0.947461,0.947461,217987.27068127177,0
STF,D,20000823,000000,0.933434,0.933434,0.933434,0.933434,80871.4367233234,0
STF,D,20000824,000000,0.919834,0.919834,0.919834,0.919834,124764.94572489776,0
STF,D,20000825,000000,0.891711,0.891711,0.891711,0.891711,172345.88075661822,0
STF,D,20000828,000000,0.933434,0.933434,0.933434,0.933434,112961.32503604115,0
STF,D,20000829,000000,0.905731,0.905731,0.905731,0.905731,41019.75167699559,0
STF,D,20000830,000000,0.877857,0.877857,0.877857,0.877857,116352.21402682325,0
STF,D,20000831,000000,0.898596,0.898596,0.898596,0.898596,85893.27943061365,0
STF,D,20000901,000000,0.912451,0.912451,0.912451,0.912451,67722.55044125095,0
STF,D,20000904,000000,0.933434,0.933434,0.933434,0.933434,213266.7867538215,0
STF,D,20000905,000000,0.926639,0.926639,0.926639,0.926639,46260.98357601073,0
STF,D,20000906,000000,0.940656,0.940656,0.940656,0.940656,46395.9923093798,0
STF,D,20000907,000000,0.947461,0.947461,0.947461,0.947461,166259.6388389274,0
STF,D,20000908,000000,0.947461,0.947461,0.947461,0.947461,101839.98062474118,0
STF,D,20000911,000000,0.933434,0.933434,0.933434,0.933434,64121.915739695905,0
STF,D,20000912,000000,0.919834,0.919834,0.919834,0.919834,53605.69975832417,0
STF,D,20000913,000000,0.947461,0.947461,0.947461,0.947461,37568.59093024399,0
STF,D,20000914,000000,0.947461,0.947461,0.947461,0.947461,32904.762453406016,0
STF,D,20000915,000000,0.940656,0.940656,0.940656,0.940656,48763.466883820496,0
STF,D,20000918,000000,0.919834,0.919834,0.919834,0.919834,66624.39904750568,0
STF,D,20000919,000000,0.919834,0.919834,0.919834,0.919834,71731.82764827044,0
STF,D,20000920,000000,0.926639,0.926639,0.926639,0.926639,57560.73238497317,0
STF,D,20000921,000000,0.919834,0.919834,0.919834,0.919834,33630.43439526573,0
STF,D,20000922,000000,0.905731,0.905731,0.905731,0.905731,224472.5116234773,0
STF,D,20000925,000000,0.919834,0.919834,0.919834,0.919834,92864.31072592281,0
STF,D,20000926,000000,0.954507,0.954507,0.954507,0.954507,156868.0938239182,0
STF,D,20000927,000000,0.947461,0.947461,0.947461,0.947461,224696.7225556803,0
STF,D,20000928,000000,0.940656,0.940656,0.940656,0.940656,75836.33422972073,0
STF,D,20000929,000000,0.926639,0.926639,0.926639,0.926639,32208.020954410713,0
STF,D,20001002,000000,0.940656,0.940656,0.940656,0.940656,66386.92832899027,0
STF,D,20001003,000000,0.933434,0.933434,0.933434,0.933434,65989.13473959861,0
STF,D,20001004,000000,0.926639,0.926639,0.926639,0.926639,27821.442555028603,0
STF,D,20001005,000000,0.933434,0.933434,0.933434,0.933434,22271.619265455738,0
STF,D,20001006,000000,0.933434,0.933434,0.933434,0.933434,42207.10526957372,0
STF,D,20001009,000000,0.919834,0.919834,0.919834,0.919834,9475.92547335701,0
STF,D,20001010,000000,0.905731,0.905731,0.905731,0.905731,33777.497479829566,0
STF,D,20001011,000000,0.870889,0.870889,0.870889,0.870889,50821.14463258258,0
STF,D,20001012,000000,0.80809,0.80809,0.80809,0.80809,78561.8230346137,0
STF,D,20001013,000000,0.794236,0.794236,0.794236,0.794236,56642.190824013385,0
STF,D,20001016,000000,0.80809,0.80809,0.80809,0.80809,122352.87005103956,0
STF,D,20001017,000000,0.822027,0.822027,0.822027,0.822027,31217.153286289893,0
STF,D,20001018,000000,0.80809,0.80809,0.80809,0.80809,69601.82379234626,0
STF,D,20001019,000000,0.80809,0.80809,0.80809,0.80809,41464.55723604328,0
STF,D,20001020,000000,0.828996,0.828996,0.828996,0.828996,18792.73351095736,0
STF,D,20001023,000000,0.870889,0.870889,0.870889,0.870889,31381.09246252446,0
STF,D,20001024,000000,0.891711,0.891711,0.891711,0.891711,22965.949894211433,0
STF,D,20001025,000000,0.912451,0.912451,0.912451,0.912451,67943.14506809454,0
STF,D,20001026,000000,0.863837,0.863837,0.863837,0.863837,21087.88197823485,0
