<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STH,D,20211210,000000,21.9932,23.3941,21.9932,22.6626,3548842.162453,0
STH,D,20211213,000000,22.7582,23.7431,22.7582,23.5231,1023620.2847905,0
STH,D,20211214,000000,23.7144,23.7909,22.9494,23.4275,199314.87362049,0
STH,D,20211215,000000,23.5614,23.5614,23.1645,23.1693,182783.21129722,0
STH,D,20211216,000000,23.4275,23.571,23.1789,23.308,223341.62854694,0
STH,D,20211217,000000,23.3319,23.418,22.567,22.9303,220955.16261692,0
STH,D,20211220,000000,22.5717,22.5717,21.8019,22.2036,278878.72744242,0
STH,D,20211221,000000,22.4617,22.9208,22.0983,22.8538,178961.93763014,0
STH,D,20211222,000000,22.8538,23.1359,22.4809,23.045,65709.383777725,0
STH,D,20211223,000000,23.1885,23.1885,22.1366,23.1407,928922.97414419,0
STH,D,20211227,000000,23.1407,23.1407,22.347,22.4713,361574.68707522,0
STH,D,20211228,000000,22.3757,22.892,22.3757,22.8538,74364.244442414,0
STH,D,20211229,000000,22.567,22.9208,22.567,22.9208,8172.7568988098,0
STH,D,20211230,000000,22.9494,22.9494,22.4761,22.4761,62607.605535643,0
STH,D,20220103,000000,22.892,22.892,22.4761,22.567,516940.73041132,0
STH,D,20220104,000000,22.7103,22.7103,22.2944,22.3374,15048.748787444,0
STH,D,20220105,000000,22.2992,22.2992,21.4721,21.4721,249778.90230278,0
STH,D,20220107,000000,21.4195,21.9071,21.2282,21.7828,34803.499627945,0
STH,D,20220110,000000,21.7828,22.4521,21.386,21.8593,50546.645162774,0
STH,D,20220111,000000,21.9932,22.4713,21.8975,22.0888,17575.349000819,0
STH,D,20220112,000000,22.28,22.916,22.194,22.849,104921.88444027,0
STH,D,20220113,000000,22.806,22.9303,22.5,22.7199,58407.760147848,0
STH,D,20220114,000000,22.7582,22.8538,22.4713,22.4713,179946.01494834,0
STH,D,20220117,000000,22.8538,22.8538,22.6147,22.7486,37018.457927584,0
STH,D,20220118,000000,22.8395,22.8395,22.2036,22.4235,87458.433710488,0
STH,D,20220119,000000,22.4569,22.4713,22.0124,22.2323,78291.141711132,0
STH,D,20220120,000000,22.3279,22.3517,21.8975,21.8975,61038.938184624,0
STH,D,20220121,000000,21.8975,22.806,21.8975,22.806,482645.47900511,0
STH,D,20220124,000000,22.7582,22.7582,21.7063,21.9932,237109.29899772,0
STH,D,20220125,000000,21.6681,21.9932,20.8362,20.8362,103788.2608346,0
STH,D,20220126,000000,20.7118,21.3813,20.3246,21.3813,113068.49688323,0
STH,D,20220127,000000,21.037,21.0895,20.3246,20.8458,38706.343997281,0
STH,D,20220128,000000,20.4824,21.4386,19.8943,21.2282,93907.748079645,0
STH,D,20220131,000000,21.1135,21.1135,20.3628,21.037,22065.92073767,0
STH,D,20220201,000000,21.037,21.037,20.4824,20.7262,7309.9898557493,0
STH,D,20220202,000000,20.7262,20.8313,20.3485,20.425,19177.481255326,0
STH,D,20220203,000000,20.4154,20.4584,19.9086,19.9612,63906.462102287,0
STH,D,20220204,000000,20.4154,20.4154,19.1188,19.2249,176595.34148657,0
