<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STP,D,19970806,000000,17.9774,17.9774,17.9774,17.9774,31733.775060818,0
STP,D,19970807,000000,17.9774,17.9774,17.9774,17.9774,40523.135366255,0
STP,D,19970808,000000,18.9158,18.9158,18.9158,18.9158,22710.355669242,0
STP,D,19970811,000000,19.4121,19.4121,19.4121,19.4121,55676.25308917,0
STP,D,19970812,000000,18.625,18.625,18.625,18.625,5014.6055152989,0
STP,D,19970813,000000,19.2699,19.2699,19.2699,19.2699,17694.646101651,0
STP,D,19970814,000000,18.0508,18.0508,18.0508,18.0508,11746.012346382,0
STP,D,19970818,000000,17.9774,17.9774,17.9774,17.9774,7510.8677500173,0
STP,D,19970819,000000,17.405,17.405,17.405,17.405,6580.1516669268,0
STP,D,19970820,000000,17.837,17.837,17.837,17.837,4625.9791081247,0
STP,D,19970821,000000,17.7583,17.7583,17.7583,17.7583,5744.3840810436,0
STP,D,19970822,000000,17.2546,17.2546,17.2546,17.2546,2925.7385767376,0
STP,D,19970825,000000,17.405,17.405,17.405,17.405,7899.4941571915,0
STP,D,19970826,000000,17.1831,17.1831,17.1831,17.1831,15976.740733573,0
STP,D,19970827,000000,16.3254,16.3254,16.3254,16.3254,8444.8959899871,0
STP,D,19970828,000000,16.9005,16.9005,16.9005,16.9005,27158.582358177,0
STP,D,19970829,000000,16.9005,16.9005,16.9005,16.9005,7592.5676197073,0
STP,D,19970901,000000,16.9005,16.9005,16.9005,16.9005,9705.723708717,0
STP,D,19970902,000000,16.5373,16.5373,16.5373,16.5373,2728.1132162712,0
STP,D,19970903,000000,16.9005,16.9005,16.9005,16.9005,9654.937303234,0
STP,D,19970904,000000,16.9005,16.9005,16.9005,16.9005,7186.2763758434,0
STP,D,19970905,000000,16.5373,16.5373,16.5373,16.5373,6954.4253942906,0
STP,D,19970908,000000,16.5373,16.5373,16.5373,16.5373,3847.6222414832,0
STP,D,19970909,000000,16.9005,16.9005,16.9005,16.9005,8083.8708901406,0
STP,D,19970910,000000,16.8298,16.8298,16.8298,16.8298,4441.6023751756,0
STP,D,19970911,000000,16.3254,16.3254,16.3254,16.3254,7658.8107572938,0
STP,D,19970912,000000,16.3969,16.3969,16.3969,16.3969,4963.8191098159,0
STP,D,19970915,000000,16.3254,16.3254,16.3254,16.3254,26836.199088589,0
STP,D,19970916,000000,16.3969,16.3969,16.3969,16.3969,11106.766068672,0
STP,D,19970917,000000,14.8154,14.8154,14.8154,14.8154,4099.3461643119,0
STP,D,19970918,000000,14.7429,14.7429,14.7429,14.7429,33723.277293,0
STP,D,19970919,000000,14.8154,14.8154,14.8154,14.8154,5557.7992435083,0
STP,D,19970922,000000,15.098,15.098,15.098,15.098,3300.0123041014,0
STP,D,19970923,000000,15.6025,15.6025,15.6025,15.6025,5122.8026400235,0
STP,D,19970924,000000,15.4594,15.4594,15.4594,15.4594,3303.3244609807,0
STP,D,19970925,000000,15.098,15.098,15.098,15.098,3471.1404095332,0
STP,D,19970926,000000,14.7429,14.7429,14.7429,14.7429,7282.3289253438,0
STP,D,19970929,000000,14.7429,14.7429,14.7429,14.7429,3601.41858012,0
STP,D,19970930,000000,14.7429,14.7429,14.7429,14.7429,5144.8836858857,0
STP,D,19971001,000000,15.0265,15.0265,15.0265,15.0265,5217.7511372309,0
STP,D,19971002,000000,15.098,15.098,15.098,15.098,9999.4016186839,0
STP,D,19971003,000000,14.8843,14.8843,14.8843,14.8843,10750.157177998,0
STP,D,19971006,000000,14.7429,14.7429,14.7429,14.7429,12103.725289348,0
STP,D,19971007,000000,14.5944,14.5944,14.5944,14.5944,7020.6685318771,0
STP,D,19971008,000000,14.3816,14.3816,14.3816,14.3816,30818.515709831,0
STP,D,19971009,000000,14.7429,14.7429,14.7429,14.7429,17445.130283408,0
STP,D,19971010,000000,14.8843,14.8843,14.8843,14.8843,13499.247387838,0
STP,D,19971013,000000,15.098,15.098,15.098,15.098,3528.5511287748,0
STP,D,19971014,000000,15.53,15.53,15.53,15.53,10200.33913603,0
STP,D,19971015,000000,15.8226,15.8226,15.8226,15.8226,10303.015999289,0
STP,D,19971016,000000,16.1759,16.1759,16.1759,16.1759,17226.527929372,0
STP,D,19971017,000000,16.5373,16.5373,16.5373,16.5373,26456.405099759,0
STP,D,19971020,000000,16.5373,16.5373,16.5373,16.5373,17033.318778079,0
STP,D,19971021,000000,17.3325,17.3325,17.3325,17.3325,31871.781597457,0
STP,D,19971022,000000,18.1921,18.1921,18.1921,18.1921,55564.743807566,0
STP,D,19971023,000000,17.9774,17.9774,17.9774,17.9774,32579.47911734,0
STP,D,19971024,000000,17.7583,17.7583,17.7583,17.7583,58441.904083406,0
STP,D,19971027,000000,16.8298,16.8298,16.8298,16.8298,24235.051886025,0
STP,D,19971028,000000,15.1768,15.1768,15.1768,15.1768,0,0
STP,D,19971029,000000,16.3969,16.3969,16.3969,16.3969,50434.21280149,0
STP,D,19971030,000000,16.2555,16.2555,16.2555,16.2555,31855.22081306,0
STP,D,19971031,000000,16.6098,16.6098,16.6098,16.6098,12152.303590246,0
STP,D,19971103,000000,17.2546,17.2546,17.2546,17.2546,5606.3775444051,0
STP,D,19971104,000000,17.9774,17.9774,17.9774,17.9774,49108.245997467,0
STP,D,19971105,000000,17.9774,17.9774,17.9774,17.9774,35931.381879217,0
STP,D,19971106,000000,17.405,17.405,17.405,17.405,8134.6572956236,0
STP,D,19971107,000000,17.2546,17.2546,17.2546,17.2546,9113.9516796109,0
STP,D,19971112,000000,16.6795,16.6795,16.6795,16.6795,17025.590412026,0
STP,D,19971113,000000,16.6795,16.6795,16.6795,16.6795,18467.482706827,0
STP,D,19971114,000000,16.972,16.972,16.972,16.972,14277.604254479,0
STP,D,19971117,000000,17.2546,17.2546,17.2546,17.2546,16661.253155301,0
