<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX,D,19941026,000000,16.2091,16.2091,16.2091,16.2091,26367.3846148196,0
STX,D,19941027,000000,14.6464,14.6464,14.6464,14.6464,121687.9999973924,0
STX,D,19941028,000000,14.7615,14.7615,14.7615,14.7615,93388.6153826142,0
STX,D,19941102,000000,16.2091,16.2091,16.2091,16.2091,73274.9230753529,0
STX,D,19941103,000000,16.2091,16.2091,16.2091,16.2091,75961.8461522184,0
STX,D,19941104,000000,15.4561,15.4561,15.4561,15.4561,46533.846152849,0
STX,D,19941107,000000,15.0512,15.0512,15.0512,15.0512,56119.5384603359,0
STX,D,19941108,000000,14.8776,14.8776,14.8776,14.8776,39667.3846145346,0
STX,D,19941109,000000,14.8776,14.8776,14.8776,14.8776,53476.7692296233,0
STX,D,19941110,000000,14.4727,14.4727,14.4727,14.4727,46859.0769220728,0
STX,D,19941114,000000,13.0251,13.0251,13.0251,13.0251,53930.153844998196,0
STX,D,19941115,000000,11.752,11.752,11.752,11.752,111766.3076899127,0
STX,D,19941116,000000,11.1726,11.1726,11.1726,11.1726,127381.6923049627,0
STX,D,19941117,000000,12.2729,12.2729,12.2729,12.2729,127062.9230742003,0
STX,D,19941118,000000,11.6944,11.6944,11.6944,11.6944,71156.6153830906,0
STX,D,19941121,000000,10.998,10.998,10.998,10.998,91510.4615365006,0
STX,D,19941122,000000,9.8995,9.8995,9.8995,9.8995,159720.6153811928,0
STX,D,19941123,000000,10.4204,10.4204,10.4204,10.4204,70354.3076908001,0
STX,D,19941124,000000,10.3619,10.3619,10.3619,10.3619,33042.1538454458,0
STX,D,19941125,000000,10.478,10.478,10.478,10.478,41647.8461529537,0
STX,D,19941128,000000,11.5199,11.5199,11.5199,11.5199,54709.8461526738,0
STX,D,19941129,000000,12.6211,12.6211,12.6211,12.6211,109901.0769207219,0
STX,D,19941130,000000,13.8357,13.8357,13.8357,13.8357,149317.5384583388,0
STX,D,19941201,000000,15.1673,15.1673,15.1673,15.1673,120393.5384589586,0
STX,D,19941202,000000,15.1673,15.1673,15.1673,15.1673,157852.1538427713,0
STX,D,19941205,000000,14.4727,14.4727,14.4727,14.4727,123983.9999973432,0
STX,D,19941206,000000,15.1673,15.1673,15.1673,15.1673,134868.4615355715,0
STX,D,19941207,000000,13.663,13.663,13.663,13.663,111306.4615360764,0
STX,D,19941208,000000,12.3305,12.3305,12.3305,12.3305,0,0
STX,D,19941209,000000,11.4614,11.4614,11.4614,11.4614,127728.4615357245,0
STX,D,19941212,000000,12.5626,12.5626,12.5626,12.5626,308525.5384549272,0
STX,D,19941213,000000,12.4466,12.4466,12.4466,12.4466,91675.2307672663,0
STX,D,19941214,000000,12.0408,12.0408,12.0408,12.0408,94145.6923056749,0
STX,D,19941215,000000,12.5626,12.5626,12.5626,12.5626,77249.8461521908,0
STX,D,19941216,000000,13.2572,13.2572,13.2572,13.2572,68941.3846139073,0
STX,D,19941219,000000,13.8357,13.8357,13.8357,13.8357,119900.3076897384,0
STX,D,19941220,000000,13.3139,13.3139,13.3139,13.3139,65079.5384601439,0
STX,D,19941221,000000,13.4309,13.4309,13.4309,13.4309,44901.2307682686,0
STX,D,19941222,000000,13.546,13.546,13.546,13.546,46668.4615374615,0
STX,D,19941223,000000,13.8933,13.8933,13.8933,13.8933,60850.4615371576,0
STX,D,19941227,000000,13.8933,13.8933,13.8933,13.8933,59812.307691026,0
STX,D,19941228,000000,13.3139,13.3139,13.3139,13.3139,43535.6923067594,0
STX,D,19941229,000000,13.6054,13.6054,13.6054,13.6054,56824.9230757054,0
STX,D,19950102,000000,14.3566,14.3566,14.3566,14.3566,41547.692306802,0
STX,D,19950103,000000,14.8776,14.8776,14.8776,14.8776,115707.8461513667,0
STX,D,19950104,000000,14.4727,14.4727,14.4727,14.4727,114458.6153821627,0
STX,D,19950105,000000,14.9351,14.9351,14.9351,14.9351,89182.1538442428,0
STX,D,19950106,000000,13.6054,13.6054,13.6054,13.6054,47596.7692297493,0
STX,D,19950109,000000,14.1254,14.1254,14.1254,14.1254,28744.1538455379,0
STX,D,19950110,000000,13.8933,13.8933,13.8933,13.8933,57650.9230756877,0
STX,D,19950111,000000,13.6054,13.6054,13.6054,13.6054,39841.8461529924,0
STX,D,19950112,000000,13.663,13.663,13.663,13.663,56836.7692295513,0
STX,D,19950113,000000,14.2991,14.2991,14.2991,14.2991,51294.9230758239,0
STX,D,19950116,000000,14.183,14.183,14.183,14.183,45299.6923067216,0
STX,D,19950117,000000,14.4727,14.4727,14.4727,14.4727,162755.384611897,0
STX,D,19950118,000000,14.4727,14.4727,14.4727,14.4727,121540.4615358571,0
STX,D,19950119,000000,14.7615,14.7615,14.7615,14.7615,66997.5384601028,0
STX,D,19950120,000000,14.3566,14.3566,14.3566,14.3566,37927.0769222642,0
STX,D,19950123,000000,13.663,13.663,13.663,13.663,31840.3076916254,0
STX,D,19950124,000000,13.2572,13.2572,13.2572,13.2572,58610.4615372056,0
STX,D,19950125,000000,13.2572,13.2572,13.2572,13.2572,74038.461536875,0
STX,D,19950126,000000,12.9684,12.9684,12.9684,12.9684,42529.8461529348,0
STX,D,19950127,000000,12.5626,12.5626,12.5626,12.5626,27742.6153840209,0
STX,D,19950130,000000,11.3471,11.3471,11.3471,11.3471,51071.9999989056,0
STX,D,19950131,000000,11.2886,11.2886,11.2886,11.2886,121979.8461512323,0
STX,D,19950201,000000,11.8096,11.8096,11.8096,11.8096,44878.6153836537,0
STX,D,19950202,000000,10.7677,10.7677,10.7677,10.7677,74345.3846137915,0
STX,D,19950203,000000,10.5356,10.5356,10.5356,10.5356,37062.3076915135,0
STX,D,19950206,000000,11.5784,11.5784,11.5784,11.5784,17922.1538457698,0
STX,D,19950207,000000,12.7363,12.7363,12.7363,12.7363,201949.9999956725,0
STX,D,19950208,000000,12.7363,12.7363,12.7363,12.7363,150715.384612155,0
STX,D,19950209,000000,12.7363,12.7363,12.7363,12.7363,77027.9999983494,0
STX,D,19950210,000000,12.1569,12.1569,12.1569,12.1569,36603.5384607541,0
STX,D,19950213,000000,11.8671,11.8671,11.8671,11.8671,62985.9999986503,0
STX,D,19950214,000000,12.389,12.389,12.389,12.389,39594.1538453054,0
STX,D,19950215,000000,12.389,12.389,12.389,12.389,37374.6153838145,0
STX,D,19950216,000000,12.6211,12.6211,12.6211,12.6211,39974.3076914511,0
STX,D,19950217,000000,12.7363,12.7363,12.7363,12.7363,60499.3846140882,0
STX,D,19950220,000000,12.1569,12.1569,12.1569,12.1569,17726.153845774,0
STX,D,19950221,000000,10.9414,10.9414,10.9414,10.9414,63610.6153832523,0
STX,D,19950222,000000,11.3471,11.3471,11.3471,11.3471,25865.5384609842,0
STX,D,19950223,000000,11.8096,11.8096,11.8096,11.8096,50719.8461527593,0
STX,D,19950224,000000,12.9684,12.9684,12.9684,12.9684,256487.5384560423,0
STX,D,19950227,000000,11.9832,11.9832,11.9832,11.9832,45773.5384605576,0
STX,D,19950228,000000,11.6944,11.6944,11.6944,11.6944,37369.23076843,0
STX,D,19950301,000000,11.5199,11.5199,11.5199,11.5199,32076.1538454665,0
STX,D,19950302,000000,11.8096,11.8096,11.8096,11.8096,18840.7692303655,0
STX,D,19950303,000000,12.1569,12.1569,12.1569,12.1569,87728.3076904278,0
STX,D,19950306,000000,12.1569,12.1569,12.1569,12.1569,27267.692307108,0
STX,D,19950307,000000,12.1569,12.1569,12.1569,12.1569,36315.9999992218,0
STX,D,19950308,000000,12.1569,12.1569,12.1569,12.1569,19536.4615380429,0
STX,D,19950309,000000,12.0993,12.0993,12.0993,12.0993,25291.5384609965,0
STX,D,19950310,000000,12.0408,12.0408,12.0408,12.0408,51613.6923065863,0
STX,D,19950313,000000,11.8096,11.8096,11.8096,11.8096,27350.6153840293,0
STX,D,19950314,000000,11.4047,11.4047,11.4047,11.4047,33583.8461531265,0
STX,D,19950315,000000,11.4047,11.4047,11.4047,11.4047,39678.1538453036,0
STX,D,19950316,000000,11.2886,11.2886,11.2886,11.2886,20773.846153401,0
STX,D,19950317,000000,11.115,11.115,11.115,11.115,20422.7692303316,0
STX,D,19950320,000000,10.998,10.998,10.998,10.998,18272.1538457623,0
STX,D,19950321,000000,10.9414,10.9414,10.9414,10.9414,30115.0769224316,0
STX,D,19950322,000000,10.7677,10.7677,10.7677,10.7677,28419.999999391,0
STX,D,19950323,000000,10.6516,10.6516,10.6516,10.6516,22954.6153841235,0
STX,D,19950324,000000,10.7101,10.7101,10.7101,10.7101,22174.9230764479,0
STX,D,19950327,000000,10.8253,10.8253,10.8253,10.8253,35516.923076162,0
STX,D,19950328,000000,10.478,10.478,10.478,10.478,26723.8461532735,0
STX,D,19950329,000000,10.4204,10.4204,10.4204,10.4204,25094.4615379238,0
STX,D,19950330,000000,10.5941,10.5941,10.5941,10.5941,37379.999999199,0
