<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWG,D,20071205,000000,33.2147,34.8741,32.3839,32.4664,5508.734148892032,0
SWG,D,20071206,000000,33.7551,33.7551,32.4257,33.4641,1326.5672969575378,0
SWG,D,20071207,000000,33.5039,33.5039,33.2147,33.4963,863.6395995295893,0
SWG,D,20071210,000000,33.7125,33.7125,32.7983,33.5465,244.64516128310711,0
SWG,D,20071211,000000,33.6707,34.8741,33.6707,34.8741,325.84204670896594,0
SWG,D,20071212,000000,34.8741,36.6191,34.8741,36.6191,523.0344827431945,0
SWG,D,20071213,000000,37.8642,37.8642,37.8642,37.8642,28.47163514932712,0
SWG,D,20071214,000000,40.106,40.271,36.5357,37.8642,1648.191323644381,0
SWG,D,20071217,000000,37.6983,37.6983,36.2871,37.3654,385.9488320242121,0
SWG,D,20071218,000000,37.3654,37.3654,37.3654,37.3654,10.54505005530634,0
SWG,D,20071219,000000,38.1136,38.1136,36.5357,36.5357,161.339265846187,0
SWG,D,20071220,000000,36.2871,36.2871,35.1245,35.2071,1385.6195772672534,0
SWG,D,20071221,000000,34.9159,36.6191,34.9159,36.6191,156.06674081853382,0
SWG,D,20071227,000000,36.5357,37.7817,36.5357,37.7817,230.93659621120887,0
SWG,D,20071228,000000,38.1136,38.1136,38.1136,38.1136,1.054505005530634,0
SWG,D,20080102,000000,38.1971,38.1971,38.1136,38.1136,259.408231360536,0
SWG,D,20080103,000000,37.3654,37.3654,36.5357,37.3654,566.2691879699505,0
SWG,D,20080107,000000,35.1653,36.951,35.1653,36.951,736.0444938603827,0
SWG,D,20080109,000000,36.0369,36.1203,35.7059,36.1203,1384.5650722617224,0
SWG,D,20080110,000000,36.1203,36.1203,36.1203,36.1203,855.2035594853442,0
SWG,D,20080111,000000,36.1203,36.1203,36.1203,36.1203,105.4505005530634,0
SWG,D,20080115,000000,35.2895,36.1203,35.2895,35.2895,134.97664070792115,0
SWG,D,20080116,000000,33.2147,33.2147,31.9685,31.9685,421.8020022122536,0
SWG,D,20080117,000000,33.2147,33.2147,31.5532,31.5532,278.3893214600874,0
SWG,D,20080118,000000,32.3005,32.7983,32.3005,32.7983,9539.052280030117,0
SWG,D,20080121,000000,32.7983,32.7983,32.7983,32.7983,362.74972190253817,0
SWG,D,20080122,000000,32.3839,32.3839,32.3839,32.3839,1350.8209120847423,0
SWG,D,20080123,000000,32.3839,34.0445,32.3839,34.0445,6231.070077680517,0
