<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN,D,20180511,000000,41.8225,50.4745,40.9492,49.6742,250598.2102791492,0
TEN,D,20180514,000000,54.481,59.9293,52.3178,53.4397,299839.75524464145,0
TEN,D,20180515,000000,53.3591,53.3591,46.6929,49.6742,117277.5727422289,0
TEN,D,20180516,000000,50.8759,51.195,48.0796,51.0117,42446.072716428804,0
TEN,D,20180517,000000,51.1721,51.195,47.2692,47.2692,30040.53572351996,0
TEN,D,20180518,000000,47.2692,49.6742,46.709,47.2692,16304.655715319122,0
TEN,D,20180521,000000,48.0796,50.4745,48.0796,48.7118,25382.567663777492,0
TEN,D,20180522,000000,50.0739,50.1546,48.8723,49.5613,9466.763316967104,0
TEN,D,20180523,000000,49.6742,49.6742,47.1096,48.8723,15200.55349625039,0
TEN,D,20180524,000000,48.8723,48.8723,47.9192,48.8638,6949.834458983318,0
TEN,D,20180525,000000,48.8723,48.8723,47.6714,48.4801,7357.539227177321,0
TEN,D,20180528,000000,48.7118,51.2757,48.0872,51.2757,45473.22170339526,0
TEN,D,20180529,000000,56.0833,58.2464,52.9576,53.9837,113067.37292502141,0
TEN,D,20180530,000000,52.0606,53.5195,49.1132,50.0739,40297.96348978815,0
TEN,D,20180601,000000,50.0739,52.0776,49.4341,51.2757,7977.344741830632,0
TEN,D,20180604,000000,52.0776,56.0034,51.6771,55.8431,24824.035698101317,0
TEN,D,20180605,000000,57.2926,62.4847,56.892,62.4847,91689.97435687842,0
TEN,D,20180606,000000,63.8943,70.2634,61.9313,63.5344,122782.76545033262,0
TEN,D,20180607,000000,65.2165,67.2999,61.7005,66.4988,27474.116691362335,0
TEN,D,20180608,000000,66.0897,67.2914,64.4952,66.3783,19785.464632212428,0
TEN,D,20180611,000000,67.7005,67.9406,60.5294,63.6066,35936.93647508871,0
TEN,D,20180612,000000,63.5743,65.6976,63.5743,64.4068,9956.95170878417,0
TEN,D,20180613,000000,64.776,64.8966,62.9013,63.5098,7031.139745126053,0
TEN,D,20180614,000000,62.4922,66.4988,60.9707,66.0982,26252.180724260656,0
TEN,D,20180615,000000,66.2577,66.3384,64.6555,65.6976,15931.122734054674,0
TEN,D,20180618,000000,65.6179,65.6179,64.0946,64.7921,7592.028385762889,0
TEN,D,20180619,000000,64.1751,64.1751,61.2108,62.8928,13900.847255446966,0
TEN,D,20180620,000000,62.4922,63.2145,59.4482,61.6835,15217.050220975003,0
TEN,D,20180621,000000,61.6835,62.6365,57.2849,58.4866,19641.70745961223,0
TEN,D,20180622,000000,58.0869,59.2886,58.0869,58.479,8134.063626714453,0
TEN,D,20180625,000000,58.6869,64.0869,57.3656,62.2283,13491.964149772633,0
TEN,D,20180626,000000,62.3319,63.2145,60.1059,61.6835,8749.155791446445,0
TEN,D,20180627,000000,61.0504,61.7717,59.7927,60.2094,7548.429898990698,0
TEN,D,20180628,000000,59.8088,61.692,59.6968,61.6759,8816.321027825226,0
TEN,D,20180629,000000,60.2255,61.6674,60.2179,60.89,15663.64012601988,0
TEN,D,20180702,000000,60.89,62.5729,60.89,62.4922,23402.960696823953,0
TEN,D,20180703,000000,62.4922,62.4922,61.3389,62.0119,4277.3650535960405,0
TEN,D,20180704,000000,62.3726,63.9749,61.692,62.0926,11934.202000777052,0
TEN,D,20180705,000000,62.1723,65.2971,61.8601,64.4952,40568.98111026393,0
TEN,D,20180706,000000,64.8966,65.6976,64.1115,64.1268,8981.288275071354,0
TEN,D,20180709,000000,64.8082,64.8889,62.9336,63.935,5352.008835656533,0
TEN,D,20180710,000000,64.1268,71.0663,63.7746,68.5814,79980.8348148443,0
TEN,D,20180711,000000,69.7033,69.7033,68.1002,68.5016,10014.690245320317,0
TEN,D,20180712,000000,69.0625,69.6956,65.6976,68.7172,7495.404712375871,0
TEN,D,20180713,000000,68.8224,69.5429,68.0934,68.5016,6976.936221030896,0
TEN,D,20180716,000000,69.2229,69.6956,68.3412,68.5093,4566.057736276765,0
TEN,D,20180717,000000,68.5254,68.5254,66.5387,67.8609,8802.180978061273,0
TEN,D,20180718,000000,68.0773,68.0934,66.1864,66.8994,9386.636368304698,0
TEN,D,20180719,000000,66.8994,67.692,65.4651,66.4988,6712.98862543709,0
TEN,D,20180720,000000,67.2999,69.5429,66.4988,67.6122,16734.748895639383,0
TEN,D,20180723,000000,68.4133,69.3274,67.7005,69.3274,9044.918499009147,0
TEN,D,20180724,000000,69.7033,70.4646,66.5064,69.9036,20682.179454743167,0
TEN,D,20180725,000000,70.5044,77.5551,69.7033,76.1131,36105.43873477583,0
TEN,D,20180726,000000,76.5129,80.1111,76.5129,79.3177,35901.58635067883,0
TEN,D,20180727,000000,79.7182,85.7224,77.1553,84.8483,52300.50906442431,0
TEN,D,20180730,000000,88.1411,93.2583,83.4812,84.5258,91545.0388467979,0
TEN,D,20180731,000000,84.121,88.9389,80.8402,81.7211,36550.850302340375,0
TEN,D,20180801,000000,82.1199,83.9555,80.9691,82.187,21614.24440168379,0
TEN,D,20180802,000000,82.7666,83.4812,82.2031,82.3601,12905.152084568548,0
TEN,D,20180803,000000,82.5256,83.3234,81.3205,81.3205,8399.189559788587,0
TEN,D,20180806,000000,82.5256,82.9075,78.1321,79.7182,21034.502361361683,0
TEN,D,20180807,000000,80.1188,82.4093,77.9556,79.9585,19499.12862449236,0
TEN,D,20180808,000000,80.8402,85.5527,79.7182,85.5527,77397.91905796206,0
TEN,D,20180809,000000,87.4877,91.3321,85.0266,91.3321,39673.444625213524,0
TEN,D,20180810,000000,91.4933,91.4933,88.1411,90.9417,15324.278931684987,0
TEN,D,20180813,000000,90.4495,94.9215,88.2005,93.7418,27463.51165403937,0
TEN,D,20180814,000000,93.7418,98.5285,92.9443,98.1464,27676.79073797901,0
TEN,D,20180816,000000,100.048,102.229,94.2262,100.54,25047.91981936392,0
TEN,D,20180817,000000,100.948,102.067,96.5597,98.546,25401.421063462763,0
TEN,D,20180820,000000,99.3518,102.712,96.1444,96.5431,21628.384451447746,0
TEN,D,20180821,000000,98.384,98.546,94.5568,96.9419,13501.390849615269,0
TEN,D,20180822,000000,97.7393,99.3518,94.939,95.4399,12176.939521724926,0
TEN,D,20180823,000000,96.9419,96.9419,92.9618,93.6571,16358.859239414278,0
TEN,D,20180824,000000,96.8654,96.8654,93.9287,94.5402,11365.064997777909,0
TEN,D,20180827,000000,95.346,99.7423,95.1848,96.1444,34174.143604515804,0
TEN,D,20180828,000000,94.1415,98.546,84.738,84.738,87219.36195650835,0
TEN,D,20180829,000000,84.7211,92.1386,76.249,88.1411,89301.48428425055,0
TEN,D,20180830,000000,90.3731,90.3731,84.121,85.7224,15036.76458648459,0
TEN,D,20180831,000000,84.9248,84.9248,78.5165,81.1609,30887.76037187686,0
TEN,D,20180903,000000,80.1349,80.92,68.1002,68.1002,78599.82328789814,0
TEN,D,20180904,000000,66.5785,73.2371,65.0569,71.931,74955.22546123905,0
