<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIM,D,19980216,000000,5.09725,5.09725,5.09725,5.09725,34567.94572790052,0
TIM,D,19980217,000000,5.46248,5.46248,5.46248,5.46248,73529.92673782271,0
TIM,D,19980218,000000,5.88124,5.88124,5.88124,5.88124,108604.3705446389,0
TIM,D,19980219,000000,6.19292,6.19292,6.19292,6.19292,183560.60464321764,0
TIM,D,19980220,000000,5.9835,5.9835,5.9835,5.9835,50815.35163597466,0
TIM,D,19980223,000000,5.61818,5.61818,5.61818,5.61818,49323.26530393088,0
TIM,D,19980224,000000,5.8277,5.8277,5.8277,5.8277,91782.49495398508,0
TIM,D,19980225,000000,5.672,5.672,5.672,5.672,26497.962267081777,0
TIM,D,19980226,000000,5.46248,5.46248,5.46248,5.46248,16417.33491723416,0
TIM,D,19980227,000000,5.672,5.672,5.672,5.672,53686.60373268493,0
TIM,D,19980302,000000,5.672,5.672,5.672,5.672,42359.46487693446,0
TIM,D,19980303,000000,5.77398,5.77398,5.77398,5.77398,52100.23420846203,0
TIM,D,19980304,000000,5.56454,5.56454,5.56454,5.56454,11618.75896179283,0
TIM,D,19980305,000000,5.36032,5.36032,5.36032,5.36032,19624.05976751195,0
TIM,D,19980306,000000,5.36032,5.36032,5.36032,5.36032,27003.36402980932,0
TIM,D,19980309,000000,5.56454,5.56454,5.56454,5.56454,17570.659547146035,0
TIM,D,19980310,000000,5.56454,5.56454,5.56454,5.56454,19051.782717308528,0
TIM,D,19980311,000000,5.46248,5.46248,5.46248,5.46248,25321.61499721919,0
TIM,D,19980312,000000,5.30668,5.30668,5.30668,5.30668,18752.488397949266,0
TIM,D,19980313,000000,5.46248,5.46248,5.46248,5.46248,22545.74240887616,0
TIM,D,19980316,000000,5.56454,5.56454,5.56454,5.56454,26750.114990351485,0
TIM,D,19980317,000000,5.672,5.672,5.672,5.672,33409.139517048,0
TIM,D,19980318,000000,5.51611,5.51611,5.51611,5.51611,17787.73015239561,0
TIM,D,19980319,000000,5.51611,5.51611,5.51611,5.51611,32726.134531843534,0
TIM,D,19980320,000000,5.61818,5.61818,5.61818,5.61818,18446.61618146123,0
TIM,D,19980323,000000,5.72025,5.72025,5.72025,5.72025,33352.131075265286,0
TIM,D,19980324,000000,5.72025,5.72025,5.72025,5.72025,66738.24795236257,0
TIM,D,19980325,000000,5.88124,5.88124,5.88124,5.88124,69142.46935292981,0
TIM,D,19980326,000000,5.72025,5.72025,5.72025,5.72025,31625.433078961858,0
TIM,D,19980327,000000,5.15088,5.15088,5.15088,5.15088,19762.195607216225,0
TIM,D,19980330,000000,5.51611,5.51611,5.51611,5.51611,77272.75020409566,0
TIM,D,19980331,000000,5.46248,5.46248,5.46248,5.46248,13663.388652653712,0
TIM,D,19980401,000000,5.46248,5.46248,5.46248,5.46248,4494.8963713295525,0
TIM,D,19980402,000000,5.25286,5.25286,5.25286,5.25286,30944.62072613365,0
TIM,D,19980406,000000,5.46248,5.46248,5.46248,5.46248,5696.458913519112,0
TIM,D,19980407,000000,5.51611,5.51611,5.51611,5.51611,12199.806541501284,0
TIM,D,19980408,000000,5.40857,5.40857,5.40857,5.40857,29959.032473005536,0
TIM,D,19980409,000000,5.40857,5.40857,5.40857,5.40857,75889.19917467666,0
TIM,D,19980414,000000,5.46248,5.46248,5.46248,5.46248,4582.6016663798855,0
TIM,D,19980415,000000,5.56454,5.56454,5.56454,5.56454,16325.244357431311,0
TIM,D,19980416,000000,5.46248,5.46248,5.46248,5.46248,4607.8169387068565,0
TIM,D,19980417,000000,5.36032,5.36032,5.36032,5.36032,43427.27684417226,0
TIM,D,19980420,000000,5.40857,5.40857,5.40857,5.40857,15993.060552428175,0
TIM,D,19980421,000000,5.40857,5.40857,5.40857,5.40857,11840.21483179492,0
TIM,D,19980422,000000,5.36032,5.36032,5.36032,5.36032,38365.58500357992,0
TIM,D,19980423,000000,5.30668,5.30668,5.30668,5.30668,17372.226317094657,0
TIM,D,19980424,000000,5.25286,5.25286,5.25286,5.25286,24715.352145183766,0
TIM,D,19980427,000000,5.36032,5.36032,5.36032,5.36032,10208.89634385873,0
TIM,D,19980428,000000,5.15088,5.15088,5.15088,5.15088,20060.393610387357,0
TIM,D,19980429,000000,5.15088,5.15088,5.15088,5.15088,22317.708641745296,0
TIM,D,19980430,000000,4.94137,4.94137,4.94137,4.94137,21095.31609198128,0
TIM,D,19980504,000000,4.94137,4.94137,4.94137,4.94137,33822.45071997269,0
TIM,D,19980505,000000,4.94137,4.94137,4.94137,4.94137,28213.697101503913,0
TIM,D,19980506,000000,4.83948,4.83948,4.83948,4.83948,8069.983460818741,0
TIM,D,19980507,000000,4.88773,4.88773,4.88773,4.88773,13170.04636799559,0
TIM,D,19980508,000000,4.83948,4.83948,4.83948,4.83948,20168.928913012143,0
TIM,D,19980511,000000,4.83948,4.83948,4.83948,4.83948,13964.87560438923,0
TIM,D,19980512,000000,4.62996,4.62996,4.62996,4.62996,14084.37406889531,0
TIM,D,19980513,000000,4.68368,4.68368,4.68368,4.68368,29790.199780033643,0
TIM,D,19980514,000000,4.73185,4.73185,4.73185,4.73185,13272.003773491602,0
TIM,D,19980515,000000,4.62996,4.62996,4.62996,4.62996,15570.978819998449,0
TIM,D,19980518,000000,4.62996,4.62996,4.62996,4.62996,19019.989547852787,0
TIM,D,19980519,000000,4.68368,4.68368,4.68368,4.68368,39931.12452022837,0
TIM,D,19980520,000000,4.68368,4.68368,4.68368,4.68368,13543.890188147632,0
TIM,D,19980521,000000,4.68368,4.68368,4.68368,4.68368,61944.05726167375,0
TIM,D,19980522,000000,4.68368,4.68368,4.68368,4.68368,6857.457756747891,0
TIM,D,19980525,000000,4.29155,4.29155,4.29155,4.29155,9919.468870192632,0
TIM,D,19980526,000000,4.31837,4.31837,4.31837,4.31837,22731.01984466999,0
TIM,D,19980527,000000,3.89933,3.89933,3.89933,3.89933,29023.874764531363,0
TIM,D,19980528,000000,3.89933,3.89933,3.89933,3.89933,40452.97102577784,0
TIM,D,19980529,000000,4.29155,4.29155,4.29155,4.29155,28890.1241895796,0
TIM,D,19980601,000000,3.87799,3.87799,3.87799,3.87799,3254.9627625554735,0
TIM,D,19980602,000000,3.51267,3.51267,3.51267,3.51267,36060.03205994431,0
TIM,D,19980603,000000,3.53967,3.53967,3.53967,3.53967,6414.54601674371,0
TIM,D,19980604,000000,3.64174,3.64174,3.64174,3.64174,13536.21597483073,0
TIM,D,19980605,000000,3.74371,3.74371,3.74371,3.74371,26310.492198911692,0
TIM,D,19980608,000000,3.64174,3.64174,3.64174,3.64174,5162.552929900211,0
TIM,D,19980609,000000,3.53967,3.53967,3.53967,3.53967,16953.43353322932,0
TIM,D,19980610,000000,3.27651,3.27651,3.27651,3.27651,16051.165310399021,0
TIM,D,19980615,000000,3.09372,3.09372,3.09372,3.09372,11152.824581837936,0
TIM,D,19980616,000000,2.80913,2.80913,2.80913,2.80913,18357.814570222774,0
TIM,D,19980617,000000,3.06691,3.06691,3.06691,3.06691,13378.34644374013,0
TIM,D,19980618,000000,3.35706,3.35706,3.35706,3.35706,45374.33439428964,0
TIM,D,19980619,000000,3.22808,3.22808,3.22808,3.22808,75391.47162526601,0
TIM,D,19980622,000000,3.30316,3.30316,3.30316,3.30316,8169.748233938495,0
TIM,D,19980623,000000,3.43203,3.43203,3.43203,3.43203,45009.26110364264,0
TIM,D,19980624,000000,3.53967,3.53967,3.53967,3.53967,22797.895132145866,0
TIM,D,19980625,000000,3.64174,3.64174,3.64174,3.64174,28003.204393383112,0
TIM,D,19980626,000000,3.77054,3.77054,3.77054,3.77054,49312.302142049586,0
TIM,D,19980629,000000,3.87799,3.87799,3.87799,3.87799,41556.96142722391,0
TIM,D,19980630,000000,3.85108,3.85108,3.85108,3.85108,55581.03810577212,0
TIM,D,19980701,000000,3.92614,3.92614,3.92614,3.92614,53548.467892980654,0
TIM,D,19980702,000000,3.92614,3.92614,3.92614,3.92614,54955.041562350365,0
TIM,D,19980703,000000,3.92614,3.92614,3.92614,3.92614,28181.903932048168,0
TIM,D,19980706,000000,3.77054,3.77054,3.77054,3.77054,19019.989547852787,0
TIM,D,19980707,000000,3.82435,3.82435,3.82435,3.82435,37733.0105630294,0
TIM,D,19980708,000000,3.64174,3.64174,3.64174,3.64174,35535.992922018566,0
TIM,D,19980709,000000,3.95305,3.95305,3.95305,3.95305,33830.1249332896,0
TIM,D,19980710,000000,3.79726,3.79726,3.79726,3.79726,32577.035530257966,0
TIM,D,19980713,000000,3.45894,3.45894,3.45894,3.45894,39533.16174393748,0
TIM,D,19980714,000000,3.64174,3.64174,3.64174,3.64174,30665.060098160713,0
TIM,D,19980715,000000,3.74371,3.74371,3.74371,3.74371,25044.247001622512,0
TIM,D,19980716,000000,3.64174,3.64174,3.64174,3.64174,44501.66670853883,0
TIM,D,19980717,000000,3.74371,3.74371,3.74371,3.74371,11448.82995263281,0
TIM,D,19980720,000000,3.97996,3.97996,3.97996,3.97996,20994.4550026734,0
TIM,D,19980721,000000,3.97996,3.97996,3.97996,3.97996,36472.24694668087,0
TIM,D,19980722,000000,3.97996,3.97996,3.97996,3.97996,33648.136446060154,0
TIM,D,19980723,000000,3.95305,3.95305,3.95305,3.95305,46369.78949311092,0
TIM,D,19980724,000000,4.00687,4.00687,4.00687,4.00687,30344.935771227,0
