<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSG,D,20090708,000000,7.8027,8.07631,7.8027,7.91918,181103.85999689688,0
TSG,D,20090709,000000,8.19278,9.28494,7.88811,8.30996,45611.97219884549,0
TSG,D,20090710,000000,8.6216,8.89494,8.34913,8.5833,3340.543372645008,0
TSG,D,20090713,000000,9.36328,10.1511,8.93411,9.16742,35794.81825709025,0
TSG,D,20090714,000000,9.12911,9.16742,8.77743,9.05076,2938.4834756622868,0
TSG,D,20090715,000000,8.8166,8.98112,8.5833,8.98112,717.964101754859,0
TSG,D,20090716,000000,8.5833,9.08994,8.50495,9.08994,660.5269736144702,0
TSG,D,20090717,000000,9.05076,9.05076,8.89494,9.05076,191.84000798889832,0
TSG,D,20090720,000000,8.59113,9.01246,8.59113,9.01246,289.48312582755915,0
TSG,D,20090721,000000,8.59113,9.05076,8.59113,9.05076,141.29533522535627,0
TSG,D,20090722,000000,8.59113,9.05076,8.59113,9.05076,1124.6189689888113,0
TSG,D,20090723,000000,8.61464,9.08994,8.50495,8.6216,49560.20038721581,0
TSG,D,20090724,000000,9.0351,9.0351,8.50495,8.5833,36397.90810256433,0
TSG,D,20090727,000000,8.57459,8.5833,8.57459,8.5833,6096.376780820859,0
TSG,D,20090728,000000,8.5833,8.5833,8.5833,8.5833,24022.50447343618,0
TSG,D,20090729,000000,8.5833,8.97329,8.5833,8.97329,967.241237884146,0
TSG,D,20090730,000000,8.6216,9.01246,8.57459,8.57459,7266.945452321981,0
TSG,D,20090731,000000,8.57459,8.5833,8.57459,8.57459,14808.44037715502,0
TSG,D,20090804,000000,8.43444,8.5833,8.42747,8.5833,1448.5643717006035,0
TSG,D,20090805,000000,8.54325,8.98112,8.54325,8.98112,1731.155042151316,0
TSG,D,20090807,000000,8.5833,8.5833,8.50495,8.50495,44841.16593920148,0
TSG,D,20090810,000000,8.54325,8.55196,8.50495,8.50495,3024.63916787287,0
TSG,D,20090811,000000,8.54325,8.54325,8.54325,8.54325,4251.496224951573,0
TSG,D,20090812,000000,8.54325,8.54325,8.54325,8.54325,551.3964301477317,0
TSG,D,20090813,000000,9.05076,9.20659,9.05076,9.20659,515.7854107006907,0
TSG,D,20090814,000000,9.20659,9.20659,8.92541,9.20659,319.35043246056125,0
TSG,D,20090817,000000,9.20659,9.20659,8.77743,8.97329,412.398580047991,0
TSG,D,20090818,000000,8.97329,8.97329,8.97329,8.97329,214.8148592450538,0
TSG,D,20090819,000000,8.97329,8.97329,8.97329,8.97329,25198.81685775134,0
TSG,D,20090820,000000,8.97329,8.97329,8.73912,8.8166,995.9598019543404,0
TSG,D,20090821,000000,8.8166,9.12911,8.8166,8.97329,90.75066246181419,0
TSG,D,20090824,000000,9.41725,9.44075,9.12911,9.40245,2802.9318532509697,0
TSG,D,20090825,000000,9.40245,9.40245,9.08994,9.40245,2160.784760641424,0
TSG,D,20090826,000000,9.40245,9.86207,9.40245,9.55744,2090.7114643101495,0
TSG,D,20090827,000000,10.7518,10.7518,9.36328,9.36328,11469.045747072818,0
TSG,D,20090828,000000,9.36328,10.1041,9.36328,10.1041,156.22898854185732,0
TSG,D,20090831,000000,10.0649,10.0649,10.0649,10.0649,51.69341532634984,0
TSG,D,20090901,000000,9.51995,9.67576,9.51995,9.67576,972.9849506981849,0
TSG,D,20090902,000000,9.51995,9.51995,9.51995,9.51995,353.8127093447945,0
TSG,D,20090903,000000,9.51995,9.51995,9.51995,9.51995,5.743712814038872,0
TSG,D,20090904,000000,9.51995,9.51995,9.20659,9.20659,961.4975250701071,0
TSG,D,20090907,000000,9.20659,9.20659,9.0438,9.05076,101304.1603863292,0
TSG,D,20090908,000000,9.05076,9.63572,9.0438,9.53478,54430.86885352078,0
TSG,D,20090909,000000,9.59748,9.75328,9.59748,9.67576,3972.3517821892838,0
TSG,D,20090910,000000,9.67576,9.75328,9.36328,9.51995,6142.32648333317,0
TSG,D,20090911,000000,9.75328,10.3775,9.52694,10.2999,50355.13024067879,0
TSG,D,20090914,000000,10.1433,10.1433,9.75328,9.75328,2761.57712098989,0
TSG,D,20090915,000000,10.1433,10.1433,9.7141,9.7141,2995.9206038026755,0
TSG,D,20090916,000000,10.2999,10.2999,9.44856,9.44856,1986.1758910946419,0
TSG,D,20090917,000000,9.67576,10.1041,9.67576,9.98662,1591.0084494887674,0
TSG,D,20090918,000000,9.98048,9.98048,9.75328,9.91778,138.99785009974067,0
TSG,D,20090921,000000,9.83072,10.4557,9.83072,10.3775,5767.836407857835,0
TSG,D,20090922,000000,10.6507,10.6891,10.6507,10.6891,1294.6328682843618,0
TSG,D,20090923,000000,10.3775,10.4557,10.2217,10.4557,4677.679715753257,0
TSG,D,20090924,000000,10.401,10.8457,10.2217,10.8457,14354.687064845948,0
TSG,D,20090925,000000,10.8457,12.4841,10.8457,12.4841,25920.22718719462,0
TSG,D,20090928,000000,12.3675,12.3675,11.7816,12.3283,692.691765373088,0
TSG,D,20090929,000000,11.7032,12.1725,11.7032,12.1725,76.96575170812089,0
TSG,D,20090930,000000,11.6257,12.0167,11.5866,12.0167,2576.629568377838,0
TSG,D,20091001,000000,12.0167,12.0167,11.5091,12.0167,4207.844007564878,0
TSG,D,20091002,000000,12.4457,12.4457,12.4457,12.4457,1.1487425628077743,0
TSG,D,20091005,000000,12.2891,12.2891,12.2499,12.2499,71.222038894082,0
TSG,D,20091006,000000,11.6257,11.7032,11.3611,11.7032,5561.062746552436,0
TSG,D,20091007,000000,11.7032,11.7032,11.7032,11.7032,668.5681715541247,0
TSG,D,20091008,000000,11.4699,11.4699,11.4699,11.4699,64.32958351723536,0
TSG,D,20091009,000000,11.7032,11.7032,11.3133,11.7032,1391.1272435602148,0
TSG,D,20091012,000000,11.3133,11.3133,11.3133,11.3133,2562.844657624145,0
TSG,D,20091013,000000,11.7032,11.7032,11.1966,11.3063,2036.720563858184,0
TSG,D,20091014,000000,11.1574,11.1574,10.9319,11.1574,3276.2137891277725,0
TSG,D,20091015,000000,11.3133,11.3133,10.9233,11.1574,7062.4692761421975,0
TSG,D,20091016,000000,11.7032,11.7032,11.5483,11.5483,1924.1437927030222,0
TSG,D,20091019,000000,11.5404,11.5404,10.9624,11.0016,10670.669665921416,0
TSG,D,20091020,000000,10.9703,11.5091,10.9703,11.3133,524.9753512031529,0
TSG,D,20091021,000000,11.3133,11.3133,10.9233,10.9233,13639.020448216705,0
TSG,D,20091022,000000,11.0016,11.0016,10.8849,10.8849,13225.473125605906,0
TSG,D,20091023,000000,11.0016,11.0016,10.9233,10.9233,4491.583420578398,0
TSG,D,20091026,000000,11.0016,11.6963,10.9233,11.6963,31137.815907467535,0
TSG,D,20091027,000000,11.3925,11.3925,11.3133,11.3133,1636.9581520010784,0
TSG,D,20091028,000000,11.4299,11.6884,11.3133,11.6884,1076.3717813508847,0
TSG,D,20091029,000000,10.9624,11.5248,10.9233,11.1574,2371.0046496352466,0
TSG,D,20091030,000000,11.4612,11.4612,10.9233,11.1574,16271.938402172125,0
TSG,D,20091102,000000,11.3133,11.6963,11.0164,11.0164,2097.603919686996,0
TSG,D,20091103,000000,11.0486,11.0486,10.9781,11.0486,3530.085895508291,0
TSG,D,20091104,000000,11.3133,11.3133,11.0799,11.0799,692.691765373088,0
TSG,D,20091105,000000,11.0407,11.0407,10.8457,10.9233,7606.973250913082,0
TSG,D,20091106,000000,10.9319,10.9319,10.8457,10.8457,229.74851256155486,0
TSG,D,20091109,000000,10.9624,10.9624,10.8849,10.8849,7079.700414584314,0
TSG,D,20091110,000000,10.9006,10.9006,10.8849,10.8849,1921.8463075774066,0
TSG,D,20091112,000000,10.9233,11.5483,10.8457,11.5483,59035.029045254334,0
TSG,D,20091113,000000,11.6179,11.6649,10.9546,10.9546,1452.010599389027,0
TSG,D,20091116,000000,10.9546,11.5483,10.9546,11.5483,935.0764461255284,0
TSG,D,20091117,000000,11.3133,11.3133,11.3133,11.3133,134.4028798485096,0
TSG,D,20091118,000000,11.0799,11.0799,10.9233,11.0799,2704.1399928495007,0
TSG,D,20091120,000000,11.0799,11.0799,11.0799,11.0799,1.1487425628077743,0
TSG,D,20091123,000000,11.0799,11.0799,11.0799,11.0799,333.13534321425453,0
TSG,D,20091124,000000,11.0016,11.0878,10.9233,10.9233,8867.143842313211,0
TSG,D,20091125,000000,10.9233,11.2357,10.9233,11.2357,1937.9287034567153,0
TSG,D,20091126,000000,11.4699,11.4699,11.4699,11.4699,385.9775011034122,0
TSG,D,20091130,000000,11.4699,11.4699,10.9703,10.9703,4082.63106821883,0
TSG,D,20091201,000000,11.0095,11.4699,11.0095,11.4699,390.5724713546433,0
TSG,D,20091202,000000,11.4699,11.4699,11.4699,11.4699,1.1487425628077743,0
TSG,D,20091203,000000,11.4699,11.4699,11.4699,11.4699,2.2974851256155486,0
TSG,D,20091204,000000,11.3925,11.3925,11.0095,11.3524,229.74851256155486,0
TSG,D,20091207,000000,11.3925,11.6649,11.3925,11.6649,340.0277985911012,0
TSG,D,20091208,000000,11.4073,11.4073,11.3925,11.3925,1881.6403178791343,0
TSG,D,20091210,000000,11.6884,11.6884,11.1966,11.1966,435.3734313041465,0
TSG,D,20091211,000000,11.3133,11.3133,11.3133,11.3133,5.743712814038872,0
TSG,D,20091215,000000,11.1653,11.1653,10.9233,10.9233,1403.7634117511002,0
TSG,D,20091216,000000,10.9468,10.9468,10.9319,10.9319,188.39378030047502,0
TSG,D,20091217,000000,10.9319,11.2749,10.9319,11.2749,808.7147642166732,0
TSG,D,20091218,000000,11.2749,11.2749,10.7048,11.2279,15141.575720369274,0
TSG,D,20091221,000000,10.9233,10.9233,10.9233,10.9233,383.68001597779664,0
TSG,D,20091222,000000,10.8457,11.1574,10.8457,10.8692,815.6072195935197,0
TSG,D,20091223,000000,10.8606,10.8771,10.8606,10.8771,6477.7593116730395,0
TSG,D,20091228,000000,10.8457,11.3063,10.8457,11.3063,292.9293535159825,0
TSG,D,20091229,000000,11.3133,11.3133,11.3133,11.3133,12.636168190885519,0
TSG,D,20091230,000000,11.4699,11.4699,11.3063,11.3063,2.2974851256155486,0
TSG,D,20091231,000000,11.3063,11.3063,11.3063,11.3063,138.99785009974067,0
TSG,D,20100104,000000,11.3925,11.3925,11.0407,11.0799,372.1925903497189,0
TSG,D,20100105,000000,10.9233,11.2749,10.9233,10.9233,5281.918303790147,0
TSG,D,20100106,000000,10.9233,11.2357,10.9233,11.2357,416.9935502992221,0
TSG,D,20100107,000000,11.2357,11.2357,11.0799,11.0799,5862.033298008072,0
TSG,D,20100108,000000,11.0799,11.0799,10.9233,11.0799,636.403379795507,0
TSG,D,20100112,000000,10.9233,10.9233,10.9233,10.9233,12.636168190885519,0
TSG,D,20100113,000000,10.9233,10.9233,10.9233,10.9233,39.05724713546433,0
TSG,D,20100114,000000,11.0799,11.4612,11.0799,11.4612,153.93150341624178,0
TSG,D,20100115,000000,11.5091,11.5091,11.5091,11.5091,12.636168190885519,0
TSG,D,20100118,000000,11.5091,11.5091,11.5091,11.5091,5.743712814038872,0
TSG,D,20100119,000000,11.5091,11.5091,11.4299,11.4299,153.93150341624178,0
TSG,D,20100120,000000,11.4699,11.5091,11.4699,11.5091,157.3777311046651,0
TSG,D,20100121,000000,11.5091,11.5091,11.5091,11.5091,26.421078944578813,0
TSG,D,20100122,000000,11.3133,11.5483,11.2357,11.2357,616.8747562277748,0
TSG,D,20100125,000000,11.4699,11.4699,11.1191,11.1191,236.64096793840153,0
TSG,D,20100126,000000,10.9233,10.9233,10.9233,10.9233,6477.7593116730395,0
TSG,D,20100127,000000,10.9233,10.9233,10.9233,10.9233,17558.530072516834,0
TSG,D,20100128,000000,11.1574,11.1574,10.9233,10.9233,26808.205188245032,0
TSG,D,20100201,000000,11.0016,11.0016,11.0016,11.0016,130.9566521600863,0
TSG,D,20100202,000000,11.3133,11.3133,11.0016,11.0016,2.2974851256155486,0
TSG,D,20100203,000000,11.0016,11.0016,10.8849,10.9233,1931.0362480798685,0
TSG,D,20100204,000000,10.9233,10.9233,10.9233,10.9233,2.2974851256155486,0
TSG,D,20100205,000000,10.9233,10.9233,10.5725,10.9233,515.7854107006907,0
TSG,D,20100208,000000,10.7675,10.8457,10.7675,10.8457,481.3231338164574,0
TSG,D,20100209,000000,10.8849,10.8849,10.8849,10.8849,5.743712814038872,0
TSG,D,20100210,000000,10.8849,10.9233,10.8849,10.9233,2037.869306420992,0
TSG,D,20100211,000000,10.7675,10.9233,10.7675,10.8457,4327.313234096886,0
TSG,D,20100212,000000,10.8457,10.8457,10.7675,10.7675,1678.3128842621584,0
TSG,D,20100215,000000,10.7134,10.8457,10.7134,10.8457,788.0373980861333,0
TSG,D,20100216,000000,10.8457,10.9233,10.7291,10.7675,29109.136541549004,0
TSG,D,20100217,000000,10.9233,10.9233,10.8457,10.8457,2296.336383052741,0
TSG,D,20100218,000000,10.9233,10.9233,10.8457,10.8457,32054.512472588136,0
TSG,D,20100219,000000,10.8457,10.8457,10.7291,10.8457,1486.47287627326,0
TSG,D,20100222,000000,10.8457,10.8457,10.8457,10.8457,9258.865056230661,0
TSG,D,20100223,000000,10.8457,10.8457,10.8457,10.8457,1068.3305834112302,0
TSG,D,20100224,000000,10.8066,10.8066,10.8066,10.8066,446.86085693222424,0
TSG,D,20100225,000000,10.7291,10.9163,10.7291,10.9163,8098.635067794809,0
TSG,D,20100226,000000,10.9163,10.9163,10.9163,10.9163,8.04119793965442,0
TSG,D,20100301,000000,10.9163,10.9163,10.9163,10.9163,12.636168190885519,0
TSG,D,20100302,000000,10.9163,10.9163,10.9163,10.9163,12.636168190885519,0
TSG,D,20100303,000000,10.9163,10.9163,10.5725,10.6116,1206.1796909481632,0
TSG,D,20100304,000000,10.4941,10.6507,10.4941,10.6507,145.89030547658734,0
TSG,D,20100305,000000,10.6507,10.8457,10.6507,10.8457,751.2776360762845,0
TSG,D,20100308,000000,10.8457,10.8457,10.8457,10.8457,639.8496074839303,0
TSG,D,20100309,000000,10.9163,10.9163,10.5411,10.6586,334.28408577706233,0
TSG,D,20100310,000000,10.4941,10.9076,10.4941,10.9076,1410.655867127947,0
TSG,D,20100311,000000,10.9006,10.9006,10.9006,10.9006,26.421078944578813,0
TSG,D,20100312,000000,10.8919,10.9006,10.8919,10.9006,871.8956051711008,0
TSG,D,20100315,000000,10.9006,10.9006,10.6273,10.8919,448.00959949503203,0
TSG,D,20100316,000000,10.8849,10.8849,10.8457,10.8771,10975.086445065475,0
TSG,D,20100317,000000,10.8849,10.8849,10.8849,10.8849,12.636168190885519,0
TSG,D,20100318,000000,10.8771,10.8771,10.8771,10.8771,12.636168190885519,0
TSG,D,20100319,000000,10.8849,10.8849,10.5725,10.8849,769.6575170812089,0
TSG,D,20100322,000000,10.8849,10.8849,10.8849,10.8849,12.636168190885519,0
TSG,D,20100323,000000,10.7675,10.8849,10.7675,10.8849,513.4879255750752,0
TSG,D,20100324,000000,10.8849,10.8849,10.6664,10.8849,716.8153591920511,0
TSG,D,20100325,000000,10.8771,10.8771,10.6116,10.8771,961.4975250701071,0
TSG,D,20100326,000000,10.6116,10.8771,10.5411,10.8771,10491.465826123404,0
TSG,D,20100329,000000,10.8771,10.8771,10.4941,10.8692,1447.4156291377956,0
TSG,D,20100330,000000,10.8771,10.8771,10.5498,10.5498,8798.219288544744,0
TSG,D,20100331,000000,10.8457,10.8457,10.8457,10.8457,2.2974851256155486,0
TSG,D,20100401,000000,10.8457,10.8457,10.4784,10.8379,4269.876105956498,0
TSG,D,20100406,000000,10.4784,10.8457,10.4784,10.5333,1596.7521623028065,0
TSG,D,20100407,000000,10.4784,10.8379,10.4471,10.8379,2444.5241736549438,0
TSG,D,20100408,000000,10.8066,10.8066,10.401,10.401,557.1401429617706,0
TSG,D,20100409,000000,10.5333,10.7605,10.5333,10.5333,7115.311434031355,0
TSG,D,20100412,000000,10.5333,10.6116,10.5333,10.5333,3005.110544305138,0
TSG,D,20100413,000000,10.401,10.4557,10.401,10.4557,653.6345182376235,0
TSG,D,20100414,000000,10.401,10.401,10.3775,10.3775,1089.0079495417701,0
TSG,D,20100415,000000,10.3775,10.3775,10.3775,10.3775,1409.507124565139,0
TSG,D,20100416,000000,10.3775,10.3775,10.3775,10.3775,127.51042447166296,0
TSG,D,20100419,000000,10.3775,10.3775,10.1511,10.1511,6539.79141006466,0
TSG,D,20100420,000000,10.3775,10.3775,10.1825,10.2999,8631.651616937617,0
TSG,D,20100421,000000,10.2999,10.2999,10.2999,10.2999,64.32958351723536,0
TSG,D,20100422,000000,10.1433,10.2451,10.1433,10.2451,1294.6328682843618,0
TSG,D,20100423,000000,10.5725,10.5725,10.5725,10.5725,640.9983500467382,0
TSG,D,20100426,000000,10.5333,10.5333,10.3383,10.3383,1927.5900203914455,0
TSG,D,20100427,000000,10.4557,10.4557,10.3775,10.3775,590.453677283196,0
TSG,D,20100428,000000,10.2599,10.2599,10.2599,10.2599,1849.4755261205166,0
TSG,D,20100429,000000,10.2285,10.2599,10.2285,10.2599,32.16479175861768,0
TSG,D,20100430,000000,10.3148,10.3148,10.3148,10.3148,12.636168190885519,0
TSG,D,20100504,000000,10.4157,10.4157,10.4157,10.4157,59.73461326600427,0
TSG,D,20100505,000000,10.4157,10.8292,10.4157,10.8066,535.3140342684229,0
TSG,D,20100506,000000,10.8066,10.8066,10.8066,10.8066,5.743712814038872,0
TSG,D,20100507,000000,10.4557,10.9233,10.3853,10.9233,8663.816408696235,0
TSG,D,20100510,000000,10.9233,11.1966,10.9233,11.1191,2798.3368829997385,0
TSG,D,20100511,000000,10.9546,11.5091,10.9546,11.5091,1767.9148041611647,0
TSG,D,20100512,000000,10.9546,11.2984,10.9546,11.2984,345.77151140514013,0
TSG,D,20100513,000000,11.2984,11.2984,11.2749,11.2984,1703.5852206439295,0
TSG,D,20100514,000000,11.5404,11.9383,11.3133,11.9383,2257.2791359172766,0
TSG,D,20100517,000000,11.9383,11.9383,11.9304,11.9304,967.241237884146,0
TSG,D,20100518,000000,11.8991,11.8991,11.7032,11.7816,1441.6719163237567,0
TSG,D,20100519,000000,11.7738,11.8591,11.7738,11.7816,2769.618318929544,0
TSG,D,20100520,000000,11.7816,11.7903,11.7032,11.7032,4623.688815301292,0
TSG,D,20100521,000000,11.7816,11.7816,11.7816,11.7816,12.636168190885519,0
TSG,D,20100524,000000,11.7032,11.7032,11.4699,11.4699,519.231638389114,0
TSG,D,20100525,000000,11.4699,11.4699,11.0799,11.0799,2371.0046496352466,0
TSG,D,20100526,000000,11.174,11.4699,11.1574,11.4699,1929.887505517061,0
TSG,D,20100527,000000,11.8591,11.9226,11.4699,11.4699,487.06684663049634,0
TSG,D,20100528,000000,11.4777,12.0167,11.4777,12.0167,1052.2481875319213,0
TSG,D,20100531,000000,12.0167,12.8749,12.0167,12.4998,22746.25148615674,0
TSG,D,20100601,000000,12.8592,12.8662,12.4841,12.7957,3502.516074000904,0
TSG,D,20100602,000000,12.4841,12.7574,12.4841,12.7574,647.8908054235848,0
TSG,D,20100607,000000,12.4841,12.4841,12.4841,12.4841,5.743712814038872,0
TSG,D,20100608,000000,12.6399,12.6399,12.6399,12.6399,5.743712814038872,0
TSG,D,20100609,000000,12.6399,12.6399,12.4457,12.4457,11603.448626921328,0
TSG,D,20100610,000000,12.6399,12.6399,12.0941,12.2577,10002.10149436729,0
TSG,D,20100611,000000,12.1725,12.4841,12.1725,12.2499,8254.864056336666,0
TSG,D,20100614,000000,12.2891,12.2891,11.6257,12.0941,14600.517973286811,0
TSG,D,20100615,000000,12.0941,12.4841,12.0941,12.4841,472.13319331399526,0
TSG,D,20100616,000000,12.5616,12.6016,12.4057,12.4057,477.87690612803414,0
TSG,D,20100617,000000,12.6399,12.7574,12.6399,12.7574,6751.16004162129,0
TSG,D,20100618,000000,12.7574,12.7574,12.7574,12.7574,1740.3449826537783,0
TSG,D,20100621,000000,12.6556,12.6556,12.4057,12.4841,1171.71741406393,0
TSG,D,20100622,000000,12.4841,12.4841,12.3126,12.3126,3070.5888703851806,0
TSG,D,20100623,000000,12.2891,12.3988,12.1725,12.1725,5543.831608110319,0
TSG,D,20100624,000000,12.4057,12.4057,12.4057,12.4057,26.421078944578813,0
TSG,D,20100625,000000,12.3988,12.4057,12.1725,12.1725,4608.755161984791,0
TSG,D,20100628,000000,11.8129,11.8129,11.6257,11.6257,2307.8238086808187,0
TSG,D,20100629,000000,11.7119,12.0549,11.7119,12.0549,210.2198889938227,0
TSG,D,20100630,000000,12.1638,12.1638,11.7816,12.0941,1816.1619917990913,0
TSG,D,20100701,000000,12.0941,12.1638,11.7816,11.7816,340.0277985911012,0
TSG,D,20100705,000000,11.7973,11.7973,11.7973,11.7973,453.7533123090709,0
TSG,D,20100706,000000,12.0862,12.0862,12.0392,12.0392,141.29533522535627,0
TSG,D,20100707,000000,12.1638,12.1638,12.1638,12.1638,5.743712814038872,0
TSG,D,20100708,000000,12.3988,12.3988,11.8591,11.8591,1140.70136486812,0
TSG,D,20100709,000000,11.8591,11.8591,11.7032,11.7032,987.9186040146859,0
TSG,D,20100712,000000,11.9766,11.9766,11.6257,11.6257,4806.338882787728,0
TSG,D,20100713,000000,11.6257,11.6345,11.5866,11.5866,1920.6975650145987,0
TSG,D,20100714,000000,11.6806,11.7032,11.6806,11.6884,1565.7361131069963,0
TSG,D,20100715,000000,11.4699,11.7032,11.4699,11.7032,1023.5296234617269,0
TSG,D,20100716,000000,11.5169,12.4057,11.5169,12.4057,1879.342832753519,0
TSG,D,20100719,000000,12.4057,12.4057,12.3283,12.3283,83.85820708496753,0
TSG,D,20100720,000000,12.3283,12.3283,12.2499,12.2499,389.4237287918355,0
