<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT,D,20140411,000000,13.1901,13.1901,12.4086,12.6509,200027.61049626,0
TXT,D,20140414,000000,12.5753,12.5753,12.2063,12.3075,54170.027495093,0
TXT,D,20140415,000000,12.3075,12.4231,12.2391,12.3002,4841.6088294392,0
TXT,D,20140416,000000,12.3002,12.3967,12.2391,12.2391,4763.6600251557,0
TXT,D,20140417,000000,12.1699,12.4441,12.1699,12.3075,5195.1231249221,0
TXT,D,20140422,000000,12.5052,12.7129,12.343,12.6827,3160.7691201713,0
TXT,D,20140423,000000,12.6509,12.7201,12.5825,12.6827,10263.991144315,0
TXT,D,20140424,000000,12.6827,12.6827,12.6772,12.6772,1330.6190252336,0
TXT,D,20140425,000000,12.5679,12.6509,12.3075,12.6509,12916.446230919,0
TXT,D,20140428,000000,12.6827,12.6827,12.3148,12.6436,1195.5809558411,0
TXT,D,20140429,000000,12.6436,12.6436,12.3075,12.6436,2136.4559596573,0
TXT,D,20140430,000000,12.6827,12.6827,12.3075,12.5753,4574.8263021028,0
TXT,D,20140502,000000,12.6363,12.6363,12.3075,12.3075,5247.8209080997,0
TXT,D,20140505,000000,12.5825,12.6218,12.3767,12.3767,1010.0408442368,0
TXT,D,20140506,000000,12.3767,12.5142,12.3075,12.3767,1781.8437936916,0
TXT,D,20140507,000000,12.3075,12.3148,12.1573,12.2674,9802.8855415109,0
TXT,D,20140508,000000,12.2674,12.2738,12.2438,12.2438,2248.4387489096,0
TXT,D,20140509,000000,12.252,12.252,12.1017,12.1017,1053.9556635514,0
TXT,D,20140512,000000,12.1017,12.1645,11.4323,11.7602,84915.890367757,0
TXT,D,20140513,000000,11.892,11.892,11.6234,11.7483,3697.6277862928,0
TXT,D,20140514,000000,11.6371,11.6371,11.556,11.6371,20364.399586682,0
TXT,D,20140515,000000,11.6234,11.9649,11.6234,11.9649,443.53967507788,0
TXT,D,20140516,000000,11.9587,11.9649,11.6234,11.9587,3353.9943251557,0
TXT,D,20140519,000000,11.9303,11.9303,11.9303,11.9303,10.97870482866,0
TXT,D,20140520,000000,11.6981,11.7273,11.4057,11.7044,2213.3068934579,0
TXT,D,20140521,000000,11.6981,11.7126,11.3857,11.6581,1136.2959497663,0
TXT,D,20140522,000000,11.719,12.2674,11.6234,12.2674,4661.5580702492,0
TXT,D,20140523,000000,12.2063,12.3002,12.2063,12.3002,1478.8315404206,0
TXT,D,20140526,000000,12.3002,12.343,12.3002,12.343,5.4893524143302,0
TXT,D,20140527,000000,12.3075,12.3075,12.1372,12.2928,977.10472975077,0
TXT,D,20140528,000000,12.3002,12.3002,12.3002,12.3002,10.97870482866,0
TXT,D,20140529,000000,12.1699,12.1699,12.0342,12.1017,633.4712686137,0
TXT,D,20140530,000000,12.0342,12.6436,11.8293,12.6436,7383.1789972741,0
TXT,D,20140602,000000,12.6145,12.6145,12.1699,12.2674,1687.4269321651,0
TXT,D,20140603,000000,12.3075,12.3075,11.6526,12.2063,363.39512982866,0
TXT,D,20140604,000000,11.7602,12.2063,11.7602,12.1699,1038.5854767913,0
TXT,D,20140605,000000,11.8984,12.0662,11.8984,12.0662,566.50116915888,0
TXT,D,20140606,000000,12.1699,12.4787,12.047,12.047,17074.081749533,0
TXT,D,20140609,000000,12.2674,12.5469,11.9649,12.5469,5905.4453273364,0
TXT,D,20140610,000000,12.6291,12.6363,12.5142,12.5142,4126.8951450934,0
TXT,D,20140611,000000,12.5142,12.5142,12.3075,12.4651,1627.0440556075,0
TXT,D,20140612,000000,12.4651,12.4651,12.4441,12.4595,460.00773232087,0
TXT,D,20140613,000000,12.3075,12.4505,12.3075,12.4505,1089.0875190031,0
TXT,D,20140616,000000,12.4441,12.4441,12.0342,12.4031,1409.6657,0
TXT,D,20140617,000000,12.4505,12.4505,12.1836,12.4441,2414.2171918224,0
TXT,D,20140618,000000,12.4369,12.4787,12.4369,12.4441,653.23293730529,0
TXT,D,20140620,000000,12.4787,12.4787,12.4441,12.4787,511.60764501557,0
TXT,D,20140623,000000,12.4441,12.4441,12.4441,12.4441,49.404171728972,0
TXT,D,20140624,000000,12.4978,12.4978,12.2391,12.4724,814.6198982866,0
TXT,D,20140625,000000,12.4952,12.4952,12.4441,12.4441,644.44997344236,0
TXT,D,20140626,000000,12.0079,12.4369,12.0079,12.4369,3660.3001898754,0
TXT,D,20140627,000000,12.4441,12.4441,12.3767,12.3767,16.468057242991,0
TXT,D,20140630,000000,12.4304,12.4304,12.1763,12.3075,638.96062102803,0
TXT,D,20140701,000000,12.3075,12.3075,12.0342,12.0342,238.23789478193,0
TXT,D,20140702,000000,12.2063,12.2391,11.8629,12.2391,5322.4761009346,0
TXT,D,20140703,000000,12.2391,12.2391,12.2391,12.2391,10.97870482866,0
TXT,D,20140704,000000,12.2391,12.2391,12.2391,12.2391,10.97870482866,0
TXT,D,20140707,000000,12.2391,12.2391,12.2337,12.2337,2208.9154115265,0
TXT,D,20140708,000000,12.2391,12.2391,12.1699,12.22,2976.3268790498,0
TXT,D,20140709,000000,12.22,12.22,11.8984,12.2118,1509.5719139408,0
TXT,D,20140710,000000,12.2118,12.2118,11.8629,12.1899,3680.061858567,0
TXT,D,20140711,000000,12.1899,12.1899,11.8984,12.1017,1995.9285378505,0
TXT,D,20140714,000000,11.8356,12.1499,11.8356,12.1499,1945.4264956386,0
TXT,D,20140715,000000,12.1499,12.1499,11.8785,12.0662,941.97287429906,0
TXT,D,20140716,000000,12.1499,12.1499,11.7336,11.9231,1508.4740434579,0
TXT,D,20140717,000000,11.9932,11.9932,11.6234,11.9649,2552.5488726635,0
TXT,D,20140718,000000,11.9587,12.1499,11.6898,12.1499,1622.652573676,0
TXT,D,20140721,000000,11.9649,11.9649,11.6234,11.8629,2679.901848676,0
TXT,D,20140722,000000,11.892,11.9795,11.8293,11.8293,95.514732009345,0
TXT,D,20140723,000000,11.7602,11.8293,11.7602,11.8293,327.16540389408,0
TXT,D,20140724,000000,11.8293,11.8293,11.7874,11.7874,2651.3572161215,0
TXT,D,20140725,000000,11.9522,11.9522,11.679,11.7408,13476.360177181,0
TXT,D,20140728,000000,12.0223,12.0223,11.9303,11.9303,4392.579801947,0
TXT,D,20140729,000000,11.5259,11.842,11.5259,11.701,12067.792347663,0
TXT,D,20140730,000000,11.73,11.73,11.597,11.6672,361.19938886293,0
TXT,D,20140731,000000,11.6536,11.6536,11.5123,11.6536,3422.0622950934,0
TXT,D,20140801,000000,11.701,11.701,11.178,11.6862,6381.9211169003,0
TXT,D,20140804,000000,11.597,11.8037,11.597,11.7646,5797.8540200155,0
TXT,D,20140805,000000,11.8766,11.8766,11.3165,11.3165,1112.1427991433,0
TXT,D,20140806,000000,11.3511,11.3511,11.178,11.178,7379.8853858255,0
TXT,D,20140807,000000,11.1698,11.1698,10.4784,10.9403,24289.286562928,0
TXT,D,20140808,000000,10.9403,10.9403,10.0603,10.6187,13457.696378972,0
