<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCG,D,19870102,000000,44.7441,45.4287,44.0641,44.7441,0,0
UCG,D,19870105,000000,45.4287,45.9406,45.4287,45.4287,0,0
UCG,D,19870107,000000,46.6243,46.9595,45.4287,45.4287,0,0
UCG,D,19870108,000000,44.7441,44.7441,43.3757,43.5418,0,0
UCG,D,19870109,000000,43.5418,43.8847,43.5418,43.5418,0,0
UCG,D,19870112,000000,43.5418,43.5418,43.5418,43.5418,0,0
UCG,D,19870113,000000,43.5418,43.5418,43.5418,43.5418,0,0
UCG,D,19870114,000000,43.5418,43.5418,43.5418,43.5418,0,0
UCG,D,19870115,000000,44.4012,44.4012,44.4012,44.4012,0,0
UCG,D,19870116,000000,44.0641,44.0641,44.0641,44.0641,0,0
UCG,D,19870119,000000,43.3757,43.3757,43.3757,43.3757,0,0
UCG,D,19870120,000000,43.0395,43.0395,43.0395,43.0395,0,0
UCG,D,19870121,000000,42.8657,42.8657,42.8657,42.8657,0,0
UCG,D,19870122,000000,41.8363,41.8363,41.8363,41.8363,0,0
UCG,D,19870123,000000,42.3501,42.3501,42.3501,42.3501,0,0
UCG,D,19870126,000000,41.1593,41.1593,41.1593,41.1593,0,0
UCG,D,19870127,000000,41.1593,41.1593,41.1593,41.1593,0,0
UCG,D,19870128,000000,40.6408,40.6408,40.6408,40.6408,0,0
UCG,D,19870129,000000,41.6664,41.6664,41.6664,41.6664,0,0
UCG,D,19870130,000000,42.181,42.8657,42.181,42.8657,0,0
UCG,D,19870202,000000,42.181,42.181,42.181,42.181,0,0
UCG,D,19870203,000000,42.181,42.181,42.181,42.181,0,0
UCG,D,19870204,000000,41.1593,41.1593,41.1593,41.1593,0,0
UCG,D,19870205,000000,41.4954,41.4954,41.4954,41.4954,0,0
UCG,D,19870206,000000,41.1593,41.1593,41.1593,41.1593,0,0
UCG,D,19870209,000000,40.3046,40.3046,40.3046,40.3046,0,0
UCG,D,19870210,000000,40.1299,40.1299,40.1299,40.1299,0,0
UCG,D,19870211,000000,40.3046,40.3046,40.3046,40.3046,0,0
UCG,D,19870212,000000,39.7842,40.3046,39.7842,39.7842,0,0
UCG,D,19870213,000000,39.7842,40.3046,39.7842,39.7842,0,0
UCG,D,19870216,000000,40.8164,40.8164,40.8164,40.8164,0,0
UCG,D,19870217,000000,39.6209,39.6209,39.6209,39.6209,0,0
UCG,D,19870218,000000,39.449,39.449,39.449,39.449,0,0
UCG,D,19870219,000000,39.1081,39.1081,39.1081,39.1081,0,0
UCG,D,19870220,000000,39.1081,39.1081,39.1081,39.1081,0,0
UCG,D,19870223,000000,39.7842,39.7842,39.7842,39.7842,0,0
