<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULG,D,20180615,000000,7.88857,8.13231,5.2209,6.50572,416540.35613805905,0
ULG,D,20180618,000000,6.27806,7.52235,6.27806,6.42448,134636.42199185534,0
ULG,D,20180619,000000,6.42448,6.48143,5.68444,5.92023,64342.73072487483,0
ULG,D,20180620,000000,5.71694,5.71694,4.8794,4.89565,109676.66202191694,0
ULG,D,20180621,000000,5.0826,6.70911,5.0826,6.31877,169021.61636078096,0
ULG,D,20180622,000000,6.62777,7.27835,6.31877,6.50572,140079.98838271428,0
ULG,D,20180625,000000,6.69286,6.74972,6.09914,6.09914,26761.96127094498,0
ULG,D,20180626,000000,6.26181,6.34315,5.9446,6.31065,20797.559824170527,0
ULG,D,20180627,000000,6.18047,6.31065,5.99343,6.20485,15836.745925998874,0
ULG,D,20180628,000000,6.19672,6.19672,5.48918,5.93657,27823.792739779194,0
ULG,D,20180629,000000,5.93657,5.93657,5.45669,5.61114,29878.01100332555,0
ULG,D,20180702,000000,5.61114,5.8389,5.61114,5.69256,13183.287329302408,0
ULG,D,20180703,000000,5.69256,5.82265,5.61114,5.81452,4681.915126294313,0
ULG,D,20180704,000000,5.80639,6.09914,5.80639,5.98531,8198.951847960376,0
ULG,D,20180705,000000,6.09914,6.38376,6.01781,6.26993,27497.850801561097,0
ULG,D,20180706,000000,6.38376,6.38376,6.02602,6.21297,12867.426069585901,0
ULG,D,20180709,000000,6.14798,6.14798,5.90389,6.00156,9072.610651431563,0
ULG,D,20180710,000000,6.06664,6.30243,5.93657,6.13986,13774.687134729058,0
ULG,D,20180711,000000,6.24548,6.9124,6.21297,6.4976,54640.63770478839,0
ULG,D,20180712,000000,6.58705,6.65223,6.34315,6.4976,15865.86788611458,0
ULG,D,20180713,000000,6.4976,6.50572,6.30243,6.50572,3893.382052392113,0
ULG,D,20180716,000000,6.70911,6.73348,6.40814,6.42448,13111.602504402208,0
ULG,D,20180717,000000,6.48143,6.59527,6.35127,6.57081,5255.393725495913,0
ULG,D,20180718,000000,6.50572,6.58705,6.27806,6.56268,18587.65108154405,0
ULG,D,20180719,000000,6.57081,6.6034,6.38376,6.58705,8981.884544917248,0
ULG,D,20180720,000000,6.57893,6.58705,6.42448,6.4651,6608.4447954871885,0
ULG,D,20180723,000000,6.58705,6.58705,6.34315,6.54643,17195.397372935477,0
ULG,D,20180724,000000,6.4326,6.4651,6.26181,6.4651,15349.513131755326,0
ULG,D,20180725,000000,6.26181,6.50572,6.26181,6.48947,14447.852443557498,0
ULG,D,20180726,000000,6.34315,6.5301,6.32681,6.5301,16554.714250389938,0
ULG,D,20180727,000000,6.50572,6.7416,6.44073,6.72535,40706.89986481201,0
ULG,D,20180730,000000,7.17264,8.13231,7.08318,7.96973,223117.89742648345,0
ULG,D,20180731,000000,8.13231,8.61995,7.72564,8.05097,127965.25297458048,0
ULG,D,20180801,000000,8.11633,8.13231,7.5386,7.61181,24023.376944679527,0
ULG,D,20180802,000000,7.48173,7.69315,7.0913,7.55485,41209.81371450248,0
ULG,D,20180803,000000,7.48173,7.80698,7.31906,7.59556,18691.818092727153,0
ULG,D,20180806,000000,7.66055,7.66055,7.48976,7.58734,14041.265077326676,0
ULG,D,20180807,000000,7.64431,7.64431,6.83106,7.45726,15765.061101098674,0
ULG,D,20180808,000000,7.48173,7.72564,7.31906,7.62806,18691.818092727153,0
ULG,D,20180809,000000,7.64431,7.68502,7.45726,7.56297,6437.073260960147,0
ULG,D,20180810,000000,7.60369,8.05097,7.44905,7.76635,24004.335663065413,0
ULG,D,20180813,000000,8.09125,8.94582,7.96973,8.40872,78941.79334595619,0
ULG,D,20180814,000000,8.5396,8.7012,8.39273,8.42461,58975.329460472356,0
ULG,D,20180816,000000,8.55567,8.55567,7.98652,8.26293,56567.16737398127,0
ULG,D,20180817,000000,8.27802,8.37604,8.12472,8.26293,47019.64475758588,0
ULG,D,20180820,000000,8.57085,10.5725,8.5396,10.5725,136800.4076435301,0
ULG,D,20180821,000000,10.4252,10.5725,9.67793,10.1663,113284.42485009732,0
ULG,D,20180822,000000,10.0029,11.9545,10.0029,10.4913,191933.8785195074,0
ULG,D,20180823,000000,10.8975,11.3046,9.66099,9.67793,230804.97482164085,0
ULG,D,20180824,000000,9.67793,10.1002,8.40872,8.7012,393199.1051053205,0
ULG,D,20180827,000000,9.74223,10.2466,9.35294,10.1163,122904.75236678198,0
ULG,D,20180828,000000,10.2466,10.4913,9.92164,10.1663,50992.55216260165,0
ULG,D,20180829,000000,10.2466,10.4422,9.04314,10.1163,46478.64834466718,0
ULG,D,20180830,000000,10.1163,10.4091,9.83954,10.1163,24685.341499617312,0
ULG,D,20180831,000000,8.9619,9.85648,8.9619,9.5315,50562.44321320045,0
ULG,D,20180903,000000,9.5315,9.5315,8.5396,8.7012,58005.344173541525,0
ULG,D,20180904,000000,8.45809,9.27081,8.13231,8.68513,57112.644088456225,0
ULG,D,20180905,000000,8.5396,9.14046,8.45809,8.78334,36862.80112953879,0
ULG,D,20180906,000000,8.66906,9.33598,8.61995,9.12439,51685.87882843327,0
ULG,D,20180907,000000,9.25473,10.4913,9.02707,10.068,50424.673940345376,0
ULG,D,20180910,000000,10.068,10.4743,9.4333,9.75917,39284.40412069867,0
ULG,D,20180911,000000,9.77524,10.0511,9.45026,9.57971,13120.563107514732,0
ULG,D,20180912,000000,9.59668,9.83954,9.59668,9.74223,7224.486259473282,0
ULG,D,20180913,000000,9.75917,9.75917,9.45026,9.54757,10306.933730181881,0
ULG,D,20180914,000000,9.59668,10.1163,9.59668,9.85648,29922.814018888173,0
ULG,D,20180917,000000,9.62884,9.92164,9.4824,9.62884,14254.079401249146,0
ULG,D,20180918,000000,9.45026,9.92164,9.35294,9.72615,17058.74817546947,0
ULG,D,20180919,000000,9.72615,9.72615,9.36812,9.67793,9500.479450054632,0
ULG,D,20180920,000000,9.59668,9.70921,9.45026,9.67793,8029.820464211466,0
ULG,D,20180921,000000,9.56275,10.1975,9.56275,9.83954,41614.16092995517,0
ULG,D,20180924,000000,9.92164,9.96987,9.51453,9.83954,21500.96716850374,0
ULG,D,20180925,000000,9.9047,9.9047,9.67793,9.75917,9170.057210280273,0
ULG,D,20180926,000000,9.67793,9.75917,9.56275,9.74223,7013.9120863289445,0
ULG,D,20180927,000000,9.74223,9.96987,9.74223,9.96987,5845.673455533498,0
ULG,D,20180928,000000,9.95379,9.96987,9.56275,9.75917,3928.104389453147,0
ULG,D,20181001,000000,9.61274,9.694,9.04314,9.04314,21432.64256977074,0
ULG,D,20181002,000000,9.15652,9.35294,9.04314,9.15652,8847.475498229373,0
ULG,D,20181003,000000,9.12439,9.28687,9.04314,9.27081,5977.842351443242,0
ULG,D,20181004,000000,9.27081,9.67793,9.27081,9.57971,4254.046327671244,0
ULG,D,20181005,000000,9.57971,9.98594,9.35294,9.93772,23927.050461219882,0
ULG,D,20181008,000000,9.92164,10.0029,9.62884,9.74223,13872.133693577767,0
ULG,D,20181009,000000,9.74223,9.74223,9.35294,9.35294,13711.962912941382,0
ULG,D,20181010,000000,9.27081,9.46544,9.12439,9.27081,8939.321680132754,0
ULG,D,20181011,000000,8.94582,8.94582,7.79885,8.13231,77925.88496807367,0
ULG,D,20181012,000000,8.1482,8.94582,8.1482,8.94582,18054.495196348813,0
ULG,D,20181015,000000,8.94582,8.94582,8.47318,8.66906,8897.878890737325,0
ULG,D,20181016,000000,8.47318,9.27081,8.47318,9.20563,22354.464614971745,0
ULG,D,20181017,000000,9.35294,9.57971,9.011,9.25473,18384.91743612317,0
ULG,D,20181018,000000,9.27081,9.66099,8.94582,9.4333,18061.215648683206,0
ULG,D,20181019,000000,9.12439,9.62884,9.12439,9.35294,8007.418956430154,0
ULG,D,20181022,000000,9.67793,10.1323,9.27081,9.83954,76382.42108194124,0
ULG,D,20181023,000000,10.0029,11.2224,9.88863,10.4091,233565.9606556876,0
ULG,D,20181024,000000,10.6529,11.06,10.4422,10.9457,77537.2188080679,0
ULG,D,20181025,000000,10.5725,10.6207,9.75917,10.2957,60916.42010972309,0
ULG,D,20181026,000000,10.4743,10.4743,9.80739,9.80739,35459.34666703956,0
ULG,D,20181029,000000,9.72615,9.83954,9.2208,9.75917,32206.647737192983,0
ULG,D,20181030,000000,9.75917,10.1663,9.4333,10.0841,16112.284471709017,0
ULG,D,20181031,000000,10.0841,10.2466,9.75917,10.1323,23739.997871245923,0
ULG,D,20181102,000000,10.1323,10.4091,9.87255,10.36,25710.210480612357,0
ULG,D,20181105,000000,10.377,10.735,10.36,10.5395,39598.025229637045,0
ULG,D,20181106,000000,10.4913,10.9457,10.4573,10.8805,40933.15509340327,0
ULG,D,20181107,000000,10.9787,11.2224,10.8162,11.1903,51333.0550808776,0
ULG,D,20181108,000000,11.2385,11.7921,10.8314,11.776,72081.33158792923,0
ULG,D,20181109,000000,11.8742,12.3607,11.3197,11.4671,80675.67004822977,0
ULG,D,20181113,000000,11.3859,11.9385,10.6529,11.7108,58063.58809377294,0
ULG,D,20181114,000000,12.084,12.1652,11.7921,12.0188,24044.658377071773,0
ULG,D,20181115,000000,11.8742,11.9545,11.3046,11.776,24076.020487965612,0
ULG,D,20181116,000000,11.7108,11.7108,10.4091,11.6448,52754.430749601874,0
ULG,D,20181119,000000,11.5475,11.776,10.8975,11.1903,19996.705920988607,0
ULG,D,20181120,000000,11.3688,11.3688,10.377,10.5725,31263.544259599727,0
ULG,D,20181121,000000,10.2466,10.9626,10.1002,10.702,36785.51592769326,0
ULG,D,20181122,000000,10.5725,10.9135,10.4091,10.8975,8517.053258455013,0
ULG,D,20181123,000000,10.5877,11.2224,10.5725,10.9787,13666.039821989692,0
ULG,D,20181126,000000,10.9787,11.5966,10.7502,11.2064,12792.381018518505,0
ULG,D,20181127,000000,11.2064,11.2707,10.9135,11.2064,8109.345816835126,0
ULG,D,20181128,000000,11.06,11.1903,10.8162,11.06,12976.073382325267,0
ULG,D,20181129,000000,11.2224,11.2224,11.0439,11.1903,2222.2295719062004,0
ULG,D,20181130,000000,11.1903,11.1903,10.8484,10.8484,9314.546935469738,0
ULG,D,20181203,000000,10.9288,11.2707,10.8645,11.1251,19680.844661272098,0
ULG,D,20181204,000000,11.1251,11.1251,10.6529,10.8805,15984.595877355536,0
ULG,D,20181205,000000,10.5877,11.3859,10.2627,11.2385,56361.07350239319,0
ULG,D,20181206,000000,11.2224,11.3688,10.8975,11.1573,17251.401142388757,0
ULG,D,20181207,000000,11.1903,11.1903,10.8975,11.06,6765.2553499563755,0
ULG,D,20181210,000000,11.1412,11.1412,10.4573,10.5225,23243.804473889853,0
ULG,D,20181211,000000,10.5725,10.5725,10.0841,10.4422,12197.620986924658,0
ULG,D,20181212,000000,10.5064,10.7841,10.3278,10.5556,6113.371473520182,0
ULG,D,20181213,000000,10.3278,10.5556,10.1975,10.1975,5630.618980832897,0
ULG,D,20181214,000000,10.0029,10.4422,10.0029,10.1975,5414.444430743231,0
ULG,D,20181217,000000,10.1975,10.2466,9.98594,10.0029,3260.5394575700348,0
ULG,D,20181218,000000,9.93772,9.93772,9.35294,9.54757,38945.021277811786,0
ULG,D,20181219,000000,9.67793,9.72615,8.78334,8.94582,37138.339675248935,0
ULG,D,20181220,000000,8.9619,9.59668,8.9619,9.10831,19982.144940930753,0
ULG,D,20181221,000000,9.10831,9.51453,8.94582,9.36812,27398.164091934257,0
ULG,D,20181227,000000,10.1163,10.1163,9.35294,9.51453,8867.636855232555,0
ULG,D,20181228,000000,9.49847,9.74223,9.4333,9.72615,7379.056663164338,0
ULG,D,20190102,000000,10.0841,10.393,9.67793,10.1163,16112.284471709017,0
ULG,D,20190103,000000,10.1163,10.1975,9.83954,9.92164,17214.43865454959,0
ULG,D,20190104,000000,10.2466,10.2466,9.75917,10.035,4255.16640306031,0
ULG,D,20190107,000000,10.1493,10.4091,10.0511,10.4091,16028.278817529095,0
ULG,D,20190108,000000,10.4252,10.8805,10.4252,10.7841,13517.069795243964,0
ULG,D,20190109,000000,10.7841,10.9288,10.4422,10.7671,9886.905459282272,0
ULG,D,20190110,000000,10.702,10.8645,10.5725,10.8645,9774.89792037571,0
ULG,D,20190111,000000,10.8805,11.0921,10.6529,10.9135,17922.32630043907,0
ULG,D,20190114,000000,10.9135,11.0269,10.6859,11.0269,29265.329765506653,0
ULG,D,20190115,000000,11.0921,12.5885,11.0921,12.0358,109184.94892611714,0
ULG,D,20190116,000000,12.0358,13.2393,12.0358,13.0937,159543.53841850764,0
ULG,D,20190117,000000,13.0937,13.8732,12.7019,12.8974,127675.15344881247,0
ULG,D,20190118,000000,12.9786,13.3697,12.6215,12.9786,49241.87432949208,0
ULG,D,20190121,000000,13.4188,13.8089,13.0438,13.7759,85755.2119376424,0
ULG,D,20190122,000000,13.825,14.4267,13.5,13.6625,77353.52644426114,0
ULG,D,20190123,000000,13.5482,14.5571,13.45,13.7919,62179.86514858911,0
ULG,D,20190124,000000,13.841,13.841,12.8322,13.0116,101643.48133153828,0
ULG,D,20190125,000000,13.158,13.2553,12.2956,12.7188,76868.53380079572,0
ULG,D,20190128,000000,12.7518,12.9143,12.4429,12.5072,77672.74793014483,0
ULG,D,20190129,000000,12.6054,12.7831,12.2805,12.3607,33874.4399915117,0
ULG,D,20190130,000000,12.8652,13.825,12.5242,13.4017,83571.06492896442,0
ULG,D,20190131,000000,13.3375,13.6134,13.0116,13.1741,42028.58882390945,0
ULG,D,20190201,000000,13.7598,13.7598,13.0116,13.0116,52702.90728170486,0
ULG,D,20190204,000000,13.3375,13.3375,12.5563,12.8652,64898.288117851385,0
ULG,D,20190205,000000,12.7679,12.9304,12.4429,12.6054,26336.332623100043,0
ULG,D,20190206,000000,12.7679,13.2393,12.6215,12.7831,36450.61338636264,0
ULG,D,20190207,000000,13.0116,13.0116,12.5563,12.7679,41377.82502286232,0
ULG,D,20190208,000000,12.6867,12.8322,12.5242,12.7679,32838.370256625996,0
ULG,D,20190211,000000,12.8322,12.8322,12.5242,12.6867,22094.60712470852,0
ULG,D,20190212,000000,12.5563,12.8,12.5563,12.6054,19735.728355336316,0
ULG,D,20190213,000000,12.6215,13.4188,12.6215,13.2553,46846.033072280705,0
ULG,D,20190214,000000,13.5804,13.6295,13.2883,13.45,53389.51349520209,0
ULG,D,20190215,000000,13.5804,13.5804,13.0116,13.3375,26730.599160051144,0
ULG,D,20190218,000000,13.3375,13.5964,13.0116,13.4188,25440.272311847544,0
ULG,D,20190219,000000,13.3044,13.3858,13.0116,13.3044,21355.357367925208,0
ULG,D,20190220,000000,13.2553,13.2714,12.9955,13.2714,15832.26562444261,0
ULG,D,20190221,000000,13.2714,13.3858,13.1419,13.3205,10094.119406259413,0
ULG,D,20190222,000000,13.3375,13.4188,13.3205,13.4188,11668.945403285683,0
ULG,D,20190225,000000,13.6777,13.7268,13.3697,13.5322,23610.06912611431,0
ULG,D,20190226,000000,13.5652,13.5652,13.2393,13.4188,23440.937742365404,0
ULG,D,20190227,000000,13.4188,14.2633,13.3205,14.2321,63317.86174387979,0
ULG,D,20190228,000000,14.3285,15.1097,13.9384,14.9311,113885.90533402556,0
ULG,D,20190301,000000,14.9311,15.3704,14.6383,15.0767,69973.34970570773,0
ULG,D,20190304,000000,15.0606,15.2882,14.6544,15.1919,22223.415794451066,0
ULG,D,20190305,000000,15.208,16.2158,15.208,15.7766,92263.97002350274,0
ULG,D,20190306,000000,15.7766,16.0864,15.5329,15.6954,57661.48102909838,0
ULG,D,20190307,000000,15.6141,15.8579,15.2882,15.4187,41450.62992315159,0
ULG,D,20190308,000000,15.3043,15.8909,15.0454,15.5329,59464.80240549404,0
ULG,D,20190311,000000,15.8909,18.7032,15.8909,16.6712,255313.3444097858,0
ULG,D,20190312,000000,17.1997,18.622,16.8337,17.1586,153618.3396103505,0
ULG,D,20190313,000000,17.1586,17.4435,16.0203,16.6712,133544.34848751634,0
ULG,D,20190314,000000,16.5087,18.0121,16.4676,17.8497,95429.3030730022,0
ULG,D,20190315,000000,17.8908,18.297,17.4836,18.0121,53278.62603168459,0
ULG,D,20190318,000000,18.2157,18.2568,17.1997,17.4836,58847.640866118876,0
ULG,D,20190319,000000,17.4024,17.4024,16.1837,17.0373,150077.78130551404,0
ULG,D,20190320,000000,17.0774,17.4435,16.5087,16.7525,34565.52650656519,0
ULG,D,20190321,000000,16.7525,17.647,16.5087,17.3622,62084.658740518535,0
ULG,D,20190322,000000,17.5247,17.647,17.1185,17.3622,18673.8968865021,0
ULG,D,20190325,000000,17.0774,17.2399,16.7525,16.9149,32565.071861693985,0
ULG,D,20190326,000000,17.1185,17.1997,16.8337,17.1997,12614.28903165707,0
ULG,D,20190327,000000,17.1586,17.1586,16.7926,16.7926,22281.65971468248,0
ULG,D,20190328,000000,16.956,17.0774,16.5489,16.9962,43221.46911326434,0
ULG,D,20190329,000000,16.9962,18.1756,16.7525,18.0532,111612.15229422235,0
ULG,D,20190401,000000,17.9319,18.2568,17.5247,18.0121,45525.46418857233,0
ULG,D,20190402,000000,17.8497,18.2157,17.5648,17.8908,38681.80356138136,0
ULG,D,20190403,000000,17.9319,18.1345,17.647,17.8095,26126.87852534477,0
ULG,D,20190404,000000,17.8095,17.8095,17.5648,17.7684,20433.535322724198,0
ULG,D,20190405,000000,17.7283,17.8497,17.4435,17.6872,15128.858280109398,0
ULG,D,20190408,000000,17.5648,17.6059,16.5489,16.8337,50984.71163487819,0
ULG,D,20190409,000000,16.7926,17.1997,15.5811,17.1997,127476.90010494785,0
ULG,D,20190410,000000,16.956,17.6059,16.956,17.3622,37234.66615870858,0
ULG,D,20190411,000000,17.3211,17.3211,16.9962,17.1586,15404.396825819542,0
ULG,D,20190412,000000,17.1185,17.3211,16.6712,16.9962,12830.463581746735,0
ULG,D,20190415,000000,17.0774,17.4435,17.0373,17.2399,11038.342959241736,0
ULG,D,20190416,000000,17.2399,17.3622,17.0373,17.1997,12080.013071072766,0
ULG,D,20190417,000000,17.1997,18.0532,17.0774,17.5648,51672.43792376448,0
ULG,D,20190418,000000,17.7283,17.7684,17.1185,17.4836,9692.012341584854,0
ULG,D,20190423,000000,17.281,18.5416,17.281,18.5416,69502.91804230017,0
ULG,D,20190424,000000,18.7032,18.8666,18.297,18.7854,64518.58256095814,0
ULG,D,20190425,000000,18.5818,19.0291,18.5005,18.8255,25743.812742284328,0
ULG,D,20190426,000000,18.9478,18.9478,18.3782,18.663,17995.131200728334,0
ULG,D,20190429,000000,18.4604,18.7032,18.0121,18.5416,18577.570403042457,0
ULG,D,20190430,000000,18.622,18.663,18.1345,18.663,17522.45938654264,0
ULG,D,20190502,000000,18.7854,18.9067,18.5005,18.5005,20129.994892287414,0
ULG,D,20190506,000000,18.5416,18.663,18.1345,18.663,27645.70075291776,0
ULG,D,20190507,000000,18.663,18.8255,18.297,18.297,11116.74823647633,0
ULG,D,20190508,000000,18.3381,18.5005,17.7283,18.3381,22979.466682070364,0
ULG,D,20190509,000000,18.3782,18.4604,18.0121,18.0121,12284.986867271777,0
ULG,D,20190510,000000,18.0532,18.2568,17.1586,17.7283,20099.75285678264,0
ULG,D,20190513,000000,17.8908,17.8908,16.4275,16.9962,56291.628828271125,0
ULG,D,20190514,000000,17.0373,17.4024,15.6141,16.8337,23545.104753548505,0
ULG,D,20190515,000000,16.8337,17.647,15.9391,17.647,54965.45956761742,0
ULG,D,20190516,000000,18.2157,18.2157,17.2399,17.6872,26618.59162114458,0
ULG,D,20190517,000000,17.4024,17.4435,16.7525,17.4435,14728.991366212971,0
ULG,D,20190520,000000,17.1997,17.3622,16.5489,16.7525,21443.843323661393,0
