<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
URTA,D,20230522,000000,112,114,101,110,907,0
URTA,D,20230523,000000,109,110,106,110,1211,0
URTA,D,20230524,000000,110,112,110,110,336,0
URTA,D,20230525,000000,112,112,110,110,99,0
URTA,D,20230526,000000,107,111,107,111,289,0
URTA,D,20230529,000000,110,110,107,109,305,0
URTA,D,20230530,000000,110,110,106,106,105,0
URTA,D,20230531,000000,109,109,107,107,100,0
URTA,D,20230601,000000,110,110,110,110,5,0
URTA,D,20230602,000000,110,110,110,110,47,0
URTA,D,20230605,000000,108,110,108,110,131,0
URTA,D,20230606,000000,110,110,110,110,31,0
URTA,D,20230607,000000,110,110,110,110,52,0
URTA,D,20230609,000000,110,110,110,110,248,0
URTA,D,20230612,000000,110,111,109,111,382,0
URTA,D,20230613,000000,112,112,112,112,59,0
URTA,D,20230614,000000,112,113,112,113,116,0
URTA,D,20230615,000000,111,114,111,111,389,0
URTA,D,20230616,000000,114,114,112,113,362,0
URTA,D,20230619,000000,114,118,114,116,1523,0
URTA,D,20230620,000000,116,116,114,114,433,0
