<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOT,D,20101220,000000,2.60208,2.77718,2.5357,2.62626,341091.63928114524,0
VOT,D,20101221,000000,2.63826,2.74109,2.5357,2.70481,117861.50722445872,0
VOT,D,20101222,000000,2.71682,2.98848,2.71091,2.74709,306275.6370067672,0
VOT,D,20101223,000000,2.76528,2.88592,2.70481,2.71682,46660.291677583606,0
VOT,D,20101227,000000,2.77718,2.77718,2.5418,2.71682,36146.25796075087,0
VOT,D,20101228,000000,2.66253,2.759,2.58389,2.753,24109.950896320694,0
VOT,D,20101229,000000,2.72271,2.72271,2.65645,2.65645,23758.985282193462,0
VOT,D,20101230,000000,2.63826,2.65645,2.58389,2.65645,6233.106636308208,0
VOT,D,20101231,000000,2.66253,2.753,2.60208,2.753,11341.843189667785,0
VOT,D,20110103,000000,2.68663,2.74709,2.65645,2.68663,45047.343323296765,0
VOT,D,20110104,000000,2.69272,2.69272,2.59607,2.68072,16213.757960850326,0
VOT,D,20110105,000000,2.61426,2.89192,2.5357,2.69872,73285.67393594688,0
VOT,D,20110107,000000,2.69872,2.76528,2.59607,2.68663,22815.965212623643,0
VOT,D,20110110,000000,2.5538,2.65645,2.51752,2.64444,14384.256355293493,0
VOT,D,20110111,000000,2.62626,2.65645,2.62626,2.65054,6919.036392793948,0
VOT,D,20110112,000000,2.59607,2.68072,2.52379,2.62626,8247.158549597596,0
VOT,D,20110113,000000,2.63235,2.63235,2.5357,2.59607,4451.6094460575305,0
VOT,D,20110114,000000,2.5598,2.5598,2.36669,2.41496,65434.28512142892,0
VOT,D,20110117,000000,2.41496,2.5357,2.35451,2.48752,20238.66149307536,0
VOT,D,20110118,000000,2.48752,2.50552,2.35451,2.46925,16745.006823571784,0
VOT,D,20110119,000000,2.41496,2.56598,2.35451,2.41496,47441.16349989708,0
VOT,D,20110120,000000,2.41496,2.5357,2.35451,2.45715,39759.39028612754,0
VOT,D,20110121,000000,2.45124,2.45715,2.3485,2.42106,16253.228257879833,0
VOT,D,20110124,000000,2.35451,2.43896,2.35451,2.39088,175647.08884044015,0
VOT,D,20110125,000000,2.32432,2.40278,2.32432,2.36059,7670.038801139143,0
VOT,D,20110126,000000,2.35451,2.39088,2.29432,2.32432,188235.98006328338,0
VOT,D,20110127,000000,2.3425,2.46343,2.29432,2.37869,59525.47497963341,0
VOT,D,20110128,000000,2.38478,2.40278,2.3425,2.38478,13598.050709057115,0
VOT,D,20110131,000000,2.43896,2.5357,2.42106,2.46343,16709.803585680605,0
VOT,D,20110201,000000,2.46343,2.52961,2.41496,2.46925,20825.382124595046,0
VOT,D,20110202,000000,2.41496,2.46925,2.36669,2.46925,18392.091650965227,0
VOT,D,20110203,000000,2.46925,2.48752,2.46343,2.48752,3422.1814289366307,0
VOT,D,20110204,000000,2.42106,2.42106,2.32432,2.40897,40247.968557465756,0
VOT,D,20110207,000000,2.42106,2.42106,2.35451,2.39706,31958.139416484904,0
VOT,D,20110208,000000,2.38478,2.41496,2.35451,2.41496,6058.157211636884,0
VOT,D,20110209,000000,2.47533,2.47533,2.29432,2.40278,7141.990232771428,0
VOT,D,20110210,000000,2.29432,2.41496,2.29432,2.40897,3287.7690660793933,0
VOT,D,20110211,000000,2.40278,2.46343,2.30622,2.41496,7432.150254177526,0
VOT,D,20110214,000000,2.40897,2.40897,2.31822,2.38478,8234.357372182621,0
VOT,D,20110215,000000,2.36669,2.38478,2.31822,2.38478,2451.425474967699,0
VOT,D,20110216,000000,2.35451,2.38478,2.35451,2.38478,3313.3714209093437,0
VOT,D,20110217,000000,2.3365,2.35451,2.33051,2.35451,5399.963339550257,0
VOT,D,20110218,000000,2.33051,2.39706,2.33051,2.39706,1657.752475239253,0
VOT,D,20110221,000000,2.38478,2.41496,2.38478,2.41496,4235.0561947875385,0
VOT,D,20110222,000000,2.41496,2.41496,2.3365,2.41496,5880.007492611816,0
VOT,D,20110223,000000,2.39706,2.41496,2.39706,2.41496,8590.656810232756,0
VOT,D,20110224,000000,2.38478,2.41496,2.38478,2.41496,8533.05151186537,0
VOT,D,20110225,000000,2.43896,2.63826,2.43896,2.54779,39173.73641939244,0
VOT,D,20110228,000000,2.57179,2.57179,2.48752,2.52961,15522.49438044168,0
VOT,D,20110301,000000,2.51161,2.5418,2.51161,2.5418,12257.127374838492,0
VOT,D,20110302,000000,2.51161,2.62036,2.51161,2.5357,42718.595798555914,0
VOT,D,20110303,000000,2.51752,2.58389,2.51161,2.51161,2118.5948621783505,0
VOT,D,20110304,000000,2.49342,2.5357,2.39088,2.49952,17931.24926402613,0
VOT,D,20110307,000000,2.36059,2.47533,2.36059,2.47533,960.0883061231194,0
VOT,D,20110308,000000,2.50552,2.62626,2.47533,2.60816,106531.39844742134,0
VOT,D,20110309,000000,2.62626,2.62626,2.43896,2.62036,7305.205244812359,0
VOT,D,20110310,000000,2.63235,2.65645,2.5418,2.65645,21445.172464436746,0
VOT,D,20110311,000000,2.59607,2.65645,2.59607,2.62626,1580.9454107494034,0
VOT,D,20110314,000000,2.5418,2.64444,2.5357,2.63826,14903.77080538456,0
VOT,D,20110315,000000,2.49952,2.63826,2.49952,2.63826,5386.0953973507,0
VOT,D,20110316,000000,2.61426,2.62626,2.50552,2.50552,12608.092988965722,0
VOT,D,20110317,000000,2.51752,2.58389,2.48752,2.58389,8387.971501162321,0
VOT,D,20110318,000000,2.62036,2.62036,2.49342,2.49342,1890.3071982779643,0
VOT,D,20110321,000000,2.5538,2.5538,2.47533,2.5538,27739.084693466084,0
VOT,D,20110322,000000,2.5418,2.54779,2.48143,2.54779,3161.890821498807,0
VOT,D,20110323,000000,2.52379,2.54779,2.47533,2.48143,49897.92279878769,0
VOT,D,20110324,000000,2.48752,2.54779,2.48752,2.54779,3008.2766925191077,0
VOT,D,20110325,000000,2.50552,2.54779,2.50552,2.54779,1711.0907144683154,0
VOT,D,20110328,000000,2.5357,2.59007,2.5357,2.59007,2261.541343312237,0
VOT,D,20110329,000000,2.58389,2.59007,2.56598,2.56598,11309.840246130347,0
VOT,D,20110330,000000,2.59607,2.68663,2.58389,2.65645,37971.49250716937,0
