<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRG,D,19930930,000000,1.8425,1.8425,1.8425,1.8425,4015293.460771992,0
VRG,D,19931004,000000,1.8425,1.8425,1.8425,1.8425,4890228.200830187,0
VRG,D,19931005,000000,1.8425,1.8425,1.8425,1.8425,3810353.0516688856,0
VRG,D,19931007,000000,1.83359,1.83359,1.83359,1.83359,2812567.992256526,0
VRG,D,19931011,000000,1.7891,1.7891,1.7891,1.7891,2065088.362665596,0
VRG,D,19931012,000000,1.94931,1.94931,1.94931,1.94931,2015657.0904266883,0
VRG,D,19931014,000000,2.09178,2.09178,2.09178,2.09178,2526693.410344258,0
VRG,D,19931018,000000,2.13628,2.13628,2.13628,2.13628,1288276.6467375837,0
VRG,D,19931019,000000,2.10953,2.10953,2.10953,2.10953,771127.6248483188,0
VRG,D,19931021,000000,2.04729,2.04729,2.04729,2.04729,1096097.9603885645,0
VRG,D,19931026,000000,1.86033,1.86033,1.86033,1.86033,1268211.882954018,0
VRG,D,19931028,000000,2.03838,2.03838,2.03838,2.03838,2187376.824218188,0
VRG,D,19931102,000000,2.13628,2.13628,2.13628,2.13628,2241572.7838614257,0
VRG,D,19931104,000000,2.13628,2.13628,2.13628,2.13628,2087378.3498372636,0
VRG,D,19931108,000000,2.04729,2.04729,2.04729,2.04729,1303206.962943215,0
VRG,D,19931109,000000,2.04729,2.04729,2.04729,2.04729,1214622.1967488418,0
VRG,D,19931110,000000,2.11845,2.11845,2.11845,2.11845,1555253.485714948,0
VRG,D,19931115,000000,2.13628,2.13628,2.13628,2.13628,2179333.1524502086,0
VRG,D,19931116,000000,2.13628,2.13628,2.13628,2.13628,2082491.5194326697,0
VRG,D,19931118,000000,2.06504,2.06504,2.06504,2.06504,844769.8605370447,0
VRG,D,19931122,000000,1.88699,1.88699,1.88699,1.88699,1051036.0763892715,0
VRG,D,19931123,000000,2.07395,2.07395,2.07395,2.07395,799338.2163639461,0
VRG,D,19931125,000000,2.10953,2.10953,2.10953,2.10953,1835499.4960932552,0
VRG,D,19931129,000000,2.31432,2.31432,2.31432,2.31432,3501178.026854812,0
VRG,D,19931130,000000,2.54568,2.54568,2.54568,2.54568,3344972.674888708,0
VRG,D,19931202,000000,2.49227,2.49227,2.49227,2.49227,1917399.7089960675,0
VRG,D,19931206,000000,2.74156,2.74156,2.74156,2.74156,2580294.20045853,0
VRG,D,19931207,000000,2.67033,2.67033,2.67033,2.67033,974091.5381276474,0
VRG,D,19931209,000000,2.75938,2.75938,2.75938,2.75938,1853531.134116582,0
VRG,D,19931213,000000,2.8662,2.8662,2.8662,2.8662,1488014.8744169963,0
VRG,D,19931214,000000,2.88394,2.88394,2.88394,2.88394,1690742.2744319632,0
VRG,D,19931216,000000,2.93734,2.93734,2.93734,2.93734,1470377.4251674116,0
VRG,D,19931220,000000,3.02641,3.02641,3.02641,3.02641,1657544.9173296273,0
VRG,D,19931221,000000,2.91961,2.91961,2.91961,2.91961,1999131.1424802872,0
VRG,D,19931223,000000,3.00858,3.00858,3.00858,3.00858,2102376.3998885476,0
VRG,D,19931227,000000,3.18662,3.18662,3.18662,3.18662,1782528.29762621,0
VRG,D,19931228,000000,2.87502,2.87502,2.87502,2.87502,1846846.5808251274,0
VRG,D,19931230,000000,3.02641,3.02641,3.02641,3.02641,1611427.0515728407,0
VRG,D,19940103,000000,3.11539,3.11539,3.11539,3.11539,1252764.124583302,0
VRG,D,19940104,000000,3.02641,3.02641,3.02641,3.02641,1977167.610236709,0
VRG,D,19940106,000000,3.25778,3.25778,3.25778,3.25778,2850146.95189844,0
VRG,D,19940110,000000,3.20437,3.20437,3.20437,3.20437,1745735.494750152,0
VRG,D,19940111,000000,3.29343,3.29343,3.29343,3.29343,1646029.0531790566,0
VRG,D,19940113,000000,3.62278,3.62278,3.62278,3.62278,3285373.553066659,0
VRG,D,19940117,000000,3.97878,3.97878,3.97878,3.97878,1341741.9691605496,0
VRG,D,19940118,000000,4.37044,4.37044,4.37044,4.37044,1099862.185580985,0
VRG,D,19940120,000000,4.71762,4.71762,4.71762,4.71762,2292464.2201497974,0
VRG,D,19940124,000000,4.61972,4.61972,4.61972,4.61972,1405609.433649062,0
VRG,D,19940125,000000,5.07362,5.07362,5.07362,5.07362,1800054.7077845205,0
VRG,D,19940127,000000,5.07362,5.07362,5.07362,5.07362,2038395.6755269207,0
VRG,D,19940131,000000,4.56623,4.56623,4.56623,4.56623,1928353.7153450646,0
VRG,D,19940201,000000,4.11234,4.11234,4.11234,4.11234,2505640.398648745,0
VRG,D,19940203,000000,4.52174,4.52174,4.52174,4.52174,1208892.5796418353,0
VRG,D,19940207,000000,4.45059,4.45059,4.45059,4.45059,1424933.5666943397,0
VRG,D,19940208,000000,4.68195,4.68195,4.68195,4.68195,2347514.0704045435,0
VRG,D,19940210,000000,4.68195,4.68195,4.68195,4.68195,1324720.786867255,0
VRG,D,19940214,000000,5.14486,5.14486,5.14486,5.14486,1699562.1094476758,0
VRG,D,19940215,000000,5.34064,5.34064,5.34064,5.34064,2269826.6806226103,0
