<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIK,D,19970220,000000,6.2094,6.2094,6.2094,6.2094,213135.14553300128,0
WIK,D,19970221,000000,6.83381,6.83381,6.83381,6.83381,72585.53051408175,0
WIK,D,19970224,000000,7.51031,7.51031,7.51031,7.51031,0,0
WIK,D,19970225,000000,8.28212,8.28212,8.28212,8.28212,304010.92017795064,0
WIK,D,19970226,000000,8.90662,8.90662,8.90662,8.90662,602157.8779147761,0
WIK,D,19970227,000000,8.02196,8.02196,8.02196,8.02196,114536.10328268104,0
WIK,D,19970228,000000,7.25014,7.25014,7.25014,7.25014,154542.45069922536,0
WIK,D,19970303,000000,6.62573,6.62573,6.62573,6.62573,278068.9201787889,0
WIK,D,19970304,000000,6.83381,6.83381,6.83381,6.83381,181029.72769366676,0
WIK,D,19970305,000000,6.83381,6.83381,6.83381,6.83381,135589.6056294085,0
WIK,D,19970306,000000,6.83381,6.83381,6.83381,6.83381,42880.22535072422,0
WIK,D,19970307,000000,7.09397,7.09397,7.09397,7.09397,196418.15961805705,0
WIK,D,19970310,000000,7.30214,7.30214,7.30214,7.30214,55348.96713435831,0
WIK,D,19970311,000000,8.02196,8.02196,8.02196,8.02196,131735.7934229655,0
WIK,D,19970312,000000,7.96996,7.96996,7.96996,7.96996,160936.04694314525,0
WIK,D,19970313,000000,7.35414,7.35414,7.35414,7.35414,86862.17840094413,0
WIK,D,19970314,000000,6.9379,6.9379,6.9379,6.9379,102211.50234410874,0
WIK,D,19970317,000000,6.83381,6.83381,6.83381,6.83381,85392.83567798701,0
WIK,D,19970318,000000,7.25014,7.25014,7.25014,7.25014,104107.6807478028,0
WIK,D,19970319,000000,6.72973,6.72973,6.72973,6.72973,50747.63380117353,0
WIK,D,19970320,000000,6.8859,6.8859,6.8859,6.8859,51418.05633636309,0
WIK,D,19970321,000000,6.83381,6.83381,6.83381,6.83381,52538.77934102207,0
WIK,D,19970324,000000,6.8859,6.8859,6.8859,6.8859,48949.78403597436,0
WIK,D,19970325,000000,7.09397,7.09397,7.09397,7.09397,91723.85915196023,0
WIK,D,19970326,000000,7.35414,7.35414,7.35414,7.35414,84412.90140571762,0
WIK,D,19970327,000000,7.65771,7.65771,7.65771,7.65771,114009.82159255641,0
WIK,D,19970401,000000,7.09397,7.09397,7.09397,7.09397,75296.27229803136,0
WIK,D,19970402,000000,6.72973,6.72973,6.72973,6.72973,92057.95304866323,0
WIK,D,19970403,000000,6.83381,6.83381,6.83381,6.83381,116561.89670983757,0
WIK,D,19970404,000000,6.83381,6.83381,6.83381,6.83381,51954.394364514745,0
WIK,D,19970407,000000,7.25014,7.25014,7.25014,7.25014,144467.11736621655,0
WIK,D,19970408,000000,6.83381,6.83381,6.83381,6.83381,62125.8215942328,0
WIK,D,19970409,000000,7.09397,7.09397,7.09397,7.09397,67329.41783819538,0
WIK,D,19970410,000000,7.04198,7.04198,7.04198,7.04198,119243.58685059582,0
WIK,D,19970411,000000,7.14606,7.14606,7.14606,7.14606,47663.69013930154,0
WIK,D,19970414,000000,7.04198,7.04198,7.04198,7.04198,77342.17840125234,0
WIK,D,19970415,000000,7.25014,7.25014,7.25014,7.25014,105213.8779308635,0
WIK,D,19970416,000000,7.45822,7.45822,7.45822,7.45822,160375.1267553704,0
WIK,D,19970417,000000,7.60571,7.60571,7.60571,7.60571,120043.62440926247,0
WIK,D,19970418,000000,7.45822,7.45822,7.45822,7.45822,89614.26290789664,0
WIK,D,19970421,000000,7.65771,7.65771,7.65771,7.65771,109704.59154574283,0
WIK,D,19970422,000000,7.60571,7.60571,7.60571,7.60571,64656.66666457341,0
WIK,D,19970423,000000,7.60571,7.60571,7.60571,7.60571,119388.84506655774,0
WIK,D,19970424,000000,7.65771,7.65771,7.65771,7.65771,72639.16431689734,0
WIK,D,19970425,000000,7.55362,7.55362,7.55362,7.55362,49090.572768363956,0
WIK,D,19970428,000000,7.45822,7.45822,7.45822,7.45822,48897.26760405055,0
WIK,D,19970429,000000,7.25014,7.25014,7.25014,7.25014,83133.51173439754,0
WIK,D,19970430,000000,7.65771,7.65771,7.65771,7.65771,128108.80750758915,0
WIK,D,19970505,000000,8.07395,8.07395,8.07395,8.07395,104697.65257877004,0
WIK,D,19970506,000000,8.07395,8.07395,8.07395,8.07395,59501.11736896546,0
WIK,D,19970507,000000,7.45822,7.45822,7.45822,7.45822,92631.16431624969,0
WIK,D,19970508,000000,7.45822,7.45822,7.45822,7.45822,52635.99060862413,0
WIK,D,19970509,000000,7.60571,7.60571,7.60571,7.60571,45468.056336555725,0
WIK,D,19970512,000000,7.55362,7.55362,7.55362,7.55362,42141.64319112393,0
WIK,D,19970513,000000,7.45822,7.45822,7.45822,7.45822,68215.49295553801,0
WIK,D,19970514,000000,7.35414,7.35414,7.35414,7.35414,34078.69483457766,0
WIK,D,19970515,000000,7.55362,7.55362,7.55362,7.55362,44721.65258071197,0
WIK,D,19970516,000000,7.76179,7.76179,7.76179,7.76179,149582.4413097071,0
WIK,D,19970519,000000,7.76179,7.76179,7.76179,7.76179,31422.704224334386,0
WIK,D,19970520,000000,7.45822,7.45822,7.45822,7.45822,33604.92957637683,0
WIK,D,19970521,000000,7.25014,7.25014,7.25014,7.25014,17937.154928997166,0
WIK,D,19970522,000000,7.55362,7.55362,7.55362,7.55362,23855.86854382861,0
WIK,D,19970523,000000,7.25014,7.25014,7.25014,7.25014,54641.67135973291,0
WIK,D,19970526,000000,7.25014,7.25014,7.25014,7.25014,107212.85445662789,0
WIK,D,19970527,000000,7.35414,7.35414,7.35414,7.35414,69590.97652356839,0
WIK,D,19970528,000000,7.35414,7.35414,7.35414,7.35414,42309.24882492132,0
WIK,D,19970530,000000,7.35414,7.35414,7.35414,7.35414,32717.737088142432,0
WIK,D,19970602,000000,6.78181,6.78181,6.78181,6.78181,14967.183098106987,0
WIK,D,19970603,000000,6.98998,6.98998,6.98998,6.98998,55376.90140665788,0
WIK,D,19970604,000000,6.83381,6.83381,6.83381,6.83381,19976.35680686542,0
WIK,D,19970605,000000,6.62573,6.62573,6.62573,6.62573,25430.2441306323,0
WIK,D,19970606,000000,6.67773,6.67773,6.67773,6.67773,35491.05164204389,0
WIK,D,19970609,000000,6.72973,6.72973,6.72973,6.72973,15900.187792912462,0
WIK,D,19970610,000000,6.62573,6.62573,6.62573,6.62573,12753.671361089657,0
WIK,D,19970611,000000,6.52165,6.52165,6.52165,6.52165,14181.671361042798,0
WIK,D,19970612,000000,6.83381,6.83381,6.83381,6.83381,30147.784036582445,0
WIK,D,19970613,000000,6.98998,6.98998,6.98998,6.98998,53851.69013910162,0
WIK,D,19970616,000000,6.83381,6.83381,6.83381,6.83381,29648.319247866635,0
WIK,D,19970617,000000,6.78181,6.78181,6.78181,6.78181,21292.619717620302,0
WIK,D,19970618,000000,6.9379,6.9379,6.9379,6.9379,19741.708919549073,0
WIK,D,19970619,000000,6.83381,6.83381,6.83381,6.83381,12658.694835271133,0
WIK,D,19970620,000000,7.04198,7.04198,7.04198,7.04198,19600.920187158434,0
WIK,D,19970623,000000,7.25014,7.25014,7.25014,7.25014,69336.21596019696,0
WIK,D,19970624,000000,7.04198,7.04198,7.04198,7.04198,27555.4835671828,0
WIK,D,19970625,000000,7.04198,7.04198,7.04198,7.04198,12640.816900999622,0
WIK,D,19970626,000000,6.52165,6.52165,6.52165,6.52165,17537.136149666974,0
WIK,D,19970627,000000,6.57364,6.57364,6.57364,6.57364,24641.380280892794,0
WIK,D,19970630,000000,6.62573,6.62573,6.62573,6.62573,35600.55398945755,0
WIK,D,19970701,000000,6.41757,6.41757,6.41757,6.41757,8210.441314288179,0
WIK,D,19970702,000000,6.00132,6.00132,6.00132,6.00132,31540.028167992557,0
WIK,D,19970703,000000,6.26148,6.26148,6.26148,6.26148,32627.23004589205,0
WIK,D,19970704,000000,6.67773,6.67773,6.67773,6.67773,48967.66197024586,0
WIK,D,19970707,000000,6.9379,6.9379,6.9379,6.9379,50673.88732230289,0
WIK,D,19970708,000000,6.9379,6.9379,6.9379,6.9379,60186.065725751214,0
WIK,D,19970709,000000,7.04198,7.04198,7.04198,7.04198,29615.915491998934,0
WIK,D,19970710,000000,7.19806,7.19806,7.19806,7.19806,37732.497651360776,0
WIK,D,19970711,000000,6.78181,6.78181,6.78181,6.78181,26616.892017917413,0
WIK,D,19970714,000000,6.10531,6.10531,6.10531,6.10531,55414.8920169855,0
WIK,D,19970715,000000,6.2094,6.2094,6.2094,6.2094,58436.26290890667,0
WIK,D,19970716,000000,6.41757,6.41757,6.41757,6.41757,33961.37089091949,0
WIK,D,19970717,000000,6.52165,6.52165,6.52165,6.52165,28049.361501439736,0
WIK,D,19970718,000000,6.2094,6.2094,6.2094,6.2094,20203.183097937264,0
WIK,D,19970721,000000,6.00132,6.00132,6.00132,6.00132,25229.117370075437,0
WIK,D,19970722,000000,6.1574,6.1574,6.1574,6.1574,34739.06103173918,0
WIK,D,19970723,000000,6.10531,6.10531,6.10531,6.10531,21117.19248757945,0
WIK,D,19970724,000000,5.89724,5.89724,5.89724,5.89724,16437.643191955885,0
WIK,D,19970725,000000,5.64575,5.64575,5.64575,5.64575,41205.28638364209,0
WIK,D,19970728,000000,5.28151,5.28151,5.28151,5.28151,37688.92018657325,0
WIK,D,19970729,000000,5.38559,5.38559,5.38559,5.38559,45507.16431777511,0
WIK,D,19970730,000000,5.59366,5.59366,5.59366,5.59366,63408.56337822926,0
WIK,D,19970731,000000,5.59366,5.59366,5.59366,5.59366,38724.723003440704,0
WIK,D,19970801,000000,5.28151,5.28151,5.28151,5.28151,17708.093896140734,0
WIK,D,19970804,000000,5.48958,5.48958,5.48958,5.48958,33988.187792327284,0
WIK,D,19970805,000000,5.43759,5.43759,5.43759,5.43759,8738.95774619595,0
WIK,D,19970806,000000,5.59366,5.59366,5.59366,5.59366,43732.77934130737,0
WIK,D,19970807,000000,5.54167,5.54167,5.54167,5.54167,63189.55868339983,0
WIK,D,19970808,000000,5.94923,5.94923,5.94923,5.94923,72650.33802581717,0
WIK,D,19970811,000000,5.69775,5.69775,5.69775,5.69775,30820.441313556596,0
