<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUE,D,20101001,000000,14.4296,14.4296,13.6985,13.8723,224184.63140971574,0
ZUE,D,20101004,000000,13.8723,13.8808,13.6985,13.8172,105406.71344149312,0
ZUE,D,20101005,000000,13.7535,13.7897,13.7165,13.7715,128086.99774230598,0
ZUE,D,20101006,000000,13.7897,13.8808,13.7897,13.8352,99129.7459730536,0
ZUE,D,20101007,000000,13.8447,13.8447,13.8086,13.8086,485.5171145890285,0
ZUE,D,20101008,000000,13.8086,13.8447,13.8086,13.8352,892.0455445919894,0
ZUE,D,20101011,000000,13.8086,13.8352,13.7897,13.8086,32814.00594197475,0
ZUE,D,20101012,000000,13.7992,13.7992,13.5342,13.6985,61691.21584417989,0
ZUE,D,20101013,000000,13.6985,13.6985,13.6349,13.6985,9279.590665171214,0
ZUE,D,20101014,000000,13.6985,13.7355,13.6254,13.6985,5805.14172584539,0
ZUE,D,20101015,000000,13.6985,13.6985,13.6529,13.6985,2685.6152759262964,0
ZUE,D,20101018,000000,13.6624,13.6985,13.6624,13.6985,20330.63422999264,0
ZUE,D,20101019,000000,13.6985,13.6985,13.5703,13.5703,311.7420084996799,0
ZUE,D,20101020,000000,13.5617,13.5617,13.5617,13.5617,5371.230551852593,0
ZUE,D,20101021,000000,13.5617,13.6985,13.5617,13.6985,8306.450071070862,0
ZUE,D,20101022,000000,13.6985,13.6985,13.4706,13.6985,397.04978785263285,0
ZUE,D,20101025,000000,13.4706,13.7715,13.4706,13.7715,4916.255728636844,0
ZUE,D,20101026,000000,13.425,13.744,13.425,13.6985,668.7708628287052,0
ZUE,D,20101027,000000,13.6434,13.8723,13.6168,13.6985,3867.2859973338664,0
ZUE,D,20101028,000000,13.7811,13.7811,13.7715,13.7811,160.0837340944302,0
ZUE,D,20101029,000000,13.7897,13.8352,13.7535,13.7535,2751.9657709785934,0
ZUE,D,20101102,000000,13.5162,13.8542,13.5162,13.8542,23443.841585144844,0
ZUE,D,20101103,000000,13.8723,13.8723,13.6985,13.8267,7847.262518010523,0
ZUE,D,20101104,000000,13.6985,13.7897,13.6985,13.6985,6427.572560383603,0
ZUE,D,20101105,000000,13.7715,13.7715,13.6985,13.7535,83.2014144306578,0
ZUE,D,20101108,000000,13.6985,13.7715,13.6529,13.689,2402.3091938776006,0
ZUE,D,20101109,000000,13.6985,13.6985,13.6529,13.689,1830.4311174744719,0
ZUE,D,20101110,000000,13.689,13.689,13.689,13.689,485.5171145890285,0
ZUE,D,20101112,000000,13.6985,13.6985,13.689,13.6985,2679.296181159411,0
ZUE,D,20101115,000000,13.6985,13.6985,13.6985,13.6985,328.592927878041,0
ZUE,D,20101116,000000,13.6985,13.6985,13.425,13.425,1725.1128713597152,0
ZUE,D,20101117,000000,13.5797,13.5797,13.0955,13.3329,1883.09024053185,0
ZUE,D,20101118,000000,13.2598,13.689,13.2598,13.6074,4844.639321278809,0
ZUE,D,20101119,000000,13.689,13.689,13.3604,13.3604,269.6147100537772,0
ZUE,D,20101122,000000,13.2418,13.5162,13.2418,13.3329,373.87977370738633,0
